	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-412.13	-81.3209	3.72607	11.725	8.16584	1.9099	-4.43935	-1.84671
31	Surface 3	27639	9.665	20.819	-2.76	-413.377	-81.1931	-2.39472	10.3642	7.96586	2.05483	-4.16513	-1.86114
32	Surface 3	27854	9.665	18.3371	-1.84	-318.68	-53.9215	4.955	12.8394	5.63583	2.07612	-3.92879	-2.77172
33	Surface 3	27860	9.665	20.819	-1.84	-319.797	-53.6411	-1.29283	11.437	5.47536	2.23832	-3.79379	-2.77718
34	Surface 3	28073	9.665	18.3371	-0.92	-222.539	-26.84	5.2798	13.9726	2.73935	1.89634	-3.35527	-2.67569
35	Surface 3	28078	9.665	20.819	-0.92	-223.405	-26.6445	-0.543997	12.5227	2.64097	2.04315	-3.37054	-2.6649
36	Surface 3	28294	9.665	18.3371	0.0	-126.33	-3.76807	4.83026	15.0295	1.42353	1.71222	-8.48335	-2.3833
37	Surface 3	28300	9.665	20.819	0.0	-123.734	-3.16188	-0.446354	13.6003	1.37276	1.85212	-9.30085	-2.37
38	Surface 12	27127	9.665	161.663	-4.6	-581.78	-138.749	-0.343527	10.0567	8.06985	-1.73375	5.08065	2.95721
39	Surface 12	27139	9.665	159.181	-4.6	-583.078	-138.54	5.23382	8.87086	7.8626	-1.91379	4.56846	2.923
40	Surface 12	27410	9.665	161.663	-3.68	-499.44	-108.911	-1.62406	11.8494	9.37154	-1.80593	4.73388	0.535791
41	Surface 12	27415	9.665	159.181	-3.68	-500.761	-108.766	4.21796	10.6054	9.16858	-1.98655	4.3534	0.504111
42	Surface 12	27630	9.665	161.663	-2.76	-411.02	-81.0185	-2.99948	13.2737	8.36095	-1.91018	4.32646	-1.76177
43	Surface 12	27635	9.665	159.181	-2.76	-412.316	-80.897	3.06527	11.9724	8.17332	-2.097	4.08614	-1.78718
44	Surface 12	27851	9.665	161.663	-1.84	-317.455	-53.7303	-4.36195	14.482	5.80205	-2.07067	3.85293	-2.74702
45	Surface 12	27856	9.665	159.181	-1.84	-318.677	-53.4616	1.82731	13.1259	5.64683	-2.27519	3.74849	-2.76054
46	Surface 12	28071	9.665	161.663	-0.92	-221.32	-26.7425	-4.92111	15.7017	2.83545	-1.88167	3.30727	-2.70027
47	Surface 12	28076	9.665	159.181	-0.92	-222.363	-26.5583	0.853161	14.287	2.7385	-2.06639	3.34994	-2.69306
48	Surface 12	28291	9.665	161.663	0.0	-125.418	-3.76154	-4.63831	16.7779	1.47334	-1.69213	8.35521	-2.42397
49	Surface 12	28296	9.665	159.181	0.0	-123.099	-3.17558	0.598821	15.3789	1.42299	-1.86558	9.31847	-2.41176
50	Surface 13	27108	9.665	-180.0	-4.6	-579.295	-140.109	-1.61421	12.6523	8.4132	0.153158	0.16919	3.21511
