Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
139:Seismic 2 - Results - 26:Increment 26
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-907.207	-140.682	-8.25603	-14.8547	3.87865	-0.145369	-8.33125E-3	3.88598
3	Surface 2	27118	9.665	6.11244	-4.6	-910.204	-140.229	-11.4767	-13.9347	4.10884	-0.256887	0.0127946	3.85488
4	Surface 2	27124	9.665	12.2246	-4.6	-912.908	-139.6	-12.442	-12.7311	4.39521	-0.317343	-1.11967	3.89282
5	Surface 2	27135	9.665	18.3371	-4.6	-916.141	-138.65	-8.63814	-11.599	4.6724	-0.331111	-3.5828	3.7552
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-833.372	-110.687	-5.99102	-13.5808	6.38066	-0.13925	0.0404957	1.03046
7	Surface 2	27403	9.665	6.11242	-3.68	-836.321	-110.336	-9.19108	-12.6543	6.59343	-0.250022	0.0841718	0.986097
8	Surface 2	27407	9.665	12.2246	-3.68	-838.982	-109.832	-9.97462	-11.4456	6.85728	-0.308918	-0.948589	1.01501
9	Surface 2	27413	9.665	18.3371	-3.68	-842.145	-109.042	-5.56076	-10.3088	7.10812	-0.309079	-3.21961	0.874404
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-751.995	-82.6586	-3.77737	-12.766	6.0981	-0.149463	0.0850919	-1.77882
11	Surface 2	27623	9.665	6.11241	-2.76	-754.888	-82.3632	-7.00599	-11.8345	6.27834	-0.263651	0.155169	-1.84165
12	Surface 2	27627	9.665	12.2246	-2.76	-757.488	-81.9811	-7.62469	-10.6193	6.51003	-0.324665	-0.767411	-1.81689
13	Surface 2	27633	9.665	18.3371	-2.76	-760.545	-81.3028	-2.55495	-9.47954	6.71702	-0.31452	-2.8284	-1.96545
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-663.786	-55.1327	-1.53791	-12.2161	4.09855	-0.185389	0.123198	-2.70405
15	Surface 2	27844	9.665	6.11241	-1.84	-666.572	-54.6875	-4.89327	-11.2777	4.23074	-0.308617	0.223663	-2.78134
16	Surface 2	27847	9.665	12.2246	-1.84	-669.124	-54.7099	-5.3831	-10.0588	4.41236	-0.375696	-0.579061	-2.77723
17	Surface 2	27854	9.665	18.3371	-1.84	-671.902	-54.049	0.353571	-8.91428	4.55978	-0.362762	-2.41703	-2.92797
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-570.765	-27.6231	0.198316	-11.6714	1.85374	-0.186759	0.189656	-2.30474
19	Surface 2	28064	9.665	6.11242	-0.92	-573.629	-27.311	-2.67413	-10.7284	1.92211	-0.309645	0.272983	-2.40019
20	Surface 2	28068	9.665	12.2246	-0.92	-575.637	-27.4005	-3.02262	-9.49859	2.02441	-0.373571	-0.410005	-2.4295
21	Surface 2	28073	9.665	18.3371	-0.92	-578.493	-27.0143	2.62835	-8.35871	2.10031	-0.345737	-1.95629	-2.59816
22	Surface 2	28280	9.665	0.0	0.0	-476.231	-4.35498	0.800545	-10.7514	0.945065	-0.189056	0.931903	-1.83068
23	Surface 2	28284	9.665	6.11244	0.0	-476.969	-3.8932	-1.3892	-9.7951	0.979449	-0.319754	1.49586	-1.95143
24	Surface 2	28287	9.665	12.2246	0.0	-481.851	-4.39674	-1.61287	-8.59194	1.02689	-0.378794	1.14191	-1.98074
25	Surface 2	28294	9.665	18.3371	0.0	-482.314	-3.79179	3.35481	-7.43841	1.06822	-0.350142	-0.158352	-2.17209
26	Surface 3	27135	9.665	18.3371	-4.6	-916.141	-138.65	-8.63814	-11.599	4.6724	-0.331111	-3.5828	3.7552
27	Surface 3	27142	9.665	20.819	-4.6	-918.701	-138.351	-13.3941	-10.8478	4.8517	-0.416701	-2.14698	3.84165
28	Surface 3	27413	9.665	18.3371	-3.68	-842.145	-109.042	-5.56076	-10.3088	7.10812	-0.309079	-3.21961	0.874404
29	Surface 3	27420	9.665	20.819	-3.68	-844.642	-108.823	-10.7292	-9.55281	7.27717	-0.395027	-1.8969	0.931765
30	Surface 3	27633	9.665	18.3371	-2.76	-760.545	-81.3028	-2.55495	-9.47954	6.71702	-0.31452	-2.8284	-1.96545
31	Surface 3	27639	9.665	20.819	-2.76	-762.938	-81.1276	-8.14816	-8.71963	6.86691	-0.40247	-1.63547	-1.93767
32	Surface 3	27854	9.665	18.3371	-1.84	-671.902	-54.049	0.353571	-8.91428	4.55978	-0.362762	-2.41703	-2.92797
33	Surface 3	27860	9.665	20.819	-1.84	-674.186	-53.7496	-5.58886	-8.14855	4.68152	-0.453441	-1.3605	-2.93085
34	Surface 3	28073	9.665	18.3371	-0.92	-578.493	-27.0143	2.62835	-8.35871	2.10031	-0.345737	-1.95629	-2.59816
35	Surface 3	28078	9.665	20.819	-0.92	-580.688	-26.8169	-3.11758	-7.59421	2.17547	-0.442714	-1.07146	-2.62874
36	Surface 3	28294	9.665	18.3371	0.0	-482.314	-3.79179	3.35481	-7.43841	1.06822	-0.350142	-0.158352	-2.17209
37	Surface 3	28300	9.665	20.819	0.0	-481.44	-3.2397	-1.95294	-6.65288	1.11797	-0.45473	0.789228	-2.22195
38	Surface 12	27127	9.665	161.663	-4.6	-915.703	-138.71	8.66135	-11.7277	4.63976	0.349053	3.31578	3.75154
39	Surface 12	27139	9.665	159.181	-4.6	-918.248	-138.407	13.4286	-10.8282	4.84745	0.436881	1.90794	3.83778
40	Surface 12	27410	9.665	161.663	-3.68	-841.715	-109.082	5.58564	-10.4423	7.07814	0.330822	2.95439	0.873292
41	Surface 12	27415	9.665	159.181	-3.68	-844.196	-108.859	10.7635	-9.5372	7.27395	0.419076	1.65943	0.929721
42	Surface 12	27630	9.665	161.663	-2.76	-760.121	-81.3277	2.58549	-9.61785	6.69217	0.344269	2.56709	-1.96413
43	Surface 12	27635	9.665	159.181	-2.76	-762.494	-81.1473	8.1867	-8.70755	6.86605	0.434627	1.40161	-1.93813
