Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
16:Tunnel Opening T2 P2 - 16:Increment 16
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-581.801	-139.461	3.93602	7.52406	7.71074	-0.411929	0.508301	2.84324
3	Surface 2	27118	9.665	6.11244	-4.6	-581.842	-139.454	0.486591	8.31275	7.84844	-0.0254335	-0.339054	2.80902
4	Surface 2	27124	9.665	12.2246	-4.6	-582.031	-139.331	-0.651301	8.36321	7.85243	0.371616	-1.78714	2.84613
5	Surface 2	27135	9.665	18.3371	-4.6	-582.954	-139.009	3.45262	7.98653	7.78342	0.784004	-3.88129	2.75412
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-499.811	-109.705	3.75931	9.1599	8.96013	-0.432503	0.577779	0.443208
7	Surface 2	27403	9.665	6.11242	-3.68	-499.786	-109.641	0.391846	9.96192	9.0879	-0.0350747	-0.250299	0.40461
8	Surface 2	27407	9.665	12.2246	-3.68	-499.963	-109.486	-0.498559	10.0003	9.09086	0.376027	-1.59353	0.448907
9	Surface 2	27413	9.665	18.3371	-3.68	-500.836	-109.166	4.22715	9.60224	9.03165	0.80781	-3.47949	0.368713
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-411.856	-81.8544	3.56008	10.4369	7.9278	-0.470539	0.641812	-1.81851
11	Surface 2	27623	9.665	6.11241	-2.76	-411.747	-81.7265	0.276392	11.2516	8.03869	-0.0478048	-0.152697	-1.86504
12	Surface 2	27627	9.665	12.2246	-2.76	-411.875	-81.5706	-0.360423	11.2805	8.04907	0.389907	-1.37345	-1.80755
13	Surface 2	27633	9.665	18.3371	-2.76	-412.651	-81.2375	5.00212	10.8628	8.01117	0.850279	-3.02967	-1.87336
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-319.059	-54.5262	3.34676	11.5119	5.39568	-0.535777	0.69744	-2.73661
15	Surface 2	27844	9.665	6.11241	-1.84	-318.798	-54.1667	0.0720065	12.3404	5.48393	-0.0634372	-0.0479276	-2.78621
16	Surface 2	27847	9.665	12.2246	-1.84	-318.839	-54.3095	-0.33762	12.3578	5.50587	0.421281	-1.12782	-2.73348
17	Surface 2	27854	9.665	18.3371	-1.84	-319.294	-53.8894	5.66159	11.9221	5.50741	0.921817	-2.53571	-2.78064
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-223.782	-27.2171	2.60828	12.6186	2.5555	-0.50161	0.77683	-2.53277
19	Surface 2	28064	9.665	6.11242	-0.92	-223.51	-26.9397	-0.111102	13.4575	2.607	-0.0665323	0.0383003	-2.60228
20	Surface 2	28068	9.665	12.2246	-0.92	-222.884	-27.0871	-0.339272	13.4607	2.63045	0.381212	-0.901783	-2.57575
21	Surface 2	28073	9.665	18.3371	-0.92	-223.246	-26.8379	5.49268	12.9989	2.65883	0.846077	-1.99022	-2.66103
