	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-411.499	-81.623	3.40971	10.5161	8.00936	0.160257	-3.25703	-1.46159
31	Surface 3	27639	9.665	20.819	-2.76	-412.441	-81.3896	-2.92328	9.84032	7.92114	0.407404	-3.01091	-1.48505
32	Surface 3	27854	9.665	18.3371	-1.84	-316.899	-54.0332	4.35772	11.9023	5.61067	0.266176	-2.79173	-2.46664
33	Surface 3	27860	9.665	20.819	-1.84	-317.825	-53.6921	-2.07031	11.1874	5.53901	0.527752	-2.69397	-2.48624
34	Surface 3	28073	9.665	18.3371	-0.92	-219.2	-26.8643	4.73005	13.2875	2.7684	0.320193	-2.26953	-2.52667
35	Surface 3	28078	9.665	20.819	-0.92	-220.085	-26.6419	-1.24377	12.5293	2.72502	0.548963	-2.33225	-2.53339
36	Surface 3	28294	9.665	18.3371	0.0	-121.041	-3.55889	4.43577	14.4408	1.45314	0.36198	-2.92124	-2.3272
37	Surface 3	28300	9.665	20.819	0.0	-118.749	-2.97156	-0.970522	13.6974	1.4353	0.566581	-4.02125	-2.33308
38	Surface 12	27127	9.665	161.663	-4.6	-584.986	-141.27	-3.72731	3.82869	7.1811	-0.258342	4.45666	2.75828
39	Surface 12	27139	9.665	159.181	-4.6	-585.997	-140.925	2.1847	3.06766	7.00874	-0.374775	3.81615	2.75762
40	Surface 12	27410	9.665	161.663	-3.68	-502.703	-110.815	-4.50993	5.46995	8.46456	-0.249897	3.98139	0.458667
41	Surface 12	27415	9.665	159.181	-3.68	-503.651	-110.542	1.69255	4.70494	8.3187	-0.375149	3.48888	0.458583
42	Surface 12	27630	9.665	161.663	-2.76	-414.148	-82.3245	-5.27432	6.78255	7.54902	-0.294987	3.46355	-1.70222
43	Surface 12	27635	9.665	159.181	-2.76	-414.975	-82.0924	1.15669	6.01077	7.43283	-0.42893	3.13014	-1.70312
44	Surface 12	27851	9.665	161.663	-1.84	-320.03	-54.4936	-5.89719	7.90951	5.20921	-0.399477	2.91253	-2.56209
45	Surface 12	27856	9.665	159.181	-1.84	-320.692	-54.1313	0.645828	7.12941	5.12601	-0.546909	2.73435	-2.56421
46	Surface 12	28071	9.665	161.663	-0.92	-222.584	-27.1055	-5.66646	9.05385	2.53027	-0.445974	2.32296	-2.4867
47	Surface 12	28076	9.665	159.181	-0.92	-223.007	-26.8572	0.408539	8.25683	2.48445	-0.573053	2.31288	-2.48588
48	Surface 12	28291	9.665	161.663	0.0	-123.978	-3.61021	-4.93549	10.1486	1.32694	-0.47552	3.37106	-2.23629
49	Surface 12	28296	9.665	159.181	0.0	-120.961	-2.97153	0.551196	9.37813	1.30899	-0.590189	4.08091	-2.24055
50	Surface 13	27108	9.665	-180.0	-4.6	-583.337	-142.846	-6.546	5.37086	7.83741	0.740709	0.418934	2.47554
51	Surface 13	27116	9.665	173.888	-4.6	-583.642	-142.607	-2.21329	5.33107	7.67047	0.479922	1.13574	2.59891
52	Surface 13	27123	9.665	167.775	-4.6	-583.983	-142.086	-0.254038	4.71288	7.43162	0.140366	2.46208	2.76254
53	Surface 13	27127	9.665	161.663	-4.6	-584.986	-141.27	-3.72731	3.82869	7.1811	-0.258342	4.45666	2.75828
54	Surface 13	27396	9.665	-180.0	-3.68	-501.585	-112.268	-6.43613	6.81195	8.89933	0.854526	0.18352	0.145203
55	Surface 13	27402	9.665	173.888	-3.68	-501.607	-111.981	-2.12776	6.89144	8.8102	0.557545	0.913397	0.276863
56	Surface 13	27405	9.665	167.775	-3.68	-501.808	-111.507	-0.400923	6.33168	8.64503	0.183444	2.16786	0.452045
57	Surface 13	27410	9.665	161.663	-3.68	-502.703	-110.815	-4.50993	5.46995	8.46456	-0.249897	3.98139	0.458667
58	Surface 13	27617	9.665	-180.0	-2.76	-413.785	-83.6034	-6.0654	7.9341	7.74831	0.925146	-0.0541328	-2.00657
59	Surface 13	27622	9.665	173.888	-2.76	-413.436	-83.2914	-1.87166	8.12875	7.73445	0.585594	0.682871	-1.89089
60	Surface 13	27626	9.665	167.775	-2.76	-413.426	-82.9098	-0.454416	7.62487	7.65105	0.173409	1.85149	-1.71275
61	Surface 13	27630	9.665	161.663	-2.76	-414.148	-82.3245	-5.27432	6.78255	7.54902	-0.294987	3.46355	-1.70222
62	Surface 13	27836	9.665	-180.0	-1.84	-320.9	-55.5306	-5.37841	8.89242	5.1977	0.963795	-0.267166	-2.78944
63	Surface 13	27842	9.665	173.888	-1.84	-320.024	-55.0405	-1.33076	9.19499	5.23802	0.568074	0.462316	-2.71264
64	Surface 13	27846	9.665	167.775	-1.84	-319.724	-55.0614	-0.285201	8.73692	5.22634	0.10721	1.52388	-2.56896
65	Surface 13	27851	9.665	161.663	-1.84	-320.03	-54.4936	-5.89719	7.90951	5.20921	-0.399477	2.91253	-2.56209
66	Surface 13	28057	9.665	-180.0	-0.92	-225.009	-27.6646	-3.78524	9.91057	2.42939	0.813457	-0.457348	-2.48679
67	Surface 13	28061	9.665	173.888	-0.92	-223.681	-27.3219	-0.58918	10.3056	2.47641	0.444452	0.296286	-2.4921
68	Surface 13	28065	9.665	167.775	-0.92	-222.462	-27.4193	0.0139843	9.88167	2.49858	0.0196683	1.24219	-2.42116
69	Surface 13	28071	9.665	161.663	-0.92	-222.584	-27.1055	-5.66646	9.05385	2.53027	-0.445974	2.32296	-2.4867
70	Surface 13	28275	9.665	-180.0	0.0	-129.748	-4.32387	-2.45668	10.9505	1.2278	0.677673	-2.74349	-2.0706
71	Surface 13	28282	9.665	173.888	0.0	-125.705	-3.78805	-0.152643	11.3932	1.26348	0.340109	-0.85821	-2.14606
72	Surface 13	28286	9.665	167.775	0.0	-126.812	-4.24041	0.135972	10.9621	1.28588	-0.0466173	1.27336	-2.10154
73	Surface 13	28291	9.665	161.663	0.0	-123.978	-3.61021	-4.93549	10.1486	1.32694	-0.47552	3.37106	-2.23629
74	Surface 14	27096	9.665	-172.251	-4.6	-583.759	-142.419	-3.22534	4.89637	8.00134	0.996662	-1.85125	2.23029
75	Surface 14	27108	9.665	-180.0	-4.6	-583.337	-142.846	-6.546	5.37086	7.83741	0.740709	0.418934	2.47554
76	Surface 14	27389	9.665	-172.251	-3.68	-502.366	-112.043	-2.55609	6.16039	8.97463	1.16236	-1.87362	-0.116389
77	Surface 14	27396	9.665	-180.0	-3.68	-501.585	-112.268	-6.43613	6.81195	8.89933	0.854526	0.18352	0.145203
78	Surface 14	27610	9.665	-172.251	-2.76	-415.011	-83.5058	-1.52128	7.10723	7.73806	1.29293	-1.88386	-2.24456
79	Surface 14	27617	9.665	-180.0	-2.76	-413.785	-83.6034	-6.0654	7.9341	7.74831	0.925146	-0.0541328	-2.00657
80	Surface 14	27830	9.665	-172.251	-1.84	-322.563	-55.5127	-0.0960654	7.89952	5.1429	1.40186	-1.84944	-2.95978
81	Surface 14	27836	9.665	-180.0	-1.84	-320.9	-55.5306	-5.37841	8.89242	5.1977	0.963795	-0.267166	-2.78944
82	Surface 14	28051	9.665	-172.251	-0.92	-227.178	-27.6763	1.09123	8.7578	2.37973	1.24719	-1.72533	-2.57166
