	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-747.943	-82.2057	9.4833	-13.0284	6.02684	-0.0351688	-3.08286	-1.77424
31	Surface 3	27639	9.665	20.819	-2.76	-747.932	-81.9802	3.6634	-12.4605	6.1222	-0.149469	-1.7292	-1.84034
32	Surface 3	27854	9.665	18.3371	-1.84	-659.158	-54.598	8.53825	-12.5015	4.0858	-0.0500646	-2.64529	-2.70261
33	Surface 3	27860	9.665	20.819	-1.84	-659.011	-54.2016	2.40886	-11.9321	4.16435	-0.181467	-1.43021	-2.76496
34	Surface 3	28073	9.665	18.3371	-0.92	-565.274	-27.2999	6.85576	-12.0067	1.87043	-0.0456098	-2.15053	-2.4011
35	Surface 3	28078	9.665	20.819	-0.92	-564.964	-27.0078	0.961911	-11.4434	1.91787	-0.19098	-1.10862	-2.45599
36	Surface 3	28294	9.665	18.3371	0.0	-467.895	-3.79711	5.36765	-11.0833	0.964649	-0.0732542	-1.34176	-2.01532
37	Surface 3	28300	9.665	20.819	0.0	-464.322	-3.14599	-0.0695552	-10.4958	0.997077	-0.23133	-0.0389362	-2.07345
38	Surface 12	27127	9.665	161.663	-4.6	-903.799	-140.545	-11.2512	-14.8124	3.8184	0.0333108	4.07794	3.87373
39	Surface 12	27139	9.665	159.181	-4.6	-903.941	-140.329	-6.15716	-14.3589	3.90437	0.129376	2.45506	3.79443
40	Surface 12	27410	9.665	161.663	-3.68	-829.882	-110.365	-10.3486	-13.5569	6.33279	0.0249094	3.70455	1.02302
41	Surface 12	27415	9.665	159.181	-3.68	-829.978	-110.156	-4.90412	-13.1035	6.41486	0.126058	2.19545	0.952715
42	Surface 12	27630	9.665	161.663	-2.76	-748.288	-82.1858	-9.51086	-12.7581	6.077	0.0226373	3.29069	-1.78045
43	Surface 12	27635	9.665	159.181	-2.76	-748.282	-81.9624	-3.69312	-12.3055	6.15107	0.133727	1.91403	-1.84412
44	Surface 12	27851	9.665	161.663	-1.84	-659.48	-54.5852	-8.55838	-12.225	4.1212	0.0313043	2.84449	-2.71144
45	Surface 12	27856	9.665	159.181	-1.84	-659.341	-54.1911	-2.43161	-11.7713	4.18264	0.158383	1.60872	-2.77045
46	Surface 12	28071	9.665	161.663	-0.92	-565.586	-27.2928	-6.86986	-11.7213	1.8891	0.0211733	2.33956	-2.41007
47	Surface 12	28076	9.665	159.181	-0.92	-565.286	-27.0029	-0.979511	-11.2762	1.92578	0.162223	1.27894	-2.46081
48	Surface 12	28291	9.665	161.663	0.0	-468.235	-3.79766	-5.37908	-10.7955	0.974529	0.0393767	1.65268	-2.02342
49	Surface 12	28296	9.665	159.181	0.0	-464.663	-3.14696	0.0544593	-10.3266	1.00034	0.193864	0.343578	-2.07696
50	Surface 13	27108	9.665	-180.0	-4.6	-907.494	-140.756	-12.4995	-14.8913	3.88047	-0.22254	1.47483	3.90134
51	Surface 13	27116	9.665	173.888	-4.6	-905.844	-140.839	-9.18683	-15.4174	3.74043	-0.113485	1.27246	3.85831
52	Surface 13	27123	9.665	167.775	-4.6	-904.216	-140.796	-7.89048	-15.2863	3.73801	-4.98001E-3	1.99184	3.90008
53	Surface 13	27127	9.665	161.663	-4.6	-903.799	-140.545	-11.2512	-14.8124	3.8184	0.0333108	4.07794	3.87373
54	Surface 13	27396	9.665	-180.0	-3.68	-833.659	-110.76	-10.6179	-13.6182	6.38389	-0.223445	1.41186	1.04433
55	Surface 13	27402	9.665	173.888	-3.68	-831.997	-110.754	-7.34325	-14.1524	6.25482	-0.111623	1.18759	1.00928
56	Surface 13	27405	9.665	167.775	-3.68	-830.355	-110.646	-6.29071	-14.0278	6.25626	-6.06703E-3	1.80856	1.05916
57	Surface 13	27410	9.665	161.663	-3.68	-829.882	-110.365	-10.3486	-13.5569	6.33279	0.0249094	3.70455	1.02302
58	Surface 13	27617	9.665	-180.0	-2.76	-752.283	-82.7301	-8.83244	-12.8039	6.10459	-0.240004	1.33582	-1.76584
59	Surface 13	27622	9.665	173.888	-2.76	-750.572	-82.6318	-5.54471	-13.3464	5.99216	-0.119763	1.08636	-1.7958
60	Surface 13	27626	9.665	167.775	-2.76	-748.87	-82.4993	-4.71267	-13.2257	6.00678	-9.58567E-3	1.60057	-1.73082
61	Surface 13	27630	9.665	161.663	-2.76	-748.288	-82.1858	-9.51086	-12.7581	6.077	0.0226373	3.29069	-1.78045
62	Surface 13	27836	9.665	-180.0	-1.84	-664.076	-55.1962	-7.04819	-12.2545	4.10906	-0.280865	1.24608	-2.69447
63	Surface 13	27842	9.665	173.888	-1.84	-662.199	-54.8376	-3.64699	-12.8041	4.02647	-0.144477	0.968006	-2.71075
64	Surface 13	27846	9.665	167.775	-1.84	-660.39	-54.9989	-2.99978	-12.6907	4.05876	-0.0179885	1.36953	-2.64851
65	Surface 13	27851	9.665	161.663	-1.84	-659.48	-54.5852	-8.55838	-12.225	4.1212	0.0313043	2.84449	-2.71144
66	Surface 13	28057	9.665	-180.0	-0.92	-571.058	-27.6587	-4.61836	-11.7108	1.86111	-0.286563	1.11648	-2.30406
67	Surface 13	28061	9.665	173.888	-0.92	-569.072	-27.3842	-1.72232	-12.2786	1.82116	-0.146461	0.85648	-2.32342
68	Surface 13	28065	9.665	167.775	-0.92	-566.546	-27.5385	-1.27971	-12.172	1.85047	-0.0205501	1.15208	-2.29679
69	Surface 13	28071	9.665	161.663	-0.92	-565.586	-27.2928	-6.86986	-11.7213	1.8891	0.0211733	2.33956	-2.41007
70	Surface 13	28275	9.665	-180.0	0.0	-476.497	-4.36415	-2.90516	-10.7929	0.947211	-0.288206	2.07924	-1.8347
71	Surface 13	28282	9.665	173.888	0.0	-471.966	-3.87834	-0.695099	-11.3406	0.936754	-0.138383	1.26589	-1.88164
72	Surface 13	28286	9.665	167.775	0.0	-471.962	-4.37318	-0.433849	-11.2587	0.950537	-5.16264E-3	0.977926	-1.86517
73	Surface 13	28291	9.665	161.663	0.0	-468.235	-3.79766	-5.37908	-10.7955	0.974529	0.0393767	1.65268	-2.02342
74	Surface 14	27096	9.665	-172.251	-4.6	-910.265	-140.054	-8.97527	-13.8684	4.12792	-0.256692	-1.05347	3.86632
75	Surface 14	27108	9.665	-180.0	-4.6	-907.494	-140.756	-12.4995	-14.8913	3.88047	-0.22254	1.47483	3.90134
76	Surface 14	27389	9.665	-172.251	-3.68	-836.4	-110.196	-6.34565	-12.5871	6.60746	-0.247927	-0.89712	1.00321
77	Surface 14	27396	9.665	-180.0	-3.68	-833.659	-110.76	-10.6179	-13.6182	6.38389	-0.223445	1.41186	1.04433
78	Surface 14	27610	9.665	-172.251	-2.76	-754.991	-82.3071	-3.80153	-11.7645	6.29136	-0.261321	-0.731338	-1.81508
79	Surface 14	27617	9.665	-180.0	-2.76	-752.283	-82.7301	-8.83244	-12.8039	6.10459	-0.240004	1.33582	-1.76584
80	Surface 14	27830	9.665	-172.251	-1.84	-666.678	-54.9319	-1.33287	-11.2071	4.24144	-0.306189	-0.561044	-2.75844
81	Surface 14	27836	9.665	-180.0	-1.84	-664.076	-55.1962	-7.04819	-12.2545	4.10906	-0.280865	1.24608	-2.69447
82	Surface 14	28051	9.665	-172.251	-0.92	-573.648	-27.5315	0.493395	-10.6538	1.92888	-0.295503	-0.367258	-2.37638
83	Surface 14	28057	9.665	-180.0	-0.92	-571.058	-27.6587	-4.61836	-11.7108	1.86111	-0.286563	1.11648	-2.30406
84	Surface 14	28271	9.665	-172.251	0.0	-479.486	-4.36457	1.1183	-9.74113	0.98056	-0.295351	0.871946	-1.90725
85	Surface 14	28275	9.665	-180.0	0.0	-476.497	-4.36415	-2.90516	-10.7929	0.947211	-0.288206	2.07924	-1.8347
86	Surface 15	27087	9.665	-166.683	-4.6	-913.892	-139.384	-11.949	-12.7075	4.4093	-0.355828	-3.7693	3.87031
87	Surface 15	27096	9.665	-172.251	-4.6	-910.265	-140.054	-8.97527	-13.8684	4.12792	-0.256692	-1.05347	3.86632
88	Surface 15	27383	9.665	-166.683	-3.68	-839.953	-109.627	-9.36	-11.4188	6.86627	-0.345151	-3.39468	0.993495
89	Surface 15	27389	9.665	-172.251	-3.68	-836.4	-110.196	-6.34565	-12.5871	6.60746	-0.247927	-0.89712	1.00321
90	Surface 15	27605	9.665	-166.683	-2.76	-758.419	-81.7573	-6.84729	-10.5888	6.51311	-0.361391	-2.98936	-1.83812
91	Surface 15	27610	9.665	-172.251	-2.76	-754.991	-82.3071	-3.80153	-11.7645	6.29136	-0.261321	-0.731338	-1.81508
92	Surface 15	27823	9.665	-166.683	-1.84	-669.935	-54.3309	-4.45802	-10.0218	4.415	-0.415734	-2.54833	-2.79052
93	Surface 15	27830	9.665	-172.251	-1.84	-666.678	-54.9319	-1.33287	-11.2071	4.24144	-0.306189	-0.561044	-2.75844
94	Surface 15	28043	9.665	-166.683	-0.92	-576.353	-27.1275	-2.18626	-9.46517	2.02765	-0.407004	-2.09207	-2.45127
95	Surface 15	28051	9.665	-172.251	-0.92	-573.648	-27.5315	0.493395	-10.6538	1.92888	-0.295503	-0.367258	-2.37638
96	Surface 15	28265	9.665	-166.683	0.0	-480.364	-3.93426	-1.03975	-8.53462	1.03417	-0.410011	-0.1836	-2.02664
97	Surface 15	28271	9.665	-172.251	0.0	-479.486	-4.36457	1.1183	-9.74113	0.98056	-0.295351	0.871946	-1.90725
98	Surface 17	27058	9.665	-159.181	-4.6	-919.025	-138.373	-14.2922	-10.9834	4.82689	-0.427925	2.40467	3.87441
99	Surface 17	27069	9.665	-160.983	-4.6	-918.394	-138.625	-14.8241	-11.3567	4.73071	-0.444499	0.34038	3.89269
100	Surface 17	27365	9.665	-159.181	-3.68	-844.977	-108.836	-11.7308	-9.68489	7.25024	-0.407265	2.30685	0.965211
101	Surface 17	27372	9.665	-160.983	-3.68	-844.342	-109.018	-12.3539	-10.0599	7.16142	-0.424408	0.402064	0.974233
102	Surface 17	27586	9.665	-159.181	-2.76	-763.292	-81.0635	-9.28488	-8.84678	6.83962	-0.415502	2.18113	-1.90129
103	Surface 17	27591	9.665	-160.983	-2.76	-762.71	-81.2166	-9.98087	-9.22369	6.76498	-0.433325	0.454555	-1.8996
104	Surface 17	27807	9.665	-159.181	-1.84	-674.651	-53.6321	-6.80265	-8.26772	4.66051	-0.471221	2.0194	-2.88286
105	Surface 17	27813	9.665	-160.983	-1.84	-673.831	-53.7498	-7.61348	-8.64436	4.60748	-0.488911	0.492861	-2.89
106	Surface 17	28026	9.665	-159.181	-0.92	-580.668	-26.6843	-4.17387	-7.70295	2.16677	-0.463402	1.83692	-2.57799
107	Surface 17	28031	9.665	-160.983	-0.92	-580.47	-26.8861	-5.15976	-8.08254	2.14398	-0.474951	0.530831	-2.59424
108	Surface 17	28245	9.665	-159.181	0.0	-481.097	-3.13255	-2.7303	-6.73286	1.12017	-0.467471	3.34086	-2.17455
109	Surface 17	28253	9.665	-160.983	0.0	-478.782	-2.8555	-4.0785	-7.12246	1.11457	-0.497399	2.22142	-2.19554
110	Surface 24	27063	9.665	-20.819	-4.6	-918.564	-138.42	14.3092	-10.9991	4.80332	0.432761	-2.63629	3.86893
111	Surface 24	27071	9.665	-19.0166	-4.6	-917.936	-138.671	14.8357	-11.4381	4.69345	0.447819	-0.587045	3.88807
112	Surface 24	27370	9.665	-20.819	-3.68	-844.535	-108.867	11.7414	-9.7066	7.22783	0.411993	-2.53539	0.961235
113	Surface 24	27375	9.665	-19.0166	-3.68	-843.904	-109.049	12.3604	-10.147	7.12638	0.427348	-0.645306	0.971919
114	Surface 24	27589	9.665	-20.819	-2.76	-762.876	-81.0828	9.29484	-8.87552	6.82098	0.423779	-2.40407	-1.9033
115	Surface 24	27594	9.665	-19.0166	-2.76	-762.3	-81.2366	9.98748	-9.31767	6.73576	0.439305	-0.691415	-1.89899
116	Surface 24	27810	9.665	-20.819	-1.84	-674.268	-53.6424	6.81689	-8.30468	4.64852	0.489865	-2.23385	-2.88271
117	Surface 24	27814	9.665	-19.0166	-1.84	-673.456	-53.7608	7.62515	-8.74661	4.58853	0.504924	-0.720211	-2.88636
