	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-738.281	-81.1183	4.09307	2.36684	8.42788	1.12397	-5.23874	-1.9385
31	Surface 3	27639	9.665	20.819	-2.76	-739.582	-80.9732	-1.54704	1.61909	8.31865	1.22078	-4.30362	-1.95822
32	Surface 3	27854	9.665	18.3371	-1.84	-649.475	-53.8731	5.0481	3.27161	5.80728	1.22155	-4.7717	-3.10998
33	Surface 3	27860	9.665	20.819	-1.84	-650.657	-53.5737	-0.866422	2.49467	5.7202	1.32629	-3.97016	-3.12474
34	Surface 3	28073	9.665	18.3371	-0.92	-556.602	-26.8765	5.17688	4.17712	2.76156	1.12145	-4.23945	-2.90134
35	Surface 3	28078	9.665	20.819	-0.92	-557.577	-26.6658	-0.456264	3.3646	2.70858	1.20914	-3.58956	-2.90543
36	Surface 3	28294	9.665	18.3371	0.0	-462.415	-3.97039	4.65359	5.15257	1.40034	1.01375	-7.05232	-2.48582
37	Surface 3	28300	9.665	20.819	0.0	-460.095	-3.37742	-0.506082	4.3601	1.37587	1.09109	-6.97471	-2.49077
38	Surface 12	27127	9.665	161.663	-4.6	-895.009	-138.719	-2.20311	-0.597048	6.79407	-1.0312	5.98758	4.08471
39	Surface 12	27139	9.665	159.181	-4.6	-896.372	-138.533	2.68257	-1.2742	6.66564	-1.12327	4.79687	4.06124
40	Surface 12	27410	9.665	161.663	-3.68	-820.453	-108.976	-3.17525	1.06719	9.08374	-1.05827	5.63248	1.06567
41	Surface 12	27415	9.665	159.181	-3.68	-821.808	-108.824	2.09826	0.361243	8.96241	-1.14975	4.5622	1.04404
42	Surface 12	27630	9.665	161.663	-2.76	-738.379	-81.1617	-4.20074	2.24945	8.41118	-1.11317	5.21873	-1.94778
43	Surface 12	27635	9.665	159.181	-2.76	-739.663	-81.0144	1.45042	1.51456	8.30327	-1.20618	4.28191	-1.96675
44	Surface 12	27851	9.665	161.663	-1.84	-649.577	-53.8984	-5.12616	3.14553	5.79211	-1.20896	4.74839	-3.11282
45	Surface 12	27856	9.665	159.181	-1.84	-650.736	-53.5967	0.798249	2.38303	5.7067	-1.30992	3.94565	-3.1272
46	Surface 12	28071	9.665	161.663	-0.92	-556.693	-26.8883	-5.21885	4.04328	2.75244	-1.1099	4.21421	-2.89911
47	Surface 12	28076	9.665	159.181	-0.92	-557.641	-26.6757	0.421757	3.24663	2.70079	-1.19422	3.56365	-2.90339
48	Surface 12	28291	9.665	161.663	0.0	-462.464	-3.97054	-4.67351	5.01721	1.39547	-1.00284	6.99076	-2.48191
49	Surface 12	28296	9.665	159.181	0.0	-460.113	-3.37567	0.491803	4.24103	1.37189	-1.07717	6.90203	-2.4874
50	Surface 13	27108	9.665	-180.0	-4.6	-892.334	-139.581	-2.46687	0.910933	7.09737	0.0536454	0.632028	4.17612
51	Surface 13	27116	9.665	173.888	-4.6	-892.983	-139.421	0.613139	0.798013	7.06509	-0.311192	1.43585	4.14698
52	Surface 13	27123	9.665	167.775	-4.6	-893.557	-139.176	1.56191	0.204939	6.94559	-0.672142	3.16996	4.17698
53	Surface 13	27127	9.665	161.663	-4.6	-895.009	-138.719	-2.20311	-0.597048	6.79407	-1.0312	5.98758	4.08471
54	Surface 13	27396	9.665	-180.0	-3.68	-817.82	-109.776	-2.62858	2.63231	9.34493	0.0598204	0.561744	1.12613
55	Surface 13	27402	9.665	173.888	-3.68	-818.43	-109.614	0.455807	2.52027	9.32121	-0.312591	1.35431	1.09911
56	Surface 13	27405	9.665	167.775	-3.68	-819.013	-109.388	1.22001	1.90195	9.21528	-0.683292	2.99898	1.14252
57	Surface 13	27410	9.665	161.663	-3.68	-820.453	-108.976	-3.17525	1.06719	9.08374	-1.05827	5.63248	1.06567
58	Surface 13	27617	9.665	-180.0	-2.76	-735.918	-81.9208	-2.78326	3.8676	8.59938	0.0639596	0.488119	-1.92493
59	Surface 13	27622	9.665	173.888	-2.76	-736.458	-81.7379	0.310653	3.7559	8.58479	-0.327001	1.25631	-1.95313
60	Surface 13	27626	9.665	167.775	-2.76	-737.008	-81.5504	0.87903	3.11515	8.50682	-0.716383	2.79341	-1.88935
61	Surface 13	27630	9.665	161.663	-2.76	-738.379	-81.1617	-4.20074	2.24945	8.41118	-1.11317	5.21873	-1.94778
