	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
36	Line 25115	3220	9.665	-26.5207	-65.7	-125.052	236.312	184.485	0.0	-17.666	0.277877E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	-66.721	124.382	90.7676	0.0	-19.3659	0.106432E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	-83.4899	148.855	102.327	0.0	-23.2087	0.274596E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-83.4899	148.855	102.327	0.0	-23.2087	0.274596E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-83.4899	148.855	102.327	0.0	-23.2087	0.274596E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-83.4899	148.855	102.327	0.0	-23.2087	0.274596E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-85.6696	139.8	98.3424	0.0	-38.1332	0.349063E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-85.6696	139.8	98.3424	0.0	-38.1332	0.349063E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-85.6696	139.8	98.3424	0.0	-38.1332	0.349063E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-85.6696	139.8	98.3424	0.0	-38.1332	0.349063E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-50.215	74.3216	57.4358	0.0	-9.85148	0.232733E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-50.215	74.3216	57.4358	0.0	-9.85148	0.232733E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-178.429	-265.493	306.272	0.0	-26.7149	-0.811601E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-118.095	-179.902	141.072	0.0	-17.6061	-0.474346E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-118.095	-179.902	141.072	0.0	-17.6061	-0.474346E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-178.429	-265.493	306.272	0.0	-26.7149	-0.811601E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-137.467	-192.317	327.875	0.0	23.7736	-1.52351E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-178.429	-265.493	306.272	0.0	-26.7149	-0.811601E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-178.429	-265.493	306.272	0.0	-26.7149	-0.811601E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-137.467	-192.317	327.875	0.0	23.7736	-1.52351E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-50.215	74.3216	57.4358	0.0	-9.85148	0.232733E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-50.215	74.3216	57.4358	0.0	-9.85148	0.232733E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-115.542	160.295	128.754	0.0	-8.81832	0.435301E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-115.542	160.295	128.754	0.0	-8.81832	0.435301E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-115.542	160.295	128.754	0.0	-8.81832	0.435301E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-115.542	160.295	128.754	0.0	-8.81832	0.435301E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-220.648	197.977	164.316	0.0	-78.7382	0.393576E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-220.648	197.977	164.316	0.0	-78.7382	0.393576E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-220.648	197.977	164.316	0.0	-78.7382	0.393576E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-220.648	197.977	164.316	0.0	-78.7382	0.393576E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-260.595	34.2765	-245.864	0.0	-64.7601	-0.685602E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-260.595	34.2765	-245.864	0.0	-64.7601	-0.685602E-3
70	Line 25134	3784	8.9	26.534	-65.7	-111.198	-183.145	81.3875	0.0	-29.4651	-82.6384E-6
71	Line 25134	3741	8.9	24.2119	-65.7	-92.1332	-158.534	52.5122	0.0	-22.4669	-0.136605E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-92.1332	-158.534	52.5122	0.0	-22.4669	-0.136605E-3
73	Line 25134	3821	9.665	26.534	-65.7	-111.198	-183.145	81.3875	0.0	-29.4651	-82.6384E-6
74	Line 25135	3801	8.9	28.1214	-65.7	-107.936	-172.789	95.7006	0.0	-23.0887	-0.185113E-3
75	Line 25135	3784	8.9	26.534	-65.7	-111.198	-183.145	81.3875	0.0	-29.4651	-82.6384E-6
76	Line 25135	3821	9.665	26.534	-65.7	-111.198	-183.145	81.3875	0.0	-29.4651	-82.6384E-6
77	Line 25135	3850	9.665	28.1214	-65.7	-107.936	-172.789	95.7006	0.0	-23.0887	-0.185113E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-118.095	-179.902	141.072	0.0	-17.6061	-0.474346E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-107.936	-172.789	95.7006	0.0	-23.0887	-0.185113E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-107.936	-172.789	95.7006	0.0	-23.0887	-0.185113E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-118.095	-179.902	141.072	0.0	-17.6061	-0.474346E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-92.1332	-158.534	52.5122	0.0	-22.4669	-0.136605E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-90.7311	-159.308	38.4464	0.0	-12.2149	54.406E-6
84	Line 25139	3760	9.665	23.1855	-65.7	-90.7311	-159.308	38.4464	0.0	-12.2149	54.406E-6
85	Line 25139	3778	9.665	24.2119	-65.7	-92.1332	-158.534	52.5122	0.0	-22.4669	-0.136605E-3
86	Line 25142	3686	8.9	20.819	-65.7	-120.012	-217.383	1.52374	0.0	-51.5708	-0.217125E-3
87	Line 25142	3655	8.9	18.3371	-65.7	-178.68	-349.298	-323.519	0.0	-7.35302	-3.17104E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-178.68	-349.298	-323.519	0.0	-7.35302	-3.17104E-3
89	Line 25142	3713	9.665	20.819	-65.7	-120.012	-217.383	1.52374	0.0	-51.5708	-0.217125E-3
90	Line 25143	3721	8.9	23.1855	-65.7	-90.7311	-159.308	38.4464	0.0	-12.2149	54.406E-6
91	Line 25143	3686	8.9	20.819	-65.7	-120.012	-217.383	1.52374	0.0	-51.5708	-0.217125E-3
92	Line 25143	3713	9.665	20.819	-65.7	-120.012	-217.383	1.52374	0.0	-51.5708	-0.217125E-3
93	Line 25143	3760	9.665	23.1855	-65.7	-90.7311	-159.308	38.4464	0.0	-12.2149	54.406E-6
94	Line 25144	3288	8.9	-155.08	-65.7	-67.8406	-129.051	91.3181	0.0	-6.65084	-0.682207E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-67.8406	-129.051	91.3181	0.0	-6.65084	-0.682207E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-133.1	-245.475	188.036	0.0	2.88628	-0.785735E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-133.1	-245.475	188.036	0.0	2.88628	-0.785735E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-128.471	-246.617	220.399	0.0	-3.03324	0.353969E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-128.471	-246.617	220.399	0.0	-3.03324	0.353969E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-128.471	-246.617	220.399	0.0	-3.03324	0.353969E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-331.168	-510.777	816.77	0.0	57.8572	-1.67653E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-128.471	-246.617	220.399	0.0	-3.03324	0.353969E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-91.5059	-128.681	378.061	0.0	55.332	-0.620862E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-331.168	-510.777	816.77	0.0	57.8572	-1.67653E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-91.5059	-128.681	378.061	0.0	55.332	-0.620862E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-81.6218	-154.888	106.847	0.0	-16.2856	-0.725343E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-67.8406	-129.051	91.3181	0.0	-6.65084	-0.682207E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-81.6218	-154.888	106.847	0.0	-16.2856	-0.725343E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-67.8406	-129.051	91.3181	0.0	-6.65084	-0.682207E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-48.5566	-77.7167	59.2079	0.0	-11.3999	-0.588471E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-82.4212	-145.626	104.912	0.0	-38.069	-0.589499E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-48.5566	-77.7167	59.2079	0.0	-11.3999	-0.588471E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-82.4212	-145.626	104.912	0.0	-38.069	-0.589499E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-82.4212	-145.626	104.912	0.0	-38.069	-0.589499E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-81.6218	-154.888	106.847	0.0	-16.2856	-0.725343E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-82.4212	-145.626	104.912	0.0	-38.069	-0.589499E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-81.6218	-154.888	106.847	0.0	-16.2856	-0.725343E-3
118	Line 25153	3926	8.9	142.018	-65.7	-111.39	217.605	341.581	0.0	36.1605	1.31403E-3
119	Line 25153	3868	8.9	147.44	-65.7	-133.524	281.273	355.947	0.0	-27.0002	1.39946E-3
120	Line 25153	3952	9.665	142.018	-65.7	-111.39	217.605	341.581	0.0	36.1605	1.31403E-3
121	Line 25153	3908	9.665	147.44	-65.7	-133.524	281.273	355.947	0.0	-27.0002	1.39946E-3
122	Line 25154	3868	8.9	147.44	-65.7	-133.524	281.273	355.947	0.0	-27.0002	1.39946E-3
123	Line 25154	3836	8.9	149.628	-65.7	-89.5137	184.746	174.561	0.0	-19.0911	43.3031E-6
124	Line 25154	3908	9.665	147.44	-65.7	-133.524	281.273	355.947	0.0	-27.0002	1.39946E-3
125	Line 25154	3876	9.665	149.628	-65.7	-89.5137	184.746	174.561	0.0	-19.0911	43.3031E-6
126	Line 25157	3399	8.9	-161.663	-65.7	-111.119	-167.282	133.145	0.0	-8.90407	-1.14945E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-48.5566	-77.7167	59.2079	0.0	-11.3999	-0.588471E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-111.119	-167.282	133.145	0.0	-8.90407	-1.14945E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-48.5566	-77.7167	59.2079	0.0	-11.3999	-0.588471E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-205.886	-197.289	131.231	0.0	-79.1836	-0.379938E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-111.119	-167.282	133.145	0.0	-8.90407	-1.14945E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-205.886	-197.289	131.231	0.0	-79.1836	-0.379938E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-111.119	-167.282	133.145	0.0	-8.90407	-1.14945E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-204.578	-38.8335	-543.82	0.0	-19.1037	-2.73459E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-205.886	-197.289	131.231	0.0	-79.1836	-0.379938E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-204.578	-38.8335	-543.82	0.0	-19.1037	-2.73459E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-205.886	-197.289	131.231	0.0	-79.1836	-0.379938E-3
138	Line 25164	3783	8.9	153.466	-65.7	-87.865	184.519	134.717	0.0	-32.0936	0.13611E-3
139	Line 25164	3734	8.9	155.788	-65.7	-72.8042	160.625	104.298	0.0	-23.814	0.193378E-3
140	Line 25164	3815	9.665	153.466	-65.7	-87.865	184.519	134.717	0.0	-32.0936	0.13611E-3
141	Line 25164	3773	9.665	155.788	-65.7	-72.8042	160.625	104.298	0.0	-23.814	0.193378E-3
142	Line 25167	3836	8.9	149.628	-65.7	-89.5137	184.746	174.561	0.0	-19.0911	43.3031E-6
143	Line 25167	3799	8.9	151.879	-65.7	-85.3169	175.647	142.615	0.0	-22.472	0.262985E-3
144	Line 25167	3876	9.665	149.628	-65.7	-89.5137	184.746	174.561	0.0	-19.0911	43.3031E-6
145	Line 25167	3849	9.665	151.879	-65.7	-85.3169	175.647	142.615	0.0	-22.472	0.262985E-3
146	Line 25168	3799	8.9	151.879	-65.7	-85.3169	175.647	142.615	0.0	-22.472	0.262985E-3
147	Line 25168	3783	8.9	153.466	-65.7	-87.865	184.519	134.717	0.0	-32.0936	0.13611E-3
148	Line 25168	3849	9.665	151.879	-65.7	-85.3169	175.647	142.615	0.0	-22.472	0.262985E-3
149	Line 25168	3815	9.665	153.466	-65.7	-87.865	184.519	134.717	0.0	-32.0936	0.13611E-3
150	Line 25169	3734	8.9	155.788	-65.7	-72.8042	160.625	104.298	0.0	-23.814	0.193378E-3
151	Line 25169	3720	8.9	156.815	-65.7	-72.4682	162.287	92.6639	0.0	-16.8657	-64.5532E-6
152	Line 25169	3773	9.665	155.788	-65.7	-72.8042	160.625	104.298	0.0	-23.814	0.193378E-3
153	Line 25169	3756	9.665	156.815	-65.7	-72.4682	162.287	92.6639	0.0	-16.8657	-64.5532E-6
154	Line 25170	3720	8.9	156.815	-65.7	-72.4682	162.287	92.6639	0.0	-16.8657	-64.5532E-6
155	Line 25170	3685	8.9	159.181	-65.7	-98.7952	226.156	78.1498	0.0	-62.3016	0.631655E-3
156	Line 25170	3756	9.665	156.815	-65.7	-72.4682	162.287	92.6639	0.0	-16.8657	-64.5532E-6
157	Line 25170	3707	9.665	159.181	-65.7	-98.7952	226.156	78.1498	0.0	-62.3016	0.631655E-3
158	Line 25171	3685	8.9	159.181	-65.7	-98.7952	226.156	78.1498	0.0	-62.3016	0.631655E-3
159	Line 25171	3646	8.9	161.663	-65.7	-162.475	374.363	-137.916	0.0	-35.1794	-0.269654E-3
160	Line 25171	3707	9.665	159.181	-65.7	-98.7952	226.156	78.1498	0.0	-62.3016	0.631655E-3
161	Line 25171	3668	9.665	161.663	-65.7	-162.475	374.363	-137.916	0.0	-35.1794	-0.269654E-3
162	Line 25206	2993	8.9	-62.318	-65.7	-26.7689	-78.8924	294.068	0.0	85.5455	60.03E-6
163	Line 25206	2953	9.665	-62.318	-65.7	-26.7689	-78.8924	294.068	0.0	85.5455	60.03E-6
164	Line 25206	3017	8.9	-56.769	-65.7	-65.8382	-152.19	621.922	0.0	161.009	1.85691E-3
165	Line 25206	2984	9.665	-56.769	-65.7	-65.8382	-152.19	621.922	0.0	161.009	1.85691E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	-26.2695	-158.707	604.328	0.0	173.362	1.49114E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	43.1236	-135.141	636.188	0.0	135.984	-0.998956E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	-26.2695	-158.707	604.328	0.0	173.362	1.49114E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	43.1236	-135.141	636.188	0.0	135.984	-0.998956E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	-7.93688	27.9498	287.227	0.0	15.4614	-0.141383E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	-7.93688	27.9498	287.227	0.0	15.4614	-0.141383E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	-7.93688	27.9498	287.227	0.0	15.4614	-0.141383E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	-7.93688	27.9498	287.227	0.0	15.4614	-0.141383E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	-70.5119	122.273	334.027	0.0	45.7529	0.198151E-3
175	Line 25207	3102	9.665	-37.9822	-65.7	-70.5119	122.273	334.027	0.0	45.7529	0.198151E-3
176	Line 25208	3942	8.9	40.1221	-65.7	-63.8886	-99.4525	259.439	0.0	-10.875	-0.120403E-3
177	Line 25208	3979	9.665	40.1221	-65.7	-63.8886	-99.4525	259.439	0.0	-10.875	-0.120403E-3
178	Line 25208	3987	8.9	45.6711	-65.7	-59.9713	-107.041	519.244	0.0	21.2656	-1.18188E-3
179	Line 25208	4012	9.665	45.6711	-65.7	-59.9713	-107.041	519.244	0.0	21.2656	-1.18188E-3
180	Line 25208	4015	8.9	51.2201	-65.7	-49.2171	-113.412	454.044	0.0	19.9692	-1.11707E-3
181	Line 25208	4042	9.665	51.2201	-65.7	-49.2171	-113.412	454.044	0.0	19.9692	-1.11707E-3
182	Line 25208	4059	8.9	62.318	-65.7	17.2398	-68.7137	146.941	0.0	9.26607	55.0804E-6
183	Line 25208	4038	8.9	56.769	-65.7	-26.8904	-127.614	418.636	0.0	-26.3672	-7.78526E-3
184	Line 25208	4071	9.665	56.769	-65.7	-26.8904	-127.614	418.636	0.0	-26.3672	-7.78526E-3
185	Line 25208	4104	9.665	62.318	-65.7	17.2398	-68.7137	146.941	0.0	9.26607	55.0804E-6
186	Line 25209	3942	8.9	40.1221	-65.7	-63.8886	-99.4525	259.439	0.0	-10.875	-0.120403E-3
187	Line 25209	3927	8.9	37.9822	-65.7	-137.467	-192.317	327.875	0.0	23.7736	-1.52351E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-137.467	-192.317	327.875	0.0	23.7736	-1.52351E-3
189	Line 25209	3979	9.665	40.1221	-65.7	-63.8886	-99.4525	259.439	0.0	-10.875	-0.120403E-3
190	Line 25210	3111	8.9	-139.878	-65.7	-25.2168	-36.648	326.065	0.0	16.5272	0.197852E-3
191	Line 25210	3075	9.665	-139.878	-65.7	-25.2168	-36.648	326.065	0.0	16.5272	0.197852E-3
192	Line 25210	3064	8.9	-134.329	-65.7	25.7144	106.767	730.984	0.0	128.665	-0.435916E-3
193	Line 25210	3040	9.665	-134.329	-65.7	25.7144	106.767	730.984	0.0	128.665	-0.435916E-3
194	Line 25210	3016	8.9	-123.231	-65.7	-14.5777	100.042	722.45	0.0	74.0718	-1.9994E-3
195	Line 25210	3036	8.9	-128.78	-65.7	24.0339	125.654	714.988	0.0	94.6698	-0.960023E-3
196	Line 25210	3010	9.665	-128.78	-65.7	24.0339	125.654	714.988	0.0	94.6698	-0.960023E-3
197	Line 25210	2992	8.9	-117.682	-65.7	-18.3336	40.6455	332.883	0.0	50.6619	-6.33192E-6
198	Line 25210	2981	9.665	-123.231	-65.7	-14.5777	100.042	722.45	0.0	74.0718	-1.9994E-3
199	Line 25210	2947	9.665	-117.682	-65.7	-18.3336	40.6455	332.883	0.0	50.6619	-6.33192E-6
