	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-420.678	-80.7021	5.31551	-4.44449	6.02997	0.463783	-2.95295	-1.79073
31	Surface 3	27639	9.665	20.819	-2.76	-421.427	-80.5842	-0.385267	-4.87328	5.97015	0.389862	-2.28219	-1.806
32	Surface 3	27854	9.665	18.3371	-1.84	-327.586	-53.777	5.90584	-3.75151	4.09242	0.533645	-2.45037	-2.49245
33	Surface 3	27860	9.665	20.819	-1.84	-328.183	-53.477	-0.115149	-4.19098	4.04498	0.453366	-1.92138	-2.50847
34	Surface 3	28073	9.665	18.3371	-0.92	-231.096	-26.9216	5.66404	-3.0663	1.93144	0.526288	-1.88592	-2.27812
35	Surface 3	28078	9.665	20.819	-0.92	-231.462	-26.7006	-0.145459	-3.52877	1.9007	0.438348	-1.5223	-2.28954
36	Surface 3	28294	9.665	18.3371	0.0	-132.912	-3.59465	4.92823	-2.09066	1.02343	0.505181	-3.02594	-1.9877
37	Surface 3	28300	9.665	20.819	0.0	-129.817	-2.96707	-0.447843	-2.52687	1.01035	0.413609	-2.64457	-2.00283
38	Surface 12	27127	9.665	161.663	-4.6	-587.868	-137.386	-5.86362	-2.42383	5.92077	0.0584574	2.61289	2.56698
39	Surface 12	27139	9.665	159.181	-4.6	-588.439	-137.33	-0.797229	-2.13664	5.97113	0.0870045	1.78588	2.53812
40	Surface 12	27410	9.665	161.663	-3.68	-506.252	-108.246	-6.135	-1.13369	7.30918	0.0675842	2.19553	0.264889
41	Surface 12	27415	9.665	159.181	-3.68	-506.756	-108.165	-0.694512	-0.846152	7.3565	0.0987317	1.49446	0.236734
42	Surface 12	27630	9.665	161.663	-2.76	-418.551	-80.8219	-6.37666	-0.190178	6.53533	0.0813176	1.74242	-1.85523
43	Surface 12	27635	9.665	159.181	-2.76	-418.936	-80.7004	-0.590351	0.0977526	6.57839	0.114417	1.17996	-1.88373
44	Surface 12	27851	9.665	161.663	-1.84	-325.499	-53.7964	-6.48171	0.562053	4.43398	0.100767	1.26167	-2.60448
45	Surface 12	27856	9.665	159.181	-1.84	-325.735	-53.4839	-0.424075	0.851796	4.47208	0.133624	0.839496	-2.63426
46	Surface 12	28071	9.665	161.663	-0.92	-229.286	-26.8973	-5.82368	1.31421	2.09238	0.084417	0.731263	-2.39348
47	Surface 12	28076	9.665	159.181	-0.92	-229.332	-26.6609	-0.0248533	1.59646	2.1186	0.126514	0.476448	-2.42294
48	Surface 12	28291	9.665	161.663	0.0	-131.853	-3.66779	-4.89657	2.298	1.09311	0.0823344	-0.13291	-2.08411
49	Surface 12	28296	9.665	159.181	0.0	-128.596	-3.04801	0.448403	2.6053	1.11652	0.132332	-0.254569	-2.12102
50	Surface 13	27108	9.665	-180.0	-4.6	-587.497	-137.49	-3.5422	-4.50657	5.57248	0.243294	-0.306787	2.61362
51	Surface 13	27116	9.665	173.888	-4.6	-587.51	-137.508	-1.17241	-3.66689	5.71745	0.220997	-0.0296815	2.58117
52	Surface 13	27123	9.665	167.775	-4.6	-587.375	-137.49	-1.00387	-2.95328	5.83595	0.170456	0.910882	2.62597
53	Surface 13	27127	9.665	161.663	-4.6	-587.868	-137.386	-5.86362	-2.42383	5.92077	0.0584574	2.61289	2.56698
54	Surface 13	27396	9.665	-180.0	-3.68	-506.073	-108.581	-3.43412	-3.23318	6.99261	0.261497	-0.369357	0.316997
55	Surface 13	27402	9.665	173.888	-3.68	-506.021	-108.533	-0.931612	-2.38261	7.12502	0.241225	-0.120379	0.27885
56	Surface 13	27405	9.665	167.775	-3.68	-505.849	-108.434	-0.81444	-1.66491	7.23269	0.188409	0.707457	0.325965
57	Surface 13	27410	9.665	161.663	-3.68	-506.252	-108.246	-6.135	-1.13369	7.30918	0.0675842	2.19553	0.264889
58	Surface 13	27617	9.665	-180.0	-2.76	-418.657	-81.3396	-3.31832	-2.30905	6.2563	0.294075	-0.428757	-1.79582
59	Surface 13	27622	9.665	173.888	-2.76	-418.527	-81.22	-0.662281	-1.44816	6.36823	0.270845	-0.217018	-1.84418
60	Surface 13	27626	9.665	167.775	-2.76	-418.281	-81.0843	-0.585772	-0.723793	6.46788	0.21223	0.485396	-1.78977
61	Surface 13	27630	9.665	161.663	-2.76	-418.551	-80.8219	-6.37666	-0.190178	6.53533	0.0813176	1.74242	-1.85523
62	Surface 13	27836	9.665	-180.0	-1.84	-326.192	-54.4022	-3.2085	-1.57608	4.2001	0.347875	-0.482584	-2.52582
63	Surface 13	27842	9.665	173.888	-1.84	-325.917	-54.0409	-0.295108	-0.703573	4.28495	0.312784	-0.317367	-2.58015
64	Surface 13	27846	9.665	167.775	-1.84	-325.571	-54.1889	-0.216449	0.0244368	4.37285	0.2416	0.247793	-2.5369
65	Surface 13	27851	9.665	161.663	-1.84	-325.499	-53.7964	-6.48171	0.562053	4.43398	0.100767	1.26167	-2.60448
66	Surface 13	28057	9.665	-180.0	-0.92	-230.701	-27.2746	-2.57162	-0.826215	1.9452	0.33135	-0.564945	-2.22127
67	Surface 13	28061	9.665	173.888	-0.92	-230.43	-26.9932	0.0333434	0.0523095	1.99204	0.297787	-0.400171	-2.2937
68	Surface 13	28065	9.665	167.775	-0.92	-229.419	-27.1386	0.141531	0.785028	2.04876	0.226903	0.0298293	-2.2843
69	Surface 13	28071	9.665	161.663	-0.92	-229.286	-26.8973	-5.82368	1.31421	2.09238	0.084417	0.731263	-2.39348
70	Surface 13	28275	9.665	-180.0	0.0	-135.638	-4.19366	-1.88533	0.147427	1.00451	0.314406	-1.70797	-1.83393
71	Surface 13	28282	9.665	173.888	0.0	-133.118	-3.7309	0.163923	1.04311	1.03109	0.289317	-1.47588	-1.93627
72	Surface 13	28286	9.665	167.775	0.0	-134.719	-4.23567	0.246955	1.75358	1.06023	0.2189	-0.927513	-1.93194
73	Surface 13	28291	9.665	161.663	0.0	-131.853	-3.66779	-4.89657	2.298	1.09311	0.0823344	-0.13291	-2.08411
74	Surface 14	27096	9.665	-172.251	-4.6	-588.106	-137.225	1.74963	-5.41114	5.41792	0.348435	-2.15691	2.60523
75	Surface 14	27108	9.665	-180.0	-4.6	-587.497	-137.49	-3.5422	-4.50657	5.57248	0.243294	-0.306787	2.61362
76	Surface 14	27389	9.665	-172.251	-3.68	-506.695	-108.362	2.32403	-4.15293	6.85679	0.372241	-1.97296	0.322642
77	Surface 14	27396	9.665	-180.0	-3.68	-506.073	-108.581	-3.43412	-3.23318	6.99261	0.261497	-0.369357	0.316997
