	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-297.486	-81.1113	4.68157	6.76327	6.99421	1.19646	-2.77538	-1.67923
31	Surface 3	27639	9.665	20.819	-2.76	-298.297	-80.9853	-1.4177	6.02669	6.88373	1.27801	-2.54022	-1.70209
32	Surface 3	27854	9.665	18.3371	-1.84	-202.446	-53.8775	5.49959	7.81082	4.81907	1.28883	-2.27375	-2.44626
33	Surface 3	27860	9.665	20.819	-1.84	-203.134	-53.584	-0.773024	7.04496	4.73036	1.37793	-2.18291	-2.46341
34	Surface 3	28073	9.665	18.3371	-0.92	-104.789	-26.8706	5.49376	8.86142	2.34285	1.17563	-1.71184	-2.37232
35	Surface 3	28078	9.665	20.819	-0.92	-105.27	-26.6597	-0.410909	8.05868	2.28845	1.24824	-1.78226	-2.3777
36	Surface 3	28294	9.665	18.3371	0.0	-6.63586	-3.58406	4.89255	9.92824	1.24061	1.05725	-4.64084	-2.14345
37	Surface 3	28300	9.665	20.819	0.0	-3.68452	-2.96715	-0.494774	9.14701	1.21548	1.11934	-5.24161	-2.14908
38	Surface 12	27127	9.665	161.663	-4.6	-472.299	-138.344	-2.92569	4.07011	6.84603	-1.12195	3.61013	2.38584
39	Surface 12	27139	9.665	159.181	-4.6	-473.214	-138.192	2.60804	3.40859	6.72054	-1.20217	3.09465	2.35643
40	Surface 12	27410	9.665	161.663	-3.68	-387.678	-108.834	-3.79924	5.60764	7.91927	-1.14811	3.20778	0.243645
41	Surface 12	27415	9.665	159.181	-3.68	-388.563	-108.709	2.04159	4.91448	7.79872	-1.22773	2.82802	0.216661
42	Surface 12	27630	9.665	161.663	-2.76	-297.459	-81.1113	-4.69049	6.83048	7.00142	-1.19885	2.75538	-1.68217
43	Surface 12	27635	9.665	159.181	-2.76	-298.265	-80.985	1.40927	6.10609	6.89246	-1.28039	2.52186	-1.70551
44	Surface 12	27851	9.665	161.663	-1.84	-202.423	-53.8768	-5.50212	7.87753	4.82343	-1.28931	2.2547	-2.44925
45	Surface 12	27856	9.665	159.181	-1.84	-203.106	-53.5831	0.770318	7.1237	4.73594	-1.37851	2.16544	-2.46682
46	Surface 12	28071	9.665	161.663	-0.92	-104.775	-26.8698	-5.49255	8.92784	2.34464	-1.17444	1.69376	-2.37452
47	Surface 12	28076	9.665	159.181	-0.92	-105.253	-26.6587	0.411436	8.13705	2.29104	-1.24723	1.76577	-2.38028
48	Surface 12	28291	9.665	161.663	0.0	-6.63891	-3.58557	-4.89048	9.99436	1.24125	-1.05463	4.61258	-2.14494
49	Surface 12	28296	9.665	159.181	0.0	-3.68956	-2.96915	0.496042	9.22493	1.21664	-1.11693	5.21578	-2.15095
50	Surface 13	27108	9.665	-180.0	-4.6	-470.432	-139.105	-2.46632	5.62096	7.13586	-0.0288843	0.301423	2.51678
51	Surface 13	27116	9.665	173.888	-4.6	-470.842	-138.983	0.817511	5.48006	7.10899	-0.397759	0.932035	2.46974
52	Surface 13	27123	9.665	167.775	-4.6	-471.307	-138.746	1.65378	4.86858	6.9936	-0.758863	2.01438	2.49401
53	Surface 13	27127	9.665	161.663	-4.6	-472.299	-138.344	-2.92569	4.07011	6.84603	-1.12195	3.61013	2.38584
54	Surface 13	27396	9.665	-180.0	-3.68	-385.857	-109.554	-2.61331	7.23971	8.18348	-0.0311235	0.236642	0.341464
55	Surface 13	27402	9.665	173.888	-3.68	-386.232	-109.43	0.64234	7.08904	8.15934	-0.404685	0.850021	0.297108
56	Surface 13	27405	9.665	167.775	-3.68	-386.715	-109.204	1.30561	6.44448	8.05187	-0.772605	1.82595	0.334843
57	Surface 13	27410	9.665	161.663	-3.68	-387.678	-108.834	-3.79924	5.60764	7.91927	-1.14811	3.20778	0.243645
58	Surface 13	27617	9.665	-180.0	-2.76	-295.789	-81.8171	-2.7552	8.53752	7.20536	-0.0320986	0.169478	-1.62976
59	Surface 13	27622	9.665	173.888	-2.76	-296.109	-81.6672	0.46676	8.37716	7.18532	-0.421757	0.752295	-1.67273
60	Surface 13	27626	9.665	167.775	-2.76	-296.572	-81.4731	0.951029	7.70308	7.10185	-0.805574	1.60615	-1.61275
61	Surface 13	27630	9.665	161.663	-2.76	-297.459	-81.1113	-4.69049	6.83048	7.00142	-1.19885	2.75538	-1.68217
