	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
157	Line 25170	3707	9.665	159.181	-65.7	-103.622	222.719	75.5513	0.0	-55.6397	0.565351E-3
158	Line 25171	3685	8.9	159.181	-65.7	-103.622	222.719	75.5513	0.0	-55.6397	0.565351E-3
159	Line 25171	3646	8.9	161.663	-65.7	-171.487	368.765	-142.289	0.0	-27.7672	-0.194145E-3
160	Line 25171	3707	9.665	159.181	-65.7	-103.622	222.719	75.5513	0.0	-55.6397	0.565351E-3
161	Line 25171	3668	9.665	161.663	-65.7	-171.487	368.765	-142.289	0.0	-27.7672	-0.194145E-3
162	Line 25206	2993	8.9	-62.318	-65.7	-16.3342	-62.9188	287.897	0.0	103.65	69.4887E-6
163	Line 25206	2953	9.665	-62.318	-65.7	-16.3342	-62.9188	287.897	0.0	103.65	69.4887E-6
164	Line 25206	3017	8.9	-56.769	-65.7	-37.4421	-123.154	606.267	0.0	203.167	1.68246E-3
165	Line 25206	2984	9.665	-56.769	-65.7	-37.4421	-123.154	606.267	0.0	203.167	1.68246E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	11.0925	-133.3	586.46	0.0	218.415	1.54077E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	92.0899	-113.25	617.543	0.0	183.012	-1.09863E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	11.0925	-133.3	586.46	0.0	218.415	1.54077E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	92.0899	-113.25	617.543	0.0	183.012	-1.09863E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	12.0065	34.8098	280.043	0.0	26.0483	-0.225306E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	12.0065	34.8098	280.043	0.0	26.0483	-0.225306E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	12.0065	34.8098	280.043	0.0	26.0483	-0.225306E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	12.0065	34.8098	280.043	0.0	26.0483	-0.225306E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	-53.0552	127.892	326.318	0.0	59.1043	58.9337E-6
175	Line 25207	3102	9.665	-37.9822	-65.7	-53.0552	127.892	326.318	0.0	59.1043	58.9337E-6
176	Line 25208	3942	8.9	40.1221	-65.7	-35.6557	-107.685	265.979	0.0	1.76892	48.1977E-6
177	Line 25208	3979	9.665	40.1221	-65.7	-35.6557	-107.685	265.979	0.0	1.76892	48.1977E-6
178	Line 25208	3987	8.9	45.6711	-65.7	16.4065	-129.747	511.813	0.0	83.1693	-0.963275E-3
179	Line 25208	4012	9.665	45.6711	-65.7	16.4065	-129.747	511.813	0.0	83.1693	-0.963275E-3
180	Line 25208	4015	8.9	51.2201	-65.7	9.35577	-138.432	436.689	0.0	76.3068	-1.11363E-3
181	Line 25208	4042	9.665	51.2201	-65.7	9.35577	-138.432	436.689	0.0	76.3068	-1.11363E-3
182	Line 25208	4059	8.9	62.318	-65.7	33.2326	-86.0816	135.866	0.0	33.0744	76.7769E-6
183	Line 25208	4038	8.9	56.769	-65.7	16.2389	-157.897	397.366	0.0	26.5197	-7.54527E-3
184	Line 25208	4071	9.665	56.769	-65.7	16.2389	-157.897	397.366	0.0	26.5197	-7.54527E-3
185	Line 25208	4104	9.665	62.318	-65.7	33.2326	-86.0816	135.866	0.0	33.0744	76.7769E-6
186	Line 25209	3942	8.9	40.1221	-65.7	-35.6557	-107.685	265.979	0.0	1.76892	48.1977E-6
187	Line 25209	3927	8.9	37.9822	-65.7	-112.11	-198.601	352.115	0.0	41.9701	-1.64017E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-112.11	-198.601	352.115	0.0	41.9701	-1.64017E-3
189	Line 25209	3979	9.665	40.1221	-65.7	-35.6557	-107.685	265.979	0.0	1.76892	48.1977E-6
190	Line 25210	3111	8.9	-139.878	-65.7	-28.3942	-28.1492	317.826	0.0	24.0919	0.270173E-3
191	Line 25210	3075	9.665	-139.878	-65.7	-28.3942	-28.1492	317.826	0.0	24.0919	0.270173E-3
192	Line 25210	3064	8.9	-134.329	-65.7	19.9463	133.344	708.699	0.0	163.465	-0.424417E-3
193	Line 25210	3040	9.665	-134.329	-65.7	19.9463	133.344	708.699	0.0	163.465	-0.424417E-3
194	Line 25210	3016	8.9	-123.231	-65.7	-16.1693	129.685	701.52	0.0	108.612	-2.02127E-3
