	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-302.636	-80.7112	6.11226	-2.23389	5.75766	0.0921821	-1.54898	-1.74422
31	Surface 3	27639	9.665	20.819	-2.76	-303.029	-80.5941	0.275989	-2.21315	5.76177	0.0217999	-1.09168	-1.76735
32	Surface 3	27854	9.665	18.3371	-1.84	-207.915	-53.774	6.37087	-1.49713	3.89774	0.106046	-1.0499	-2.34924
33	Surface 3	27860	9.665	20.819	-1.84	-208.158	-53.4661	0.251936	-1.4787	3.90301	0.0308214	-0.73685	-2.37397
34	Surface 3	28073	9.665	18.3371	-0.92	-110.253	-26.9115	5.84428	-0.766072	1.84722	0.119711	-0.496739	-2.16694
35	Surface 3	28078	9.665	20.819	-0.92	-110.292	-26.6801	-0.031527	-0.761477	1.85089	0.0363103	-0.353894	-2.18981
36	Surface 3	28294	9.665	18.3371	0.0	-11.2433	-3.51456	4.97438	0.23386	0.989447	0.119599	-0.321315	-1.918
37	Surface 3	28300	9.665	20.819	0.0	-7.87284	-2.88376	-0.454141	0.264669	0.998045	0.0301496	-0.173352	-1.94677
38	Surface 12	27127	9.665	161.663	-4.6	-476.646	-136.861	-5.30084	-4.35363	5.39188	-0.0886501	2.45468	2.09253
39	Surface 12	27139	9.665	159.181	-4.6	-477.225	-136.792	-0.194493	-4.32769	5.39578	-0.0270065	1.72426	2.0696
40	Surface 12	27410	9.665	161.663	-3.68	-392.447	-107.976	-5.71838	-3.15667	6.50945	-0.092287	2.02285	0.0512129
41	Surface 12	27415	9.665	159.181	-3.68	-392.959	-107.892	-0.230098	-3.13467	6.51309	-0.0264065	1.42222	0.028609
42	Surface 12	27630	9.665	161.663	-2.76	-302.65	-80.7099	-6.10476	-2.2597	5.75453	-0.0993692	1.55387	-1.74393
43	Surface 12	27635	9.665	159.181	-2.76	-303.045	-80.5927	-0.269331	-2.24165	5.75811	-0.0286986	1.09583	-1.76715
44	Surface 12	27851	9.665	161.663	-1.84	-207.93	-53.7736	-6.36583	-1.52336	3.89556	-0.113353	1.055	-2.34866
45	Surface 12	27856	9.665	159.181	-1.84	-208.174	-53.4657	-0.247376	-1.50786	3.90038	-0.0377919	0.74122	-2.37343
46	Surface 12	28071	9.665	161.663	-0.92	-110.267	-26.9115	-5.84217	-0.792789	1.84615	-0.126009	0.501883	-2.16627
47	Surface 12	28076	9.665	159.181	-0.92	-110.308	-26.6802	0.0335696	-0.791374	1.84951	-0.0422804	0.358316	-2.18911
48	Surface 12	28291	9.665	161.663	0.0	-11.2529	-3.51409	-4.974	0.207066	0.988958	-0.125017	0.344368	-1.9174
49	Surface 12	28296	9.665	159.181	0.0	-7.88505	-2.88343	0.454687	0.234642	0.997359	-0.0352625	0.194593	-1.94609
50	Surface 13	27108	9.665	-180.0	-4.6	-475.563	-137.258	-2.34657	-4.47165	5.37737	-0.0451041	0.357629	2.14818
51	Surface 13	27116	9.665	173.888	-4.6	-475.898	-137.173	-0.0298675	-4.4483	5.38213	-0.0275966	0.514109	2.11163
52	Surface 13	27123	9.665	167.775	-4.6	-476.048	-137.048	-0.0537074	-4.39828	5.38771	-0.0295269	1.17888	2.15571
53	Surface 13	27127	9.665	161.663	-4.6	-476.646	-136.861	-5.30084	-4.35363	5.39188	-0.0886501	2.45468	2.09253
54	Surface 13	27396	9.665	-180.0	-3.68	-391.509	-108.477	-2.51379	-3.25952	6.49346	-0.0486529	0.294339	0.0965824
55	Surface 13	27402	9.665	173.888	-3.68	-391.8	-108.376	-0.0454133	-3.23913	6.49829	-0.0271335	0.421123	0.0599816
56	Surface 13	27405	9.665	167.775	-3.68	-391.93	-108.212	-0.078709	-3.19571	6.50427	-0.0280052	0.968757	0.111447
57	Surface 13	27410	9.665	161.663	-3.68	-392.447	-107.976	-5.71838	-3.15667	6.50945	-0.092287	2.02285	0.0512129
58	Surface 13	27617	9.665	-180.0	-2.76	-301.964	-81.305	-2.6802	-2.35099	5.7247	-0.0513458	0.228245	-1.71167
59	Surface 13	27622	9.665	173.888	-2.76	-302.191	-81.1664	-0.0420292	-2.33387	5.72838	-0.0295229	0.316918	-1.7513
60	Surface 13	27626	9.665	167.775	-2.76	-302.259	-80.9976	-0.0720351	-2.2941	5.7439	-0.031038	0.73626	-1.68573
61	Surface 13	27630	9.665	161.663	-2.76	-302.65	-80.7099	-6.10476	-2.2597	5.75453	-0.0993692	1.55387	-1.74393
62	Surface 13	27836	9.665	-180.0	-1.84	-207.846	-54.4016	-2.86085	-1.60334	3.83508	-0.0527994	0.160083	-2.31983
