Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
140:Seismic 3 - Results - 27:Increment 27
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-308.188	-111.51	-806.088	0.0	-25.0889	-3.39851E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-308.188	-111.51	-806.088	0.0	-25.0889	-3.39851E-3
4	Line 25104	3617	8.9	12.2246	-65.7	-392.437	-835.169	-1.45868E3	0.0	68.7809	-2.24117E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-456.547	-567.911	-1.77542E3	0.0	33.3032	-3.00072E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-456.547	-567.911	-1.77542E3	0.0	33.3032	-3.00072E-3
7	Line 25104	3655	8.9	18.3371	-65.7	-161.63	-350.447	-314.506	0.0	19.2644	-5.54469E-3
8	Line 25104	3627	9.665	12.2246	-65.7	-392.437	-835.169	-1.45868E3	0.0	68.7809	-2.24117E-3
9	Line 25104	3676	9.665	18.3371	-65.7	-161.63	-350.447	-314.506	0.0	19.2644	-5.54469E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	-244.852	34.7382	-266.789	0.0	-37.1117	-0.546636E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-308.188	-111.51	-806.088	0.0	-25.0889	-3.39851E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	-244.852	34.7382	-266.789	0.0	-37.1117	-0.546636E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-308.188	-111.51	-806.088	0.0	-25.0889	-3.39851E-3
14	Line 25109	3646	8.9	161.663	-65.7	-186.656	372.008	-140.263	0.0	-21.8204	-0.165195E-3
15	Line 25109	3668	9.665	161.663	-65.7	-186.656	372.008	-140.263	0.0	-21.8204	-0.165195E-3
16	Line 25109	3616	8.9	167.775	-65.7	-453.818	809.921	-1.31813E3	0.0	-88.8563	-7.94985E-3
17	Line 25109	3584	8.9	173.888	-65.7	-479.593	507.366	-1.80682E3	0.0	-31.2429	-2.22745E-3
18	Line 25109	3623	9.665	167.775	-65.7	-453.818	809.921	-1.31813E3	0.0	-88.8563	-7.94985E-3
19	Line 25109	3550	8.9	-180.0	-65.7	-243.524	109.966	-974.621	0.0	19.1183	0.403831E-3
20	Line 25109	3587	9.665	173.888	-65.7	-479.593	507.366	-1.80682E3	0.0	-31.2429	-2.22745E-3
21	Line 25109	3547	9.665	-180.0	-65.7	-243.524	109.966	-974.621	0.0	19.1183	0.403831E-3
22	Line 25110	3550	8.9	-180.0	-65.7	-243.524	109.966	-974.621	0.0	19.1183	0.403831E-3
23	Line 25110	3502	8.9	-172.251	-65.7	-242.338	-37.5725	-545.034	0.0	8.82155	-2.91412E-3
24	Line 25110	3547	9.665	-180.0	-65.7	-243.524	109.966	-974.621	0.0	19.1183	0.403831E-3
25	Line 25110	3494	9.665	-172.251	-65.7	-242.338	-37.5725	-545.034	0.0	8.82155	-2.91412E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	-60.493	116.957	326.792	0.0	60.5282	51.945E-6
