	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
29	Surface 3	27420	9.665	20.819	-3.68	-392.946	-107.895	0.238512	-3.1081	6.51722	0.0193281	-1.4182	0.0286758
30	Surface 3	27633	9.665	18.3371	-2.76	-302.637	-80.7109	6.11246	-2.2353	5.75747	0.0920771	-1.54879	-1.74419
31	Surface 3	27639	9.665	20.819	-2.76	-303.03	-80.5938	0.276208	-2.21443	5.7616	0.0216838	-1.09146	-1.76732
32	Surface 3	27854	9.665	18.3371	-1.84	-207.916	-53.7738	6.37099	-1.49856	3.89761	0.105927	-1.04972	-2.34919
33	Surface 3	27860	9.665	20.819	-1.84	-208.159	-53.4659	0.252062	-1.48	3.90289	0.0306889	-0.73663	-2.37392
34	Surface 3	28073	9.665	18.3371	-0.92	-110.254	-26.9115	5.84433	-0.767514	1.84715	0.1196	-0.496553	-2.16689
35	Surface 3	28078	9.665	20.819	-0.92	-110.292	-26.6801	-0.0314844	-0.762796	1.85083	0.0361849	-0.353678	-2.18976
36	Surface 3	28294	9.665	18.3371	0.0	-11.2435	-3.51453	4.9744	0.232419	0.989415	0.119495	-0.320778	-1.91796
37	Surface 3	28300	9.665	20.819	0.0	-7.87298	-2.88373	-0.454141	0.263351	0.998018	0.0300305	-0.172731	-1.94673
38	Surface 12	27127	9.665	161.663	-4.6	-476.647	-136.86	-5.30119	-4.355	5.39167	-0.0885606	2.4545	2.0925
39	Surface 12	27139	9.665	159.181	-4.6	-477.226	-136.791	-0.194883	-4.32894	5.39559	-0.0269082	1.72404	2.06957
40	Surface 12	27410	9.665	161.663	-3.68	-392.448	-107.976	-5.71866	-3.15806	6.50923	-0.0921924	2.02266	0.0512097
41	Surface 12	27415	9.665	159.181	-3.68	-392.96	-107.892	-0.230404	-3.13595	6.5129	-0.0263022	1.422	0.0286046
42	Surface 12	27630	9.665	161.663	-2.76	-302.651	-80.7096	-6.10496	-2.26111	5.75434	-0.099266	1.55369	-1.7439
43	Surface 12	27635	9.665	159.181	-2.76	-303.046	-80.5924	-0.269548	-2.24294	5.75794	-0.0285842	1.09561	-1.76713
44	Surface 12	27851	9.665	161.663	-1.84	-207.93	-53.7734	-6.36596	-1.52479	3.89543	-0.113236	1.05481	-2.34861
45	Surface 12	27856	9.665	159.181	-1.84	-208.175	-53.4655	-0.247501	-1.50917	3.90026	-0.0376613	0.741001	-2.37339
46	Surface 12	28071	9.665	161.663	-0.92	-110.267	-26.9115	-5.84222	-0.794238	1.84608	-0.125899	0.501699	-2.16622
47	Surface 12	28076	9.665	159.181	-0.92	-110.308	-26.6802	0.0335276	-0.792701	1.84945	-0.0421566	0.358101	-2.18906
48	Surface 12	28291	9.665	161.663	0.0	-11.2531	-3.51406	-4.97403	0.205618	0.988926	-0.124915	0.343839	-1.91736
49	Surface 12	28296	9.665	159.181	0.0	-7.88519	-2.88339	0.454686	0.233316	0.997331	-0.0351448	0.193978	-1.94605
50	Surface 13	27108	9.665	-180.0	-4.6	-475.564	-137.257	-2.3466	-4.47329	5.37712	-0.0450888	0.357638	2.14813
51	Surface 13	27116	9.665	173.888	-4.6	-475.899	-137.172	-0.0300159	-4.44991	5.38188	-0.0275521	0.514041	2.11158
52	Surface 13	27123	9.665	167.775	-4.6	-476.049	-137.047	-0.0539649	-4.39978	5.38747	-0.029457	1.17875	2.15567
53	Surface 13	27127	9.665	161.663	-4.6	-476.647	-136.86	-5.30119	-4.355	5.39167	-0.0885606	2.4545	2.0925
54	Surface 13	27396	9.665	-180.0	-3.68	-391.51	-108.476	-2.51382	-3.26119	6.4932	-0.0486391	0.294346	0.0965739
55	Surface 13	27402	9.665	173.888	-3.68	-391.801	-108.375	-0.0455354	-3.24077	6.49804	-0.0270883	0.421054	0.0599755
56	Surface 13	27405	9.665	167.775	-3.68	-391.931	-108.212	-0.0789147	-3.19725	6.50403	-0.0279324	0.96862	0.111442
57	Surface 13	27410	9.665	161.663	-3.68	-392.448	-107.976	-5.71866	-3.15806	6.50923	-0.0921924	2.02266	0.0512097
58	Surface 13	27617	9.665	-180.0	-2.76	-301.965	-81.3047	-2.68022	-2.35269	5.72448	-0.0513332	0.228251	-1.71165
