Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:47
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
18:Tunnel Opening T2 P4 - 18:Increment 18
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-580.344	-140.265	2.66614	10.5095	8.27851	-0.11653	-0.308663	2.97443
3	Surface 2	27118	9.665	6.11244	-4.6	-580.842	-140.095	-1.12121	10.327	8.24027	0.407211	-1.27728	2.93491
4	Surface 2	27124	9.665	12.2246	-4.6	-581.51	-139.778	-2.48029	9.35888	8.0607	0.917736	-2.79257	2.96102
5	Surface 2	27135	9.665	18.3371	-4.6	-582.853	-139.231	1.504	8.07694	7.83113	1.4095	-4.91452	2.84474
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-498.14	-110.209	2.78614	12.2987	9.50193	-0.118586	-0.235981	0.543002
7	Surface 2	27403	9.665	6.11242	-3.68	-498.599	-110.049	-0.871683	12.1122	9.47164	0.418321	-1.19297	0.506581
8	Surface 2	27407	9.665	12.2246	-3.68	-499.294	-109.778	-1.95413	11.1073	9.30866	0.943507	-2.60976	0.54845
9	Surface 2	27413	9.665	18.3371	-3.68	-500.63	-109.315	2.66752	9.77925	9.10655	1.45497	-4.52807	0.455587
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-409.948	-82.1252	2.89095	13.7246	8.40567	-0.121167	-0.162024	-1.76565
11	Surface 2	27623	9.665	6.11241	-2.76	-410.342	-81.9503	-0.622714	13.534	8.38463	0.444778	-1.09157	-1.80067
12	Surface 2	27627	9.665	12.2246	-2.76	-411.022	-81.7367	-1.4132	12.4955	8.25639	0.998046	-2.3911	-1.73457
13	Surface 2	27633	9.665	18.3371	-2.76	-412.299	-81.3232	3.86883	11.1243	8.10446	1.53851	-4.08336	-1.79765
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-316.919	-54.6315	2.97924	14.9425	5.75188	-0.128054	-0.0883758	-2.75048
15	Surface 2	27844	9.665	6.11241	-1.84	-317.154	-54.2585	-0.4482	14.7492	5.74583	0.494969	-0.972312	-2.7766
16	Surface 2	27847	9.665	12.2246	-1.84	-317.762	-54.3832	-0.962394	13.6759	5.66966	1.09825	-2.1343	-2.70273
17	Surface 2	27854	9.665	18.3371	-1.84	-318.74	-53.9252	4.99012	12.2637	5.60038	1.68032	-3.58063	-2.73029
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-221.485	-27.2318	2.48788	16.192	2.74442	-0.10928	0.0107861	-2.60102
19	Surface 2	28064	9.665	6.11242	-0.92	-221.656	-26.9568	-0.297041	15.9925	2.7491	0.459633	-0.865965	-2.64049
20	Surface 2	28068	9.665	12.2246	-0.92	-221.562	-27.1054	-0.573246	14.8791	2.72351	1.00978	-1.89215	-2.58646
21	Surface 2	28073	9.665	18.3371	-0.92	-222.428	-26.8444	5.25057	13.4178	2.7241	1.5435	-3.01639	-2.65024
22	Surface 2	28280	9.665	0.0	0.0	-127.947	-4.3381	1.86566	17.271	1.38676	-0.0932774	0.405937	-2.22885
23	Surface 2	28284	9.665	6.11244	0.0	-125.769	-3.8708	-0.196803	17.0874	1.39632	0.41832	-2.19153	-2.30142
24	Surface 2	28287	9.665	12.2246	0.0	-128.006	-4.34077	-0.315516	15.9473	1.39133	0.90956	-4.75975	-2.24828
25	Surface 2	28294	9.665	18.3371	0.0	-125.961	-3.74176	4.78378	14.4851	1.41679	1.4017	-7.10932	-2.36799
26	Surface 3	27135	9.665	18.3371	-4.6	-582.853	-139.231	1.504	8.07694	7.83113	1.4095	-4.91452	2.84474
27	Surface 3	27142	9.665	20.819	-4.6	-584.086	-139.022	-4.09848	7.0096	7.63232	1.55447	-4.35189	2.82011
28	Surface 3	27413	9.665	18.3371	-3.68	-500.63	-109.315	2.66752	9.77925	9.10655	1.45497	-4.52807	0.455587
29	Surface 3	27420	9.665	20.819	-3.68	-501.851	-109.16	-3.21991	8.672	8.91817	1.60242	-4.09927	0.433858
30	Surface 3	27633	9.665	18.3371	-2.76	-412.299	-81.3232	3.86883	11.1243	8.10446	1.53851	-4.08336	-1.79765
31	Surface 3	27639	9.665	20.819	-2.76	-413.453	-81.1847	-2.25547	9.97733	7.93612	1.69273	-3.79828	-1.81452
32	Surface 3	27854	9.665	18.3371	-1.84	-318.74	-53.9252	4.99012	12.2637	5.60038	1.68032	-3.58063	-2.73029
33	Surface 3	27860	9.665	20.819	-1.84	-319.772	-53.6358	-1.26717	11.0785	5.46551	1.85066	-3.43592	-2.73917
34	Surface 3	28073	9.665	18.3371	-0.92	-222.428	-26.8444	5.25057	13.4178	2.7241	1.5435	-3.01639	-2.65024
35	Surface 3	28078	9.665	20.819	-0.92	-223.235	-26.6427	-0.588253	12.1888	2.64192	1.69578	-3.02454	-2.64443
36	Surface 3	28294	9.665	18.3371	0.0	-125.961	-3.74176	4.78378	14.4851	1.41679	1.4017	-7.10932	-2.36799
37	Surface 3	28300	9.665	20.819	0.0	-123.35	-3.13667	-0.51012	13.2763	1.37585	1.54381	-7.92824	-2.36076
