Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:46
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
13:Bottom Corbel T1 - 13:Increment 13
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-580.623	-137.396	0.778776	9.6122	7.92819	0.457194	-0.267397	2.90871
3	Surface 2	27118	9.665	6.11244	-4.6	-581.291	-137.445	-1.97496	9.46802	7.95709	0.818619	-1.14184	2.79028
4	Surface 2	27124	9.665	12.2246	-4.6	-582.021	-137.426	-2.42499	8.6614	7.85039	1.14331	-2.55983	2.76716
5	Surface 2	27135	9.665	18.3371	-4.6	-583.359	-137.244	2.25378	7.59429	7.68916	1.45566	-4.60019	2.63992
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-498.75	-108.224	1.12598	11.25	9.21431	0.492513	-0.282132	0.439151
7	Surface 2	27403	9.665	6.11242	-3.68	-499.451	-108.244	-1.58885	11.0483	9.2112	0.853152	-1.11283	0.329197
8	Surface 2	27407	9.665	12.2246	-3.68	-500.225	-108.193	-1.86171	10.1832	9.09126	1.18191	-2.40444	0.327391
9	Surface 2	27413	9.665	18.3371	-3.68	-501.541	-107.991	3.35844	9.06708	8.93553	1.5065	-4.22008	0.227046
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-411.065	-80.8889	1.52833	12.5055	8.16145	0.50417	-0.286465	-1.88882
11	Surface 2	27623	9.665	6.11241	-2.76	-411.786	-80.8481	-1.18082	12.2509	8.13489	0.883959	-1.05881	-1.9846
12	Surface 2	27627	9.665	12.2246	-2.76	-412.562	-80.7801	-1.29923	11.3347	8.02544	1.23346	-2.20774	-1.95267
13	Surface 2	27633	9.665	18.3371	-2.76	-413.797	-80.5364	4.45398	10.1751	7.9008	1.58201	-3.77903	-2.0199
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-318.798	-53.9917	2.00542	13.5429	5.56086	0.49741	-0.272821	-2.85123
15	Surface 2	27844	9.665	6.11241	-1.84	-319.459	-53.7087	-0.812911	13.2421	5.53158	0.925654	-0.974196	-2.91645
16	Surface 2	27847	9.665	12.2246	-1.84	-320.176	-53.9078	-0.840974	12.2771	5.45867	1.31824	-1.96656	-2.86279
17	Surface 2	27854	9.665	18.3371	-1.84	-321.084	-53.5482	5.41367	11.0791	5.40013	1.70345	-3.27965	-2.89235
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-224.473	-26.9847	1.98983	14.6051	2.63226	0.410039	-0.208499	-2.63693
19	Surface 2	28064	9.665	6.11242	-0.92	-225.162	-26.755	-0.455367	14.2584	2.61646	0.809608	-0.885967	-2.68721
20	Surface 2	28068	9.665	12.2246	-0.92	-225.187	-26.9332	-0.48029	13.2443	2.5877	1.17798	-1.73187	-2.64054
21	Surface 2	28073	9.665	18.3371	-0.92	-225.932	-26.7173	5.45192	11.9999	2.58814	1.54487	-2.7185	-2.70294
22	Surface 2	28280	9.665	0.0	0.0	-132.46	-4.40563	1.65305	15.6151	1.32517	0.33097	-1.19153	-2.22508
23	Surface 2	28284	9.665	6.11244	0.0	-130.882	-3.96749	-0.243194	15.2729	1.32244	0.695133	-3.09744	-2.29298
24	Surface 2	28287	9.665	12.2246	0.0	-133.148	-4.43846	-0.255397	14.2295	1.31305	1.02966	-4.97009	-2.24294
25	Surface 2	28294	9.665	18.3371	0.0	-130.949	-3.8606	4.84528	12.9872	1.33551	1.3798	-6.73764	-2.35847
26	Surface 3	27135	9.665	18.3371	-4.6	-583.359	-137.244	2.25378	7.59429	7.68916	1.45566	-4.60019	2.63992
27	Surface 3	27142	9.665	20.819	-4.6	-584.534	-137.189	-2.92121	6.70475	7.53374	1.51102	-3.98419	2.61256
28	Surface 3	27413	9.665	18.3371	-3.68	-501.541	-107.991	3.35844	9.06708	8.93553	1.5065	-4.22008	0.227046
29	Surface 3	27420	9.665	20.819	-3.68	-502.686	-107.939	-2.13968	8.14451	8.78392	1.56144	-3.72436	0.204133
30	Surface 3	27633	9.665	18.3371	-2.76	-413.797	-80.5364	4.45398	10.1751	7.9008	1.58201	-3.77903	-2.0199
31	Surface 3	27639	9.665	20.819	-2.76	-414.85	-80.4615	-1.33	9.22114	7.76309	1.64201	-3.41452	-2.03708
32	Surface 3	27854	9.665	18.3371	-1.84	-321.084	-53.5482	5.41367	11.0791	5.40013	1.70345	-3.27965	-2.89235
33	Surface 3	27860	9.665	20.819	-1.84	-321.979	-53.2914	-0.566582	10.0962	5.28922	1.7773	-3.04565	-2.90241
34	Surface 3	28073	9.665	18.3371	-0.92	-225.932	-26.7173	5.45192	11.9999	2.58814	1.54487	-2.7185	-2.70294
35	Surface 3	28078	9.665	20.819	-0.92	-226.553	-26.5266	-0.197587	10.9813	2.52027	1.61134	-2.63222	-2.70103
36	Surface 3	28294	9.665	18.3371	0.0	-130.949	-3.8606	4.84528	12.9872	1.33551	1.3798	-6.73764	-2.35847
37	Surface 3	28300	9.665	20.819	0.0	-128.138	-3.25979	-0.320577	11.9915	1.30264	1.4437	-7.18145	-2.3569
38	Surface 12	27127	9.665	161.663	-4.6	-584.927	-136.231	-3.08974	3.57033	7.338	-2.65907	5.56042	2.02104
39	Surface 12	27139	9.665	159.181	-4.6	-586.418	-136.609	1.66844	2.1529	7.08369	-2.51027	4.82369	1.99325
40	Surface 12	27410	9.665	161.663	-3.68	-504.12	-107.526	-4.66717	4.50674	8.40589	-2.71277	5.15943	-0.383098
41	Surface 12	27415	9.665	159.181	-3.68	-505.534	-107.787	0.477477	3.06613	8.16095	-2.55297	4.52193	-0.397585
42	Surface 12	27630	9.665	161.663	-2.76	-417.709	-80.4404	-6.0533	5.06688	7.26168	-2.80735	4.6674	-2.53519
43	Surface 12	27635	9.665	159.181	-2.76	-418.927	-80.5627	-0.552517	3.61248	7.04419	-2.64529	4.14351	-2.53629
44	Surface 12	27851	9.665	161.663	-1.84	-326.658	-53.643	-7.04007	5.43557	4.80815	-2.979	4.09254	-3.19424
45	Surface 12	27856	9.665	159.181	-1.84	-327.519	-53.4819	-1.2628	3.97504	4.63684	-2.82306	3.68751	-3.18629
46	Surface 12	28071	9.665	161.663	-0.92	-233.353	-26.8461	-6.60566	5.83801	2.21825	-2.66714	3.44978	-2.73925
47	Surface 12	28076	9.665	159.181	-0.92	-233.586	-26.6837	-1.08156	4.36077	2.11347	-2.52994	3.18515	-2.72207
48	Surface 12	28291	9.665	161.663	0.0	-139.885	-4.09014	-5.53429	6.66639	1.13109	-2.34643	10.7014	-2.26925
49	Surface 12	28296	9.665	159.181	0.0	-136.149	-3.43244	-0.452598	5.22773	1.07591	-2.23239	10.3292	-2.25474
50	Surface 13	27108	9.665	-180.0	-4.6	-579.896	-130.508	2.34529	9.31025	7.98071	-2.79834	1.53895	2.50811
51	Surface 13	27116	9.665	173.888	-4.6	-581.373	-133.151	3.1507	7.6488	7.90124	-2.82145	2.36808	2.24521
52	Surface 13	27123	9.665	167.775	-4.6	-582.928	-135.056	2.31933	5.58242	7.64915	-2.74382	3.66153	2.14931
53	Surface 13	27127	9.665	161.663	-4.6	-584.927	-136.231	-3.08974	3.57033	7.338	-2.65907	5.56042	2.02104
54	Surface 13	27396	9.665	-180.0	-3.68	-498.945	-103.245	1.26184	10.5699	9.15901	-2.97479	1.71461	-0.0413535
55	Surface 13	27402	9.665	173.888	-3.68	-500.604	-105.313	2.03029	8.73465	8.9956	-2.93423	2.41584	-0.274707
56	Surface 13	27405	9.665	167.775	-3.68	-502.206	-106.728	1.13674	6.57024	8.70921	-2.81456	3.5222	-0.316753
57	Surface 13	27410	9.665	161.663	-3.68	-504.12	-107.526	-4.66717	4.50674	8.40589	-2.71277	5.15943	-0.383098
58	Surface 13	27617	9.665	-180.0	-2.76	-412.65	-77.6881	0.0402398	11.3767	8.00172	-3.10345	1.85866	-2.40314
59	Surface 13	27622	9.665	173.888	-2.76	-414.486	-79.0942	0.950017	9.39306	7.78123	-3.03634	2.40356	-2.57494
60	Surface 13	27626	9.665	167.775	-2.76	-416.019	-80.0211	0.100678	7.1596	7.50863	-2.90546	3.30664	-2.53803
61	Surface 13	27630	9.665	161.663	-2.76	-417.709	-80.4404	-6.0533	5.06688	7.26168	-2.80735	4.6674	-2.53519
62	Surface 13	27836	9.665	-180.0	-1.84	-322.603	-52.3003	-1.34468	11.9233	5.35063	-3.21079	1.92673	-3.2925
63	Surface 13	27842	9.665	173.888	-1.84	-324.386	-52.8809	0.0303555	9.82239	5.1401	-3.16461	2.30948	-3.36274
64	Surface 13	27846	9.665	167.775	-1.84	-325.594	-53.6282	-0.599817	7.54025	4.94182	-3.05505	3.00876	-3.25637
65	Surface 13	27851	9.665	161.663	-1.84	-326.658	-53.643	-7.04007	5.43557	4.80815	-2.979	4.09254	-3.19424
66	Surface 13	28057	9.665	-180.0	-0.92	-231.781	-26.3143	-1.98293	12.4796	2.46606	-2.76121	1.87693	-2.86557
67	Surface 13	28061	9.665	173.888	-0.92	-233.135	-26.483	-0.385815	10.2786	2.3412	-2.75291	2.17125	-2.85931
68	Surface 13	28065	9.665	167.775	-0.92	-233.027	-26.8953	-0.655234	7.96097	2.24715	-2.69012	2.70301	-2.74807
