	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-418.053	-80.033	3.41322	-0.79039	6.21236	0.809244	-2.47025	-1.39464
31	Surface 3	27639	9.665	20.819	-2.76	-418.676	-79.8568	-2.32389	-0.986877	6.2163	0.863997	-1.91775	-1.44695
32	Surface 3	27854	9.665	18.3371	-1.84	-323.743	-53.2637	4.09238	0.232163	4.33317	0.895263	-2.09224	-2.23595
33	Surface 3	27860	9.665	20.819	-1.84	-324.51	-52.9634	-1.88923	-0.0182248	4.32378	0.942224	-1.67862	-2.28694
34	Surface 3	28073	9.665	18.3371	-0.92	-226.105	-26.6289	4.49123	1.22051	2.10972	0.811454	-1.64458	-2.21371
35	Surface 3	28078	9.665	20.819	-0.92	-227.059	-26.433	-1.26449	0.909139	2.09526	0.835159	-1.38828	-2.24668
36	Surface 3	28294	9.665	18.3371	0.0	-127.443	-3.41666	4.315	2.28273	1.12961	0.708145	-3.4046	-2.01911
37	Surface 3	28300	9.665	20.819	0.0	-125.45	-2.87108	-1.02417	1.97905	1.12356	0.71521	-3.48158	-2.04605
38	Surface 12	27127	9.665	161.663	-4.6	-587.607	-134.873	-1.98723	-2.78221	5.61876	-1.44716	3.52027	2.76942
39	Surface 12	27139	9.665	159.181	-4.6	-588.5	-134.889	2.67693	-3.0707	5.60859	-1.44237	2.6807	2.71346
40	Surface 12	27410	9.665	161.663	-3.68	-505.975	-106.433	-2.79617	-1.40768	7.14632	-1.53094	3.22792	0.423645
41	Surface 12	27415	9.665	159.181	-3.68	-506.902	-106.44	2.24657	-1.75335	7.11401	-1.51273	2.50318	0.367962
42	Surface 12	27630	9.665	161.663	-2.76	-418.33	-79.6422	-3.72925	-0.410637	6.47727	-1.59556	2.88432	-1.7515
43	Surface 12	27635	9.665	159.181	-2.76	-419.255	-79.6105	1.69025	-0.810926	6.42833	-1.56707	2.28497	-1.80263
44	Surface 12	27851	9.665	161.663	-1.84	-325.483	-53.154	-4.70334	0.368475	4.43931	-1.65829	2.48029	-2.55843
45	Surface 12	27856	9.665	159.181	-1.84	-326.378	-52.9237	1.0474	-0.0814518	4.38668	-1.62446	2.00787	-2.59924
46	Surface 12	28071	9.665	161.663	-0.92	-229.747	-26.6283	-5.00281	1.12815	2.11603	-1.44794	1.98541	-2.39141
47	Surface 12	28076	9.665	159.181	-0.92	-230.542	-26.4534	0.587178	0.621536	2.07644	-1.40444	1.66452	-2.41217
48	Surface 12	28291	9.665	161.663	0.0	-133.295	-3.66672	-4.61963	2.10067	1.11251	-1.2379	5.48102	-2.09835
49	Surface 12	28296	9.665	159.181	0.0	-130.811	-3.09095	0.583816	1.60815	1.09271	-1.18845	5.28838	-2.11419
50	Surface 13	27108	9.665	-180.0	-4.6	-585.972	-135.499	1.77668	-1.96868	5.30242	-0.611313	0.331985	3.28074
51	Surface 13	27116	9.665	173.888	-4.6	-586.289	-135.104	3.87334	-2.10569	5.46121	-0.966001	0.776734	3.08686
52	Surface 13	27123	9.665	167.775	-4.6	-586.633	-134.947	3.47074	-2.41845	5.5591	-1.23096	1.79769	2.97613
53	Surface 13	27127	9.665	161.663	-4.6	-587.607	-134.873	-1.98723	-2.78221	5.61876	-1.44716	3.52027	2.76942
54	Surface 13	27396	9.665	-180.0	-3.68	-503.744	-106.842	1.62762	-0.230014	6.99935	-0.75762	0.425403	0.95638
55	Surface 13	27402	9.665	173.888	-3.68	-504.33	-106.627	3.67582	-0.505916	7.09773	-1.08682	0.840199	0.737119
56	Surface 13	27405	9.665	167.775	-3.68	-504.902	-106.53	3.13706	-0.944513	7.13692	-1.32841	1.73499	0.624053
57	Surface 13	27410	9.665	161.663	-3.68	-505.975	-106.433	-2.79617	-1.40768	7.14632	-1.53094	3.22792	0.423645
58	Surface 13	27617	9.665	-180.0	-2.76	-415.372	-80.0062	1.12503	1.12609	6.48783	-0.864534	0.538198	-1.26982
59	Surface 13	27622	9.665	173.888	-2.76	-416.336	-79.8712	3.22209	0.706682	6.51419	-1.17471	0.896761	-1.49055
60	Surface 13	27626	9.665	167.775	-2.76	-417.168	-79.8041	2.63021	0.146985	6.50452	-1.40065	1.64298	-1.57633
61	Surface 13	27630	9.665	161.663	-2.76	-418.33	-79.6422	-3.72925	-0.410637	6.47727	-1.59556	2.88432	-1.7515
62	Surface 13	27836	9.665	-180.0	-1.84	-321.908	-53.555	0.158492	2.24416	4.51974	-0.928528	0.640097	-2.21586
63	Surface 13	27842	9.665	173.888	-1.84	-323.302	-53.2485	2.51575	1.68758	4.49541	-1.23938	0.920558	-2.38964
64	Surface 13	27846	9.665	167.775	-1.84	-324.42	-53.4696	2.00998	1.01179	4.46642	-1.46427	1.50263	-2.4341
65	Surface 13	27851	9.665	161.663	-1.84	-325.483	-53.154	-4.70334	0.368475	4.43931	-1.65829	2.48029	-2.55843
66	Surface 13	28057	9.665	-180.0	-0.92	-225.67	-26.8607	-0.773861	3.33522	2.17737	-0.803766	0.663771	-2.16421
67	Surface 13	28061	9.665	173.888	-0.92	-227.701	-26.6316	1.45467	2.64666	2.14576	-1.06976	0.91063	-2.26896
68	Surface 13	28065	9.665	167.775	-0.92	-228.54	-26.8275	1.19869	1.86212	2.12401	-1.26494	1.33876	-2.27695
