	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-738.292	-81.0892	4.07011	2.43843	8.4402	1.24666	-5.29798	-1.94742
31	Surface 3	27639	9.665	20.819	-2.76	-739.611	-80.9497	-1.55789	1.6565	8.32534	1.34186	-4.36112	-1.9677
32	Surface 3	27854	9.665	18.3371	-1.84	-649.521	-53.8586	5.0466	3.3382	5.81415	1.34703	-4.83104	-3.11842
33	Surface 3	27860	9.665	20.819	-1.84	-650.719	-53.5629	-0.857707	2.52578	5.72229	1.4501	-4.02732	-3.13326
34	Surface 3	28073	9.665	18.3371	-0.92	-556.701	-26.8708	5.18748	4.23877	2.76419	1.22902	-4.29822	-2.90651
35	Surface 3	28078	9.665	20.819	-0.92	-557.687	-26.6622	-0.437701	3.38951	2.7081	1.31534	-3.64567	-2.91022
36	Surface 3	28294	9.665	18.3371	0.0	-462.59	-3.97673	4.66678	5.21175	1.40132	1.10423	-7.40942	-2.48862
37	Surface 3	28300	9.665	20.819	0.0	-460.274	-3.38403	-0.486471	4.38246	1.37493	1.18057	-7.3251	-2.49298
38	Surface 12	27127	9.665	161.663	-4.6	-894.873	-138.569	-2.01577	-0.345351	6.83332	-1.15893	6.02954	4.09671
39	Surface 12	27139	9.665	159.181	-4.6	-896.255	-138.393	2.84578	-1.04917	6.70183	-1.25423	4.84268	4.07065
40	Surface 12	27410	9.665	161.663	-3.68	-820.32	-108.867	-3.01952	1.32668	9.12511	-1.18938	5.6826	1.07059
41	Surface 12	27415	9.665	159.181	-3.68	-821.698	-108.724	2.23023	0.590539	8.99934	-1.28351	4.61519	1.04663
42	Surface 12	27630	9.665	161.663	-2.76	-738.26	-81.0897	-4.08212	2.51429	8.44855	-1.24661	5.27551	-1.95021
43	Surface 12	27635	9.665	159.181	-2.76	-739.572	-80.9499	1.54666	1.74595	8.33543	-1.34198	4.34052	-1.97096
44	Surface 12	27851	9.665	161.663	-1.84	-649.492	-53.858	-5.05106	3.41389	5.81935	-1.34493	4.8095	-3.12146
45	Surface 12	27856	9.665	159.181	-1.84	-650.685	-53.5622	0.853248	2.61498	5.72891	-1.4483	4.0076	-3.13672
46	Surface 12	28071	9.665	161.663	-0.92	-556.681	-26.87	-5.18702	4.31451	2.76641	-1.22555	4.27768	-2.90888
47	Surface 12	28076	9.665	159.181	-0.92	-557.663	-26.6612	0.437535	3.47874	2.71126	-1.31222	3.62697	-2.913
48	Surface 12	28291	9.665	161.663	0.0	-462.588	-3.97833	-4.66482	5.28727	1.40217	-1.09958	7.37194	-2.49029
49	Surface 12	28296	9.665	159.181	0.0	-460.273	-3.38608	0.487618	4.47133	1.37638	-1.17628	7.29082	-2.49508
50	Surface 13	27108	9.665	-180.0	-4.6	-892.116	-139.38	-2.14586	1.26313	7.12824	-0.0215085	0.638314	4.22349
