	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-420.37	-80.6947	5.9918	-3.7327	6.09965	0.0808702	-2.178	-1.81324
31	Surface 3	27639	9.665	20.819	-2.76	-420.885	-80.5741	0.288602	-3.69669	6.10644	0.0103639	-1.52514	-1.83601
32	Surface 3	27854	9.665	18.3371	-1.84	-327.32	-53.7671	6.2749	-3.04232	4.13156	0.0935617	-1.68879	-2.52135
33	Surface 3	27860	9.665	20.819	-1.84	-327.685	-53.458	0.257501	-3.00837	4.1391	0.0177593	-1.17733	-2.54597
34	Surface 3	28073	9.665	18.3371	-0.92	-230.93	-26.9137	5.77258	-2.35889	1.94312	0.1078	-1.14406	-2.30037
35	Surface 3	28078	9.665	20.819	-0.92	-231.09	-26.6822	-0.029665	-2.33831	1.94824	0.0237564	-0.800562	-2.32353
36	Surface 3	28294	9.665	18.3371	0.0	-132.943	-3.61432	4.91702	-1.385	1.02419	0.107801	-0.935442	-2.00147
37	Surface 3	28300	9.665	20.819	0.0	-129.731	-2.98958	-0.452236	-1.33857	1.03354	0.0177546	-0.581375	-2.03076
38	Surface 12	27127	9.665	161.663	-4.6	-589.497	-136.879	-5.14303	-5.85304	5.33653	-0.0726679	3.05404	2.5442
39	Surface 12	27139	9.665	159.181	-4.6	-590.187	-136.806	-0.229117	-5.81082	5.34368	-0.0121457	2.13643	2.52209
40	Surface 12	27410	9.665	161.663	-3.68	-507.992	-107.962	-5.57716	-4.62711	6.78198	-0.0760299	2.63637	0.270685
41	Surface 12	27415	9.665	159.181	-3.68	-508.621	-107.874	-0.256737	-4.5883	6.78885	-0.0109161	1.84418	0.248726
42	Surface 12	27630	9.665	161.663	-2.76	-420.376	-80.6944	-5.99019	-3.74607	6.09839	-0.0826631	2.17937	-1.81241
43	Surface 12	27635	9.665	159.181	-2.76	-420.891	-80.5738	-0.287291	-3.71076	6.105	-0.012259	1.5261	-1.83523
44	Surface 12	27851	9.665	161.663	-1.84	-327.325	-53.7671	-6.27378	-3.05534	4.13084	-0.0953455	1.69023	-2.52063
45	Surface 12	27856	9.665	159.181	-1.84	-327.69	-53.458	-0.25649	-3.0222	4.13822	-0.019609	1.1784	-2.54528
46	Surface 12	28071	9.665	161.663	-0.92	-230.932	-26.9138	-5.77216	-2.37166	1.94284	-0.109325	1.14553	-2.2999
47	Surface 12	28076	9.665	159.181	-0.92	-231.094	-26.6823	0.0301718	-2.35198	1.94785	-0.0253084	0.801668	-2.32305
48	Surface 12	28291	9.665	161.663	0.0	-132.941	-3.61387	-4.91706	-1.39764	1.02409	-0.109123	0.941255	-2.00118
49	Surface 12	28296	9.665	159.181	0.0	-129.73	-2.98919	0.452418	-1.35212	1.03337	-0.0190735	0.586804	-2.03045
50	Surface 13	27108	9.665	-180.0	-4.6	-588.212	-137.275	-2.2654	-6.02559	5.3122	-0.0401317	0.448067	2.59613
51	Surface 13	27116	9.665	173.888	-4.6	-588.612	-137.185	-0.0465007	-5.99335	5.3186	-0.0197183	0.636928	2.56136
