	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-413.565	-81.6811	4.48625	10.5339	7.91716	3.13	-5.5903	-2.14111
31	Surface 3	27639	9.665	20.819	-2.76	-414.994	-81.598	-1.6633	8.48988	7.61481	3.1601	-5.28631	-2.13596
32	Surface 3	27854	9.665	18.3371	-1.84	-320.75	-54.1601	5.81185	11.3795	5.3881	3.3785	-5.0092	-2.93795
33	Surface 3	27860	9.665	20.819	-1.84	-321.944	-53.9014	-0.457191	9.30385	5.15058	3.42651	-4.84366	-2.92467
34	Surface 3	28073	9.665	18.3371	-0.92	-225.286	-26.9655	5.94876	12.2647	2.58357	3.06332	-4.37235	-2.70268
35	Surface 3	28078	9.665	20.819	-0.92	-226.046	-26.7767	0.120303	10.148	2.43845	3.11307	-4.35268	-2.6746
36	Surface 3	28294	9.665	18.3371	0.0	-129.555	-3.87281	5.28092	13.245	1.33906	2.73805	-12.9349	-2.34854
37	Surface 3	28300	9.665	20.819	0.0	-126.558	-3.23341	0.0114173	11.1579	1.26035	2.79972	-13.4385	-2.31816
38	Surface 12	27127	9.665	161.663	-4.6	-576.353	-135.904	5.10255	19.6439	9.1497	-2.37692	5.04024	3.68681
39	Surface 12	27139	9.665	159.181	-4.6	-577.794	-135.687	10.5161	18.3384	9.00738	-2.78196	4.79162	3.60485
40	Surface 12	27410	9.665	161.663	-3.68	-493.249	-106.537	3.45617	22.0081	10.6473	-2.60102	4.90105	1.10204
41	Surface 12	27415	9.665	159.181	-3.68	-494.89	-106.442	9.02533	20.5611	10.469	-2.99402	4.77316	1.01666
42	Surface 12	27630	9.665	161.663	-2.76	-404.146	-79.2461	1.40249	23.9412	9.65177	-2.80163	4.7017	-1.44117
43	Surface 12	27635	9.665	159.181	-2.76	-405.988	-79.2052	7.12438	22.3558	9.45079	-3.19519	4.69462	-1.51639
44	Surface 12	27851	9.665	161.663	-1.84	-310.266	-52.6074	-1.01423	25.5962	6.84759	-3.01394	4.40602	-2.73941
45	Surface 12	27856	9.665	159.181	-1.84	-312.307	-52.4373	4.79918	23.8793	6.65504	-3.43124	4.51068	-2.7852
