	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-302.686	0.517638	6.49194	-2.45204	5.68251	0.0959495	-1.63866	-1.73588
31	Surface 3	27639	9.665	20.819	-2.76	-303.086	0.639493	0.296185	-2.43124	5.68675	0.0214034	-1.15496	-1.76012
32	Surface 3	27854	9.665	18.3371	-1.84	-208.03	0.379072	6.7474	-1.64614	3.83594	0.11053	-1.1091	-2.3313
33	Surface 3	27860	9.665	20.819	-1.84	-208.275	0.703391	0.26967	-1.6274	3.84147	0.0310296	-0.778324	-2.35724
34	Surface 3	28073	9.665	18.3371	-0.92	-110.467	0.163301	6.17947	-0.844353	1.8105	0.12523	-0.523648	-2.13367
35	Surface 3	28078	9.665	20.819	-0.92	-110.501	0.407371	-0.0312529	-0.839916	1.81437	0.0371503	-0.372886	-2.1577
36	Surface 3	28294	9.665	18.3371	0.0	-8.71981	10.582	5.25599	0.226393	0.975877	0.125398	-0.335193	-1.87547
37	Surface 3	28300	9.665	20.819	0.0	-5.15252	11.2486	-0.478762	0.258676	0.984962	0.030916	-0.178979	-1.90576
38	Surface 12	27127	9.665	161.663	-4.6	-476.405	-0.414682	-5.68066	-4.70867	5.30205	-0.0921782	2.60517	2.10315
39	Surface 12	27139	9.665	159.181	-4.6	-476.996	-0.345394	-0.212407	-4.68303	5.30593	-0.0263765	1.83039	2.07907
40	Surface 12	27410	9.665	161.663	-3.68	-392.45	0.325526	-6.09885	-3.44303	6.42754	-0.0958228	2.14303	0.0552148
41	Surface 12	27415	9.665	159.181	-3.68	-392.972	0.41162	-0.249101	-3.42116	6.43123	-0.0258079	1.50694	0.0315002
