	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-411.365	-81.441	3.58633	12.6921	8.32329	1.61984	-4.28076	-1.7752
31	Surface 3	27639	9.665	20.819	-2.76	-412.589	-81.2925	-2.6043	11.422	8.13653	1.80505	-4.03775	-1.7912
32	Surface 3	27854	9.665	18.3371	-1.84	-317.69	-53.967	4.80407	13.8974	5.76551	1.77502	-3.77694	-2.73718
33	Surface 3	27860	9.665	20.819	-1.84	-318.799	-53.6753	-1.49734	12.5848	5.61575	1.97859	-3.67504	-2.74427
34	Surface 3	28073	9.665	18.3371	-0.92	-221.297	-26.8459	5.16344	15.1189	2.81434	1.63409	-3.21106	-2.68124
35	Surface 3	28078	9.665	20.819	-0.92	-222.185	-26.6456	-0.693129	13.759	2.72309	1.81754	-3.26105	-2.6723
36	Surface 3	28294	9.665	18.3371	0.0	-124.87	-3.74505	4.75182	16.2023	1.46315	1.48918	-7.5977	-2.40596
37	Surface 3	28300	9.665	20.819	0.0	-122.343	-3.14209	-0.544244	14.8618	1.41701	1.66117	-8.56448	-2.39483
38	Surface 12	27127	9.665	161.663	-4.6	-582.438	-139.832	-1.47147	9.05252	8.05347	-1.5049	5.14646	2.82953
39	Surface 12	27139	9.665	159.181	-4.6	-583.726	-139.596	4.24535	7.85959	7.82295	-1.6588	4.60813	2.80827
40	Surface 12	27410	9.665	161.663	-3.68	-500.179	-109.73	-2.69267	10.773	9.29449	-1.54121	4.74732	0.438865
41	Surface 12	27415	9.665	159.181	-3.68	-501.446	-109.554	3.30156	9.54178	9.07922	-1.69973	4.3453	0.421376
