Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
15:Tunnel Opening T2 P1 - 15:Increment 15
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	294.635	-21.977	-892.724	0.0	-195.614	-3.35455E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	294.635	-21.977	-892.724	0.0	-195.614	-3.35455E-3
4	Line 25104	3617	8.9	12.2246	-65.7	704.479	-835.041	-1.66328E3	0.0	-223.087	-1.16781E-3
5	Line 25104	3586	8.9	6.11244	-65.7	630.188	-467.604	-1.90019E3	0.0	-288.392	-1.66811E-3
6	Line 25104	3591	9.665	6.11244	-65.7	630.188	-467.604	-1.90019E3	0.0	-288.392	-1.66811E-3
7	Line 25104	3655	8.9	18.3371	-65.7	234.579	-383.306	-410.103	0.0	-49.3416	-5.38859E-3
8	Line 25104	3627	9.665	12.2246	-65.7	704.479	-835.041	-1.66328E3	0.0	-223.087	-1.16781E-3
9	Line 25104	3676	9.665	18.3371	-65.7	234.579	-383.306	-410.103	0.0	-49.3416	-5.38859E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	318.029	203.686	-401.564	0.0	-183.371	66.4148E-6
11	Line 25108	3551	8.9	7.01648E-15	-65.7	294.635	-21.977	-892.724	0.0	-195.614	-3.35455E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	318.029	203.686	-401.564	0.0	-183.371	66.4148E-6
13	Line 25108	3552	9.665	7.01648E-15	-65.7	294.635	-21.977	-892.724	0.0	-195.614	-3.35455E-3
14	Line 25109	3646	8.9	161.663	-65.7	91.5027	534.59	0.985636	0.0	-291.247	-1.72688E-3
15	Line 25109	3668	9.665	161.663	-65.7	91.5027	534.59	0.985636	0.0	-291.247	-1.72688E-3
16	Line 25109	3616	8.9	167.775	-65.7	126.19	1.89787E3	-34.927	0.0	-1.44366E3	-0.0183426
17	Line 25109	3584	8.9	173.888	-65.7	91.6592	2.30066E3	-18.1739	0.0	-1.69869E3	-3.54346E-3
18	Line 25109	3623	9.665	167.775	-65.7	126.19	1.89787E3	-34.927	0.0	-1.44366E3	-0.0183426
19	Line 25109	3550	8.9	-180.0	-65.7	98.1556	1.49576E3	24.8473	0.0	-943.201	4.43732E-3
20	Line 25109	3587	9.665	173.888	-65.7	91.6592	2.30066E3	-18.1739	0.0	-1.69869E3	-3.54346E-3
21	Line 25109	3547	9.665	-180.0	-65.7	98.1556	1.49576E3	24.8473	0.0	-943.201	4.43732E-3
22	Line 25110	3550	8.9	-180.0	-65.7	98.1556	1.49576E3	24.8473	0.0	-943.201	4.43732E-3
23	Line 25110	3502	8.9	-172.251	-65.7	293.79	1.43818E3	-16.9799	0.0	-940.326	1.76077E-3
24	Line 25110	3547	9.665	-180.0	-65.7	98.1556	1.49576E3	24.8473	0.0	-943.201	4.43732E-3
25	Line 25110	3494	9.665	-172.251	-65.7	293.79	1.43818E3	-16.9799	0.0	-940.326	1.76077E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	192.711	126.924	114.265	0.0	44.9147	-63.4022E-6
27	Line 25114	3102	9.665	-37.9822	-65.7	192.711	126.924	114.265	0.0	44.9147	-63.4022E-6
28	Line 25114	3178	8.9	-33.0518	-65.7	489.323	594.448	291.523	0.0	-11.5298	1.89696E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	142.971	295.112	75.9641	0.0	-27.7274	75.0729E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	489.323	594.448	291.523	0.0	-11.5298	1.89696E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	142.971	295.112	75.9641	0.0	-27.7274	75.0729E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	142.971	295.112	75.9641	0.0	-27.7274	75.0729E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	142.971	295.112	75.9641	0.0	-27.7274	75.0729E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	72.4283	162.988	26.243	0.0	-25.6048	0.138959E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	137.036	302.805	58.9929	0.0	-28.0464	0.304124E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	137.036	302.805	58.9929	0.0	-28.0464	0.304124E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	72.4283	162.988	26.243	0.0	-25.6048	0.138959E-3
