	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
36	Line 25115	3220	9.665	-26.5207	-65.7	-93.629	243.644	219.917	0.0	60.4754	1.04283E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-53.3215	126.586	109.946	0.0	31.1159	0.423337E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-53.3215	126.586	109.946	0.0	31.1159	0.423337E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	-53.3215	126.586	109.946	0.0	31.1159	0.423337E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	-69.1399	149.72	128.452	0.0	31.7758	1.17067E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-69.1399	149.72	128.452	0.0	31.7758	1.17067E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-69.1399	149.72	128.452	0.0	31.7758	1.17067E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-69.1399	149.72	128.452	0.0	31.7758	1.17067E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-73.0695	138.781	126.527	0.0	24.9232	0.788093E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-73.0695	138.781	126.527	0.0	24.9232	0.788093E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-73.0695	138.781	126.527	0.0	24.9232	0.788093E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-73.0695	138.781	126.527	0.0	24.9232	0.788093E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-44.5853	73.0973	74.033	0.0	-1.647	0.530529E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-44.5853	73.0973	74.033	0.0	-1.647	0.530529E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-120.52	-283.449	390.129	0.0	63.1757	-0.734314E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-86.1631	-187.046	200.792	0.0	55.3566	-1.40037E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-86.1631	-187.046	200.792	0.0	55.3566	-1.40037E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-120.52	-283.449	390.129	0.0	63.1757	-0.734314E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-77.2029	-218.374	361.62	0.0	107.959	-0.23408E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-120.52	-283.449	390.129	0.0	63.1757	-0.734314E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-120.52	-283.449	390.129	0.0	63.1757	-0.734314E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-77.2029	-218.374	361.62	0.0	107.959	-0.23408E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-44.5853	73.0973	74.033	0.0	-1.647	0.530529E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-44.5853	73.0973	74.033	0.0	-1.647	0.530529E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-105.446	157.003	167.185	0.0	7.08369	1.21949E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-105.446	157.003	167.185	0.0	7.08369	1.21949E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-105.446	157.003	167.185	0.0	7.08369	1.21949E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-105.446	157.003	167.185	0.0	7.08369	1.21949E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-216.169	191.413	241.298	0.0	18.9759	0.283711E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-216.169	191.413	241.298	0.0	18.9759	0.283711E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-216.169	191.413	241.298	0.0	18.9759	0.283711E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-216.169	191.413	241.298	0.0	18.9759	0.283711E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-251.545	37.6935	-180.089	0.0	37.9074	-0.368727E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-251.545	37.6935	-180.089	0.0	37.9074	-0.368727E-3
70	Line 25134	3784	8.9	26.534	-65.7	-88.0725	-186.389	135.012	0.0	32.9761	-1.04831E-3
71	Line 25134	3741	8.9	24.2119	-65.7	-77.8679	-160.339	96.1538	0.0	12.8212	-0.430563E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-77.8679	-160.339	96.1538	0.0	12.8212	-0.430563E-3
73	Line 25134	3821	9.665	26.534	-65.7	-88.0725	-186.389	135.012	0.0	32.9761	-1.04831E-3
74	Line 25135	3801	8.9	28.1214	-65.7	-82.2246	-177.183	149.501	0.0	29.6699	-0.990157E-3
75	Line 25135	3784	8.9	26.534	-65.7	-88.0725	-186.389	135.012	0.0	32.9761	-1.04831E-3
76	Line 25135	3821	9.665	26.534	-65.7	-88.0725	-186.389	135.012	0.0	32.9761	-1.04831E-3
77	Line 25135	3850	9.665	28.1214	-65.7	-82.2246	-177.183	149.501	0.0	29.6699	-0.990157E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-86.1631	-187.046	200.792	0.0	55.3566	-1.40037E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-82.2246	-177.183	149.501	0.0	29.6699	-0.990157E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-82.2246	-177.183	149.501	0.0	29.6699	-0.990157E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-86.1631	-187.046	200.792	0.0	55.3566	-1.40037E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-77.8679	-160.339	96.1538	0.0	12.8212	-0.430563E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-75.0357	-160.722	81.0609	0.0	13.5045	-0.109525E-3
84	Line 25139	3760	9.665	23.1855	-65.7	-75.0357	-160.722	81.0609	0.0	13.5045	-0.109525E-3
85	Line 25139	3778	9.665	24.2119	-65.7	-77.8679	-160.339	96.1538	0.0	12.8212	-0.430563E-3
86	Line 25142	3686	8.9	20.819	-65.7	-100.911	-218.93	58.8057	0.0	13.7088	0.394107E-3
87	Line 25142	3655	8.9	18.3371	-65.7	-152.047	-358.787	-259.106	0.0	65.3155	-7.79282E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-152.047	-358.787	-259.106	0.0	65.3155	-7.79282E-3
89	Line 25142	3713	9.665	20.819	-65.7	-100.911	-218.93	58.8057	0.0	13.7088	0.394107E-3
90	Line 25143	3721	8.9	23.1855	-65.7	-75.0357	-160.722	81.0609	0.0	13.5045	-0.109525E-3
91	Line 25143	3686	8.9	20.819	-65.7	-100.911	-218.93	58.8057	0.0	13.7088	0.394107E-3
92	Line 25143	3713	9.665	20.819	-65.7	-100.911	-218.93	58.8057	0.0	13.7088	0.394107E-3
93	Line 25143	3760	9.665	23.1855	-65.7	-75.0357	-160.722	81.0609	0.0	13.5045	-0.109525E-3
94	Line 25144	3288	8.9	-155.08	-65.7	-66.2157	-129.804	107.185	0.0	35.4583	-1.14545E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-66.2157	-129.804	107.185	0.0	35.4583	-1.14545E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-125.904	-248.516	218.122	0.0	67.4875	-1.49047E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-125.904	-248.516	218.122	0.0	67.4875	-1.49047E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-117.547	-250.816	252.804	0.0	50.246	0.480098E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-117.547	-250.816	252.804	0.0	50.246	0.480098E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-117.547	-250.816	252.804	0.0	50.246	0.480098E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-270.904	-538.799	907.68	0.0	361.744	-2.90426E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-117.547	-250.816	252.804	0.0	50.246	0.480098E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-63.6326	-142.083	395.651	0.0	131.865	1.23863E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-270.904	-538.799	907.68	0.0	361.744	-2.90426E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-63.6326	-142.083	395.651	0.0	131.865	1.23863E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-81.6836	-154.829	126.231	0.0	30.5656	-1.5981E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-66.2157	-129.804	107.185	0.0	35.4583	-1.14545E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-81.6836	-154.829	126.231	0.0	30.5656	-1.5981E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-66.2157	-129.804	107.185	0.0	35.4583	-1.14545E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-50.3408	-77.1389	69.1604	0.0	-3.31052	-1.06414E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-83.6535	-144.744	124.128	0.0	17.6594	-1.03951E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-50.3408	-77.1389	69.1604	0.0	-3.31052	-1.06414E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-83.6535	-144.744	124.128	0.0	17.6594	-1.03951E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-83.6535	-144.744	124.128	0.0	17.6594	-1.03951E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-81.6836	-154.829	126.231	0.0	30.5656	-1.5981E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-83.6535	-144.744	124.128	0.0	17.6594	-1.03951E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-81.6836	-154.829	126.231	0.0	30.5656	-1.5981E-3
118	Line 25153	3926	8.9	142.018	-65.7	-81.1012	227.704	346.299	0.0	105.884	-0.187049E-3
119	Line 25153	3868	8.9	147.44	-65.7	-109.88	289.708	385.4	0.0	46.2468	1.20428E-3
120	Line 25153	3952	9.665	142.018	-65.7	-81.1012	227.704	346.299	0.0	105.884	-0.187049E-3
121	Line 25153	3908	9.665	147.44	-65.7	-109.88	289.708	385.4	0.0	46.2468	1.20428E-3
122	Line 25154	3868	8.9	147.44	-65.7	-109.88	289.708	385.4	0.0	46.2468	1.20428E-3
123	Line 25154	3836	8.9	149.628	-65.7	-78.2665	188.465	194.662	0.0	39.9048	0.471751E-3
124	Line 25154	3908	9.665	147.44	-65.7	-109.88	289.708	385.4	0.0	46.2468	1.20428E-3
125	Line 25154	3876	9.665	149.628	-65.7	-78.2665	188.465	194.662	0.0	39.9048	0.471751E-3
126	Line 25157	3399	8.9	-161.663	-65.7	-117.551	-165.652	155.373	0.0	5.19077	-1.9214E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-50.3408	-77.1389	69.1604	0.0	-3.31052	-1.06414E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-117.551	-165.652	155.373	0.0	5.19077	-1.9214E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-50.3408	-77.1389	69.1604	0.0	-3.31052	-1.06414E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-226.526	-194.72	180.547	0.0	14.0204	0.304101E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-117.551	-165.652	155.373	0.0	5.19077	-1.9214E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-226.526	-194.72	180.547	0.0	14.0204	0.304101E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-117.551	-165.652	155.373	0.0	5.19077	-1.9214E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-239.866	-36.4841	-458.324	0.0	76.8293	-4.38998E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-226.526	-194.72	180.547	0.0	14.0204	0.304101E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-239.866	-36.4841	-458.324	0.0	76.8293	-4.38998E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-226.526	-194.72	180.547	0.0	14.0204	0.304101E-3
138	Line 25164	3783	8.9	153.466	-65.7	-82.2487	186.42	151.16	0.0	18.0413	0.551026E-3
139	Line 25164	3734	8.9	155.788	-65.7	-71.7726	161.654	117.91	0.0	4.33214	0.277883E-3
140	Line 25164	3815	9.665	153.466	-65.7	-82.2487	186.42	151.16	0.0	18.0413	0.551026E-3
141	Line 25164	3773	9.665	155.788	-65.7	-71.7726	161.654	117.91	0.0	4.33214	0.277883E-3
142	Line 25167	3836	8.9	149.628	-65.7	-78.2665	188.465	194.662	0.0	39.9048	0.471751E-3
143	Line 25167	3799	8.9	151.879	-65.7	-77.6725	178.125	159.624	0.0	19.6818	0.688253E-3
144	Line 25167	3876	9.665	149.628	-65.7	-78.2665	188.465	194.662	0.0	39.9048	0.471751E-3
145	Line 25167	3849	9.665	151.879	-65.7	-77.6725	178.125	159.624	0.0	19.6818	0.688253E-3
146	Line 25168	3799	8.9	151.879	-65.7	-77.6725	178.125	159.624	0.0	19.6818	0.688253E-3
147	Line 25168	3783	8.9	153.466	-65.7	-82.2487	186.42	151.16	0.0	18.0413	0.551026E-3
148	Line 25168	3849	9.665	151.879	-65.7	-77.6725	178.125	159.624	0.0	19.6818	0.688253E-3
149	Line 25168	3815	9.665	153.466	-65.7	-82.2487	186.42	151.16	0.0	18.0413	0.551026E-3
150	Line 25169	3734	8.9	155.788	-65.7	-71.7726	161.654	117.91	0.0	4.33214	0.277883E-3
151	Line 25169	3720	8.9	156.815	-65.7	-70.6235	162.813	106.719	0.0	3.52232	0.112184E-3
152	Line 25169	3773	9.665	155.788	-65.7	-71.7726	161.654	117.91	0.0	4.33214	0.277883E-3
153	Line 25169	3756	9.665	156.815	-65.7	-70.6235	162.813	106.719	0.0	3.52232	0.112184E-3
154	Line 25170	3720	8.9	156.815	-65.7	-70.6235	162.813	106.719	0.0	3.52232	0.112184E-3
155	Line 25170	3685	8.9	159.181	-65.7	-98.4914	225.522	101.016	0.0	-8.15583	0.121103E-3
156	Line 25170	3756	9.665	156.815	-65.7	-70.6235	162.813	106.719	0.0	3.52232	0.112184E-3
157	Line 25170	3707	9.665	159.181	-65.7	-98.4914	225.522	101.016	0.0	-8.15583	0.121103E-3
158	Line 25171	3685	8.9	159.181	-65.7	-98.4914	225.522	101.016	0.0	-8.15583	0.121103E-3
159	Line 25171	3646	8.9	161.663	-65.7	-172.194	369.638	-91.57	0.0	21.5675	0.457501E-3
160	Line 25171	3707	9.665	159.181	-65.7	-98.4914	225.522	101.016	0.0	-8.15583	0.121103E-3
161	Line 25171	3668	9.665	161.663	-65.7	-172.194	369.638	-91.57	0.0	21.5675	0.457501E-3
162	Line 25206	2993	8.9	-62.318	-65.7	53.2173	-58.9747	301.826	0.0	283.1	0.179191E-3
163	Line 25206	2953	9.665	-62.318	-65.7	53.2173	-58.9747	301.826	0.0	283.1	0.179191E-3
164	Line 25206	3017	8.9	-56.769	-65.7	109.068	-112.371	632.991	0.0	578.129	0.754527E-3
165	Line 25206	2984	9.665	-56.769	-65.7	109.068	-112.371	632.991	0.0	578.129	0.754527E-3
166	Line 25206	3037	8.9	-51.2201	-65.7	158.663	-112.358	611.075	0.0	592.117	1.92925E-3
167	Line 25206	3066	8.9	-45.6711	-65.7	233.721	-82.5902	647.375	0.0	539.451	-1.86459E-3
168	Line 25206	3013	9.665	-51.2201	-65.7	158.663	-112.358	611.075	0.0	592.117	1.92925E-3
169	Line 25206	3042	9.665	-45.6711	-65.7	233.721	-82.5902	647.375	0.0	539.451	-1.86459E-3
170	Line 25206	3112	8.9	-40.1221	-65.7	58.341	51.6229	287.896	0.0	105.716	-0.857435E-3
171	Line 25206	3079	9.665	-40.1221	-65.7	58.341	51.6229	287.896	0.0	105.716	-0.857435E-3
172	Line 25207	3112	8.9	-40.1221	-65.7	58.341	51.6229	287.896	0.0	105.716	-0.857435E-3
173	Line 25207	3079	9.665	-40.1221	-65.7	58.341	51.6229	287.896	0.0	105.716	-0.857435E-3
174	Line 25207	3131	8.9	-37.9822	-65.7	-16.474	149.107	344.87	0.0	136.314	-1.39072E-3
175	Line 25207	3102	9.665	-37.9822	-65.7	-16.474	149.107	344.87	0.0	136.314	-1.39072E-3
176	Line 25208	3942	8.9	40.1221	-65.7	4.3035	-122.69	261.512	0.0	69.6657	0.973322E-3
177	Line 25208	3979	9.665	40.1221	-65.7	4.3035	-122.69	261.512	0.0	69.6657	0.973322E-3
178	Line 25208	3987	8.9	45.6711	-65.7	141.555	-152.242	495.088	0.0	387.642	0.307167E-3
179	Line 25208	4012	9.665	45.6711	-65.7	141.555	-152.242	495.088	0.0	387.642	0.307167E-3
180	Line 25208	4015	8.9	51.2201	-65.7	132.122	-148.3	424.994	0.0	374.286	-0.844534E-3
181	Line 25208	4042	9.665	51.2201	-65.7	132.122	-148.3	424.994	0.0	374.286	-0.844534E-3
182	Line 25208	4059	8.9	62.318	-65.7	90.4793	-88.6952	133.389	0.0	174.954	0.198785E-3
183	Line 25208	4038	8.9	56.769	-65.7	133.791	-163.059	385.179	0.0	323.647	-5.72279E-3
184	Line 25208	4071	9.665	56.769	-65.7	133.791	-163.059	385.179	0.0	323.647	-5.72279E-3
185	Line 25208	4104	9.665	62.318	-65.7	90.4793	-88.6952	133.389	0.0	174.954	0.198785E-3
186	Line 25209	3942	8.9	40.1221	-65.7	4.3035	-122.69	261.512	0.0	69.6657	0.973322E-3
187	Line 25209	3927	8.9	37.9822	-65.7	-77.2029	-218.374	361.62	0.0	107.959	-0.23408E-3
188	Line 25209	3960	9.665	37.9822	-65.7	-77.2029	-218.374	361.62	0.0	107.959	-0.23408E-3
189	Line 25209	3979	9.665	40.1221	-65.7	4.3035	-122.69	261.512	0.0	69.6657	0.973322E-3
190	Line 25210	3111	8.9	-139.878	-65.7	14.3303	-45.7373	326.705	0.0	99.0064	1.02466E-3
191	Line 25210	3075	9.665	-139.878	-65.7	14.3303	-45.7373	326.705	0.0	99.0064	1.02466E-3
192	Line 25210	3064	8.9	-134.329	-65.7	157.079	103.342	726.135	0.0	506.001	95.0315E-6
193	Line 25210	3040	9.665	-134.329	-65.7	157.079	103.342	726.135	0.0	506.001	95.0315E-6
194	Line 25210	3016	8.9	-123.231	-65.7	119.967	120.03	721.484	0.0	460.802	-1.04486E-3
195	Line 25210	3036	8.9	-128.78	-65.7	157.358	136.259	713.85	0.0	477.691	-1.38928E-3
196	Line 25210	3010	9.665	-128.78	-65.7	157.358	136.259	713.85	0.0	477.691	-1.38928E-3
197	Line 25210	2992	8.9	-117.682	-65.7	48.9037	53.4227	334.732	0.0	236.788	-0.158582E-3
198	Line 25210	2981	9.665	-123.231	-65.7	119.967	120.03	721.484	0.0	460.802	-1.04486E-3
199	Line 25210	2947	9.665	-117.682	-65.7	48.9037	53.4227	334.732	0.0	236.788	-0.158582E-3
200	Line 25211	3129	8.9	-142.018	-65.7	-63.6326	-142.083	395.651	0.0	131.865	1.23863E-3
201	Line 25211	3111	8.9	-139.878	-65.7	14.3303	-45.7373	326.705	0.0	99.0064	1.02466E-3
202	Line 25211	3097	9.665	-142.018	-65.7	-63.6326	-142.083	395.651	0.0	131.865	1.23863E-3
203	Line 25211	3075	9.665	-139.878	-65.7	14.3303	-45.7373	326.705	0.0	99.0064	1.02466E-3
204	Line 25212	4058	8.9	117.682	-65.7	94.6114	85.7484	123.152	0.0	166.344	-0.25921E-3
205	Line 25212	4037	8.9	123.231	-65.7	107.327	149.605	324.969	0.0	367.306	-54.1001E-6
206	Line 25212	4100	9.665	117.682	-65.7	94.6114	85.7484	123.152	0.0	166.344	-0.25921E-3
207	Line 25212	4067	9.665	123.231	-65.7	107.327	149.605	324.969	0.0	367.306	-54.1001E-6
208	Line 25212	4014	8.9	128.78	-65.7	48.6349	155.233	394.28	0.0	387.28	-0.702827E-3
209	Line 25212	4041	9.665	128.78	-65.7	48.6349	155.233	394.28	0.0	387.28	-0.702827E-3
210	Line 25212	3986	8.9	134.329	-65.7	10.137	176.732	467.315	0.0	410.14	-69.3917E-6
