	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
36	Line 25115	3220	9.665	-26.5207	-65.7	-111.524	235.322	182.218	0.0	-15.9449	0.312207E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	-59.9491	123.449	89.4326	0.0	-18.7246	0.124752E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-75.2963	147.101	100.86	0.0	-22.5632	0.322207E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-77.5396	137.239	97.252	0.0	-38.4289	0.391411E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-45.4544	72.4172	57.261	0.0	-10.1224	0.264486E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-45.4544	72.4172	57.261	0.0	-10.1224	0.264486E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-159.312	-276.577	308.28	0.0	-23.4863	-0.807154E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-108.228	-183.882	134.198	0.0	-14.8024	-0.531473E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-108.228	-183.882	134.198	0.0	-14.8024	-0.531473E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-159.312	-276.577	308.28	0.0	-23.4863	-0.807154E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-117.702	-209.045	341.633	0.0	27.4605	-1.78775E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-159.312	-276.577	308.28	0.0	-23.4863	-0.807154E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-159.312	-276.577	308.28	0.0	-23.4863	-0.807154E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-117.702	-209.045	341.633	0.0	27.4605	-1.78775E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-45.4544	72.4172	57.261	0.0	-10.1224	0.264486E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-45.4544	72.4172	57.261	0.0	-10.1224	0.264486E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-104.726	155.557	128.772	0.0	-9.00463	0.521574E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-104.726	155.557	128.772	0.0	-9.00463	0.521574E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-104.726	155.557	128.772	0.0	-9.00463	0.521574E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-104.726	155.557	128.772	0.0	-9.00463	0.521574E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-202.241	187.045	161.907	0.0	-83.6728	0.473118E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-202.241	187.045	161.907	0.0	-83.6728	0.473118E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-202.241	187.045	161.907	0.0	-83.6728	0.473118E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-202.241	187.045	161.907	0.0	-83.6728	0.473118E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-228.178	23.3507	-284.507	0.0	-69.7427	-0.601547E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-228.178	23.3507	-284.507	0.0	-69.7427	-0.601547E-3
70	Line 25134	3784	8.9	26.534	-65.7	-103.126	-184.529	85.6738	0.0	-27.1464	-0.138397E-3
71	Line 25134	3741	8.9	24.2119	-65.7	-86.0047	-158.973	56.1191	0.0	-21.1487	-0.163554E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-86.0047	-158.973	56.1191	0.0	-21.1487	-0.163554E-3
73	Line 25134	3821	9.665	26.534	-65.7	-103.126	-184.529	85.6738	0.0	-27.1464	-0.138397E-3
74	Line 25135	3801	8.9	28.1214	-65.7	-99.8024	-174.936	97.9738	0.0	-21.2303	-0.230843E-3
75	Line 25135	3784	8.9	26.534	-65.7	-103.126	-184.529	85.6738	0.0	-27.1464	-0.138397E-3
76	Line 25135	3821	9.665	26.534	-65.7	-103.126	-184.529	85.6738	0.0	-27.1464	-0.138397E-3
77	Line 25135	3850	9.665	28.1214	-65.7	-99.8024	-174.936	97.9738	0.0	-21.2303	-0.230843E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-108.228	-183.882	134.198	0.0	-14.8024	-0.531473E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-99.8024	-174.936	97.9738	0.0	-21.2303	-0.230843E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-99.8024	-174.936	97.9738	0.0	-21.2303	-0.230843E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-108.228	-183.882	134.198	0.0	-14.8024	-0.531473E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-86.0047	-158.973	56.1191	0.0	-21.1487	-0.163554E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-83.9005	-159.433	41.4062	0.0	-10.9991	45.0706E-6
84	Line 25139	3760	9.665	23.1855	-65.7	-83.9005	-159.433	41.4062	0.0	-10.9991	45.0706E-6
85	Line 25139	3778	9.665	24.2119	-65.7	-86.0047	-158.973	56.1191	0.0	-21.1487	-0.163554E-3
86	Line 25142	3686	8.9	20.819	-65.7	-109.277	-217.101	1.43381	0.0	-49.7821	-0.185623E-3
87	Line 25142	3655	8.9	18.3371	-65.7	-153.799	-352.449	-354.318	0.0	-2.67039	-3.88405E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-153.799	-352.449	-354.318	0.0	-2.67039	-3.88405E-3
89	Line 25142	3713	9.665	20.819	-65.7	-109.277	-217.101	1.43381	0.0	-49.7821	-0.185623E-3
90	Line 25143	3721	8.9	23.1855	-65.7	-83.9005	-159.433	41.4062	0.0	-10.9991	45.0706E-6
91	Line 25143	3686	8.9	20.819	-65.7	-109.277	-217.101	1.43381	0.0	-49.7821	-0.185623E-3
92	Line 25143	3713	9.665	20.819	-65.7	-109.277	-217.101	1.43381	0.0	-49.7821	-0.185623E-3
93	Line 25143	3760	9.665	23.1855	-65.7	-83.9005	-159.433	41.4062	0.0	-10.9991	45.0706E-6
94	Line 25144	3288	8.9	-155.08	-65.7	-74.1787	-126.232	84.6202	0.0	-7.90665	-0.642968E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-74.1787	-126.232	84.6202	0.0	-7.90665	-0.642968E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-145.206	-238.943	175.013	0.0	0.0628538	-0.744254E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-145.206	-238.943	175.013	0.0	0.0628538	-0.744254E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-140.775	-238.814	207.38	0.0	-4.29577	0.388634E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-140.775	-238.814	207.38	0.0	-4.29577	0.388634E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-140.775	-238.814	207.38	0.0	-4.29577	0.388634E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-362.258	-487.441	798.563	0.0	47.7827	-1.51215E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-140.775	-238.814	207.38	0.0	-4.29577	0.388634E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-97.6266	-119.315	372.686	0.0	53.1455	-0.832475E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-362.258	-487.441	798.563	0.0	47.7827	-1.51215E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-97.6266	-119.315	372.686	0.0	53.1455	-0.832475E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-89.2013	-152.025	98.3344	0.0	-17.3965	-0.662125E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-74.1787	-126.232	84.6202	0.0	-7.90665	-0.642968E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-89.2013	-152.025	98.3344	0.0	-17.3965	-0.662125E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-74.1787	-126.232	84.6202	0.0	-7.90665	-0.642968E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-52.4216	-76.6412	54.0181	0.0	-10.9467	-0.521569E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-89.5445	-143.343	96.0319	0.0	-38.362	-0.540837E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-52.4216	-76.6412	54.0181	0.0	-10.9467	-0.521569E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-89.5445	-143.343	96.0319	0.0	-38.362	-0.540837E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-89.5445	-143.343	96.0319	0.0	-38.362	-0.540837E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-89.2013	-152.025	98.3344	0.0	-17.3965	-0.662125E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-89.5445	-143.343	96.0319	0.0	-38.362	-0.540837E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-89.2013	-152.025	98.3344	0.0	-17.3965	-0.662125E-3
118	Line 25153	3926	8.9	142.018	-65.7	-134.934	207.537	324.955	0.0	24.1473	1.05877E-3
119	Line 25153	3868	8.9	147.44	-65.7	-158.116	276.988	315.113	0.0	-38.5185	1.23325E-3
120	Line 25153	3952	9.665	142.018	-65.7	-134.934	207.537	324.955	0.0	24.1473	1.05877E-3
121	Line 25153	3908	9.665	147.44	-65.7	-158.116	276.988	315.113	0.0	-38.5185	1.23325E-3
122	Line 25154	3868	8.9	147.44	-65.7	-158.116	276.988	315.113	0.0	-38.5185	1.23325E-3
123	Line 25154	3836	8.9	149.628	-65.7	-103.886	183.913	148.816	0.0	-28.4709	-47.8459E-6
124	Line 25154	3908	9.665	147.44	-65.7	-158.116	276.988	315.113	0.0	-38.5185	1.23325E-3
125	Line 25154	3876	9.665	149.628	-65.7	-103.886	183.913	148.816	0.0	-28.4709	-47.8459E-6
126	Line 25157	3399	8.9	-161.663	-65.7	-119.628	-165.033	120.947	0.0	-9.25066	-0.979711E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-52.4216	-76.6412	54.0181	0.0	-10.9467	-0.521569E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-119.628	-165.033	120.947	0.0	-9.25066	-0.979711E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-52.4216	-76.6412	54.0181	0.0	-10.9467	-0.521569E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-219.456	-195.286	110.988	0.0	-78.8619	-0.404267E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-119.628	-165.033	120.947	0.0	-9.25066	-0.979711E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-219.456	-195.286	110.988	0.0	-78.8619	-0.404267E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-119.628	-165.033	120.947	0.0	-9.25066	-0.979711E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-226.118	-36.8556	-537.454	0.0	-21.853	-2.02757E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-219.456	-195.286	110.988	0.0	-78.8619	-0.404267E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-226.118	-36.8556	-537.454	0.0	-21.853	-2.02757E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-219.456	-195.286	110.988	0.0	-78.8619	-0.404267E-3
138	Line 25164	3783	8.9	153.466	-65.7	-100.423	184.161	102.795	0.0	-39.3339	-29.6198E-6
139	Line 25164	3734	8.9	155.788	-65.7	-82.8663	159.901	75.9978	0.0	-27.8452	0.100018E-3
140	Line 25164	3815	9.665	153.466	-65.7	-100.423	184.161	102.795	0.0	-39.3339	-29.6198E-6
141	Line 25164	3773	9.665	155.788	-65.7	-82.8663	159.901	75.9978	0.0	-27.8452	0.100018E-3
142	Line 25167	3836	8.9	149.628	-65.7	-103.886	183.913	148.816	0.0	-28.4709	-47.8459E-6
