	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-297.918	-81.0968	4.7696	5.87711	6.89138	1.16603	-2.65813	-1.65851
31	Surface 3	27639	9.665	20.819	-2.76	-298.695	-80.9702	-1.31692	5.2144	6.79075	1.24329	-2.40166	-1.68321
32	Surface 3	27854	9.665	18.3371	-1.84	-202.845	-53.8788	5.54768	6.91962	4.74795	1.24851	-2.15966	-2.41883
33	Surface 3	27860	9.665	20.819	-1.84	-203.501	-53.5834	-0.722375	6.22814	4.66702	1.33179	-2.04819	-2.43797
34	Surface 3	28073	9.665	18.3371	-0.92	-105.101	-26.8781	5.5126	7.96249	2.30728	1.13373	-1.60064	-2.34644
35	Surface 3	28078	9.665	20.819	-0.92	-105.557	-26.6652	-0.399345	7.23458	2.25757	1.1997	-1.65183	-2.35404
36	Surface 3	28294	9.665	18.3371	0.0	-6.75466	-3.56635	4.89891	9.03067	1.22369	1.01434	-4.38089	-2.12193
37	Surface 3	28300	9.665	20.819	0.0	-3.78662	-2.94872	-0.500181	8.32405	1.20124	1.0688	-4.9354	-2.12994
38	Surface 12	27127	9.665	161.663	-4.6	-472.724	-138.259	-3.10099	3.1897	6.70605	-1.10079	3.49036	2.39219
39	Surface 12	27139	9.665	159.181	-4.6	-473.605	-138.112	2.40309	2.60051	6.59302	-1.17852	2.95282	2.36124
40	Surface 12	27410	9.665	161.663	-3.68	-388.114	-108.792	-3.93103	4.72256	7.79355	-1.1226	3.08923	0.257177
41	Surface 12	27415	9.665	159.181	-3.68	-388.964	-108.669	1.88821	4.10221	7.68438	-1.19906	2.68765	0.228564
42	Surface 12	27630	9.665	161.663	-2.76	-297.892	-81.0971	-4.77939	5.94096	6.89839	-1.16675	2.63895	-1.66096
43	Surface 12	27635	9.665	159.181	-2.76	-298.663	-80.9703	1.3077	5.28989	6.79924	-1.24411	2.38403	-1.68608
44	Surface 12	27851	9.665	161.663	-1.84	-202.822	-53.8783	-5.55109	6.98324	4.75229	-1.24744	2.14131	-2.42145
45	Surface 12	27856	9.665	159.181	-1.84	-203.473	-53.5827	0.718899	6.30331	4.67255	-1.33094	2.03136	-2.44097
46	Surface 12	28071	9.665	161.663	-0.92	-105.085	-26.8773	-5.51198	8.0261	2.30912	-1.13135	1.58316	-2.34847
47	Surface 12	28076	9.665	159.181	-0.92	-105.539	-26.6643	0.39939	7.30969	2.26019	-1.19759	1.63589	-2.35642
48	Surface 12	28291	9.665	161.663	0.0	-6.75414	-3.5677	-4.89716	9.09407	1.22438	-1.01084	4.35045	-2.12335
49	Surface 12	28296	9.665	159.181	0.0	-3.78736	-2.95049	0.501234	8.39883	1.20244	-1.06557	4.90756	-2.13172
50	Surface 13	27108	9.665	-180.0	-4.6	-470.938	-138.998	-2.45964	4.56423	6.96778	-0.0277299	0.306592	2.52312
51	Surface 13	27116	9.665	173.888	-4.6	-471.34	-138.879	0.75425	4.44119	6.94388	-0.389132	0.888341	2.47631
52	Surface 13	27123	9.665	167.775	-4.6	-471.773	-138.647	1.52791	3.89952	6.83989	-0.743319	1.92763	2.50002
53	Surface 13	27127	9.665	161.663	-4.6	-472.724	-138.259	-3.10099	3.1897	6.70605	-1.10079	3.49036	2.39219
54	Surface 13	27396	9.665	-180.0	-3.68	-386.377	-109.5	-2.60871	6.17722	8.0336	-0.030142	0.241674	0.356944
55	Surface 13	27402	9.665	173.888	-3.68	-386.744	-109.377	0.594722	6.0446	8.01202	-0.394578	0.806695	0.312562
56	Surface 13	27405	9.665	167.775	-3.68	-387.194	-109.154	1.21112	5.47031	7.91464	-0.754063	1.74003	0.349257
57	Surface 13	27410	9.665	161.663	-3.68	-388.114	-108.792	-3.93103	4.72256	7.79355	-1.1226	3.08923	0.257177
58	Surface 13	27617	9.665	-180.0	-2.76	-296.306	-81.7992	-2.75307	7.46959	7.0838	-0.03134	0.17435	-1.6044
59	Surface 13	27622	9.665	173.888	-2.76	-296.618	-81.6496	0.434951	7.32744	7.06572	-0.409389	0.709657	-1.64772
60	Surface 13	27626	9.665	167.775	-2.76	-297.047	-81.4557	0.888118	6.72409	6.99048	-0.782465	1.5217	-1.58927
61	Surface 13	27630	9.665	161.663	-2.76	-297.892	-81.0971	-4.77939	5.94096	6.89839	-1.16675	2.63895	-1.66096
62	Surface 13	27836	9.665	-180.0	-1.84	-201.75	-54.546	-2.90355	8.58275	4.83712	-0.0296921	0.105093	-2.40652
63	Surface 13	27842	9.665	173.888	-1.84	-201.92	-54.182	0.347828	8.43297	4.82893	-0.440761	0.596023	-2.44049
64	Surface 13	27846	9.665	167.775	-1.84	-202.279	-54.3147	0.662594	7.79911	4.7902	-0.841615	1.27083	-2.37612
65	Surface 13	27851	9.665	161.663	-1.84	-202.822	-53.8783	-5.55109	6.98324	4.75229	-1.24744	2.14131	-2.42145
66	Surface 13	28057	9.665	-180.0	-0.92	-104.824	-27.2563	-2.47852	9.71394	2.30882	-0.0283702	5.91873E-3	-2.26717
67	Surface 13	28061	9.665	173.888	-0.92	-104.951	-26.9812	0.266568	9.55215	2.30992	-0.397942	0.493766	-2.31071
68	Surface 13	28065	9.665	167.775	-0.92	-104.619	-27.132	0.469473	8.88473	2.30237	-0.759284	1.03416	-2.26829
69	Surface 13	28071	9.665	161.663	-0.92	-105.085	-26.8773	-5.51198	8.0261	2.30912	-1.13135	1.58316	-2.34847
70	Surface 13	28275	9.665	-180.0	0.0	-9.30711	-4.1483	-1.88829	10.7917	1.19328	-0.0254346	9.52931E-3	-1.95936
71	Surface 13	28282	9.665	173.888	0.0	-7.04376	-3.67097	0.195947	10.6451	1.20053	-0.350826	1.57775	-2.03289
72	Surface 13	28286	9.665	167.775	0.0	-9.17415	-4.16257	0.302548	9.94983	1.20169	-0.669041	3.06853	-1.99262
73	Surface 13	28291	9.665	161.663	0.0	-6.75414	-3.5677	-4.89716	9.09407	1.22438	-1.01084	4.35045	-2.12335
74	Surface 14	27096	9.665	-172.251	-4.6	-471.228	-138.825	2.21198	4.27662	6.91196	0.488018	-1.55303	2.50691
75	Surface 14	27108	9.665	-180.0	-4.6	-470.938	-138.998	-2.45964	4.56423	6.96778	-0.0277299	0.306592	2.52312
76	Surface 14	27389	9.665	-172.251	-3.68	-386.669	-109.333	2.66164	5.87713	7.98244	0.497518	-1.37458	0.349781
77	Surface 14	27396	9.665	-180.0	-3.68	-386.377	-109.5	-2.60871	6.17722	8.0336	-0.030142	0.241674	0.356944
78	Surface 14	27610	9.665	-172.251	-2.76	-296.581	-81.6687	3.09852	7.15904	7.04665	0.517863	-1.1716	-1.60012
79	Surface 14	27617	9.665	-180.0	-2.76	-296.306	-81.7992	-2.75307	7.46959	7.0838	-0.03134	0.17435	-1.6044
80	Surface 14	27830	9.665	-172.251	-1.84	-201.888	-54.4831	3.45525	8.26184	4.82305	0.558034	-0.945624	-2.39963
81	Surface 14	27836	9.665	-180.0	-1.84	-201.75	-54.546	-2.90355	8.58275	4.83712	-0.0296921	0.105093	-2.40652
82	Surface 14	28051	9.665	-172.251	-0.92	-104.815	-27.2367	3.03845	9.3766	2.31034	0.512415	-0.69407	-2.27797
83	Surface 14	28057	9.665	-180.0	-0.92	-104.824	-27.2563	-2.47852	9.71394	2.30882	-0.0283702	5.91873E-3	-2.26717
84	Surface 14	28271	9.665	-172.251	0.0	-9.3303	-4.15307	2.39462	10.4476	1.19799	0.460178	-2.01936	-1.98506
85	Surface 14	28275	9.665	-180.0	0.0	-9.30711	-4.1483	-1.88829	10.7917	1.19328	-0.0254346	9.52931E-3	-1.95936
86	Surface 15	27087	9.665	-166.683	-4.6	-472.211	-138.533	-0.92351	3.6836	6.79765	0.784687	-3.37361	2.47801
87	Surface 15	27096	9.665	-172.251	-4.6	-471.228	-138.825	2.21198	4.27662	6.91196	0.488018	-1.55303	2.50691
88	Surface 15	27383	9.665	-166.683	-3.68	-387.61	-109.031	-0.494568	5.25376	7.87416	0.797526	-2.95167	0.331514
89	Surface 15	27389	9.665	-172.251	-3.68	-386.669	-109.333	2.66164	5.87713	7.98244	0.497518	-1.37458	0.349781
90	Surface 15	27605	9.665	-166.683	-2.76	-297.42	-81.2938	-0.0220012	6.50793	6.95556	0.827572	-2.48228	-1.60201
91	Surface 15	27610	9.665	-172.251	-2.76	-296.581	-81.6687	3.09852	7.15904	7.04665	0.517863	-1.1716	-1.60012
92	Surface 15	27823	9.665	-166.683	-1.84	-202.526	-53.9778	0.339933	7.58549	4.76999	0.890012	-1.95466	-2.37618
93	Surface 15	27830	9.665	-172.251	-1.84	-201.888	-54.4831	3.45525	8.26184	4.82305	0.558034	-0.945624	-2.39963
94	Surface 15	28043	9.665	-166.683	-0.92	-104.743	-26.8808	0.426775	8.66866	2.29864	0.80741	-1.41207	-2.2785
95	Surface 15	28051	9.665	-172.251	-0.92	-104.815	-27.2367	3.03845	9.3766	2.31034	0.512415	-0.69407	-2.27797
96	Surface 15	28265	9.665	-166.683	0.0	-7.012	-3.69982	0.315069	9.75678	1.209	0.716446	-3.34309	-2.03059
97	Surface 15	28271	9.665	-172.251	0.0	-9.3303	-4.15307	2.39462	10.4476	1.19799	0.460178	-2.01936	-1.98506
98	Surface 17	27058	9.665	-159.181	-4.6	-473.812	-138.106	-3.47146	2.38467	6.55228	1.17803	-0.71017	2.39174
99	Surface 17	27069	9.665	-160.983	-4.6	-473.708	-138.204	-4.09888	2.73259	6.61549	1.07705	-1.68145	2.36254
100	Surface 17	27365	9.665	-159.181	-3.68	-389.178	-108.656	-3.03547	3.8908	7.64233	1.19889	-0.846535	0.260124
101	Surface 17	27372	9.665	-160.983	-3.68	-389.036	-108.726	-3.74597	4.25534	7.70072	1.09575	-1.63181	0.222461
102	Surface 17	27586	9.665	-159.181	-2.76	-298.894	-80.8814	-2.55716	5.08392	6.75726	1.24517	-0.973815	-1.65082
103	Surface 17	27591	9.665	-160.983	-2.76	-298.784	-80.9587	-3.3269	5.4641	6.80655	1.13813	-1.55901	-1.69767
104	Surface 17	27807	9.665	-159.181	-1.84	-203.816	-53.4428	-2.01209	6.10636	4.63947	1.33054	-1.08836	-2.39241
105	Surface 17	27813	9.665	-160.983	-1.84	-203.469	-53.5149	-2.88427	6.50144	4.67082	1.2194	-1.46045	-2.45292
106	Surface 17	28026	9.665	-159.181	-0.92	-105.389	-26.5139	-1.50059	7.11736	2.24145	1.19784	-1.1842	-2.30514
107	Surface 17	28031	9.665	-160.983	-0.92	-105.726	-26.6883	-2.52443	7.5347	2.25221	1.09725	-1.32894	-2.37309
108	Surface 17	28245	9.665	-159.181	0.0	-3.30795	-2.8281	-1.29546	8.23357	1.1952	1.06457	-4.90099	-2.08469
109	Surface 17	28253	9.665	-160.983	0.0	-1.66384	-2.54465	-2.69378	8.63768	1.19256	0.988544	-4.61194	-2.15254
110	Surface 24	27063	9.665	-20.819	-4.6	-473.772	-138.111	3.45161	2.46578	6.56325	-1.17795	0.693889	2.39018
111	Surface 24	27071	9.665	-19.0166	-4.6	-473.669	-138.209	4.07789	2.80898	6.6257	-1.07718	1.66421	2.36095
112	Surface 24	27370	9.665	-20.819	-3.68	-389.138	-108.657	3.02099	3.97112	7.65214	-1.19827	0.830525	0.257946
113	Surface 24	27375	9.665	-19.0166	-3.68	-388.998	-108.727	3.7307	4.33093	7.70989	-1.09528	1.61488	0.220327
114	Surface 24	27589	9.665	-20.819	-2.76	-298.856	-80.8814	2.54799	5.16348	6.76515	-1.24368	0.958193	-1.65359
