Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
141:Seismic 4 - Results - 28:Increment 28
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-290.344	-128.424	-799.766	0.0	-39.987	-3.46834E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-290.344	-128.424	-799.766	0.0	-39.987	-3.46834E-3
4	Line 25104	3617	8.9	12.2246	-65.7	-362.812	-888.289	-1.44964E3	0.0	43.9131	-2.14073E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-424.021	-611.248	-1.7658E3	0.0	5.11777	-2.98391E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-424.021	-611.248	-1.7658E3	0.0	5.11777	-2.98391E-3
7	Line 25104	3655	8.9	18.3371	-65.7	-153.049	-372.563	-310.857	0.0	14.1039	-5.51658E-3
8	Line 25104	3627	9.665	12.2246	-65.7	-362.812	-888.289	-1.44964E3	0.0	43.9131	-2.14073E-3
9	Line 25104	3676	9.665	18.3371	-65.7	-153.049	-372.563	-310.857	0.0	14.1039	-5.51658E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	-230.514	25.5536	-260.601	0.0	-49.2427	-0.580591E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-290.344	-128.424	-799.766	0.0	-39.987	-3.46834E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	-230.514	25.5536	-260.601	0.0	-49.2427	-0.580591E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-290.344	-128.424	-799.766	0.0	-39.987	-3.46834E-3
14	Line 25109	3646	8.9	161.663	-65.7	-172.302	384.018	-140.148	0.0	-28.2561	-0.198487E-3
15	Line 25109	3668	9.665	161.663	-65.7	-172.302	384.018	-140.148	0.0	-28.2561	-0.198487E-3
16	Line 25109	3616	8.9	167.775	-65.7	-409.227	844.506	-1.316E3	0.0	-116.008	-8.20936E-3
17	Line 25109	3584	8.9	173.888	-65.7	-433.929	541.698	-1.80358E3	0.0	-60.4737	-2.2666E-3
18	Line 25109	3623	9.665	167.775	-65.7	-409.227	844.506	-1.316E3	0.0	-116.008	-8.20936E-3
19	Line 25109	3550	8.9	-180.0	-65.7	-219.784	128.7	-972.524	0.0	3.82235	0.467252E-3
20	Line 25109	3587	9.665	173.888	-65.7	-433.929	541.698	-1.80358E3	0.0	-60.4737	-2.2666E-3
21	Line 25109	3547	9.665	-180.0	-65.7	-219.784	128.7	-972.524	0.0	3.82235	0.467252E-3
22	Line 25110	3550	8.9	-180.0	-65.7	-219.784	128.7	-972.524	0.0	3.82235	0.467252E-3
23	Line 25110	3502	8.9	-172.251	-65.7	-221.085	-21.0728	-543.641	0.0	-3.9137	-2.87261E-3
24	Line 25110	3547	9.665	-180.0	-65.7	-219.784	128.7	-972.524	0.0	3.82235	0.467252E-3
25	Line 25110	3494	9.665	-172.251	-65.7	-221.085	-21.0728	-543.641	0.0	-3.9137	-2.87261E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	-61.5271	122.974	330.8	0.0	62.594	9.39273E-6
27	Line 25114	3102	9.665	-37.9822	-65.7	-61.5271	122.974	330.8	0.0	62.594	9.39273E-6
28	Line 25114	3178	8.9	-33.0518	-65.7	-234.821	478.404	786.703	0.0	73.2556	1.1943E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	-105.982	235.407	217.586	0.0	-10.3004	-82.494E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	-234.821	478.404	786.703	0.0	73.2556	1.1943E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	-105.982	235.407	217.586	0.0	-10.3004	-82.494E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	-105.982	235.407	217.586	0.0	-10.3004	-82.494E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	-105.982	235.407	217.586	0.0	-10.3004	-82.494E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	-62.6155	121.945	94.5717	0.0	-10.7539	0.173685E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	-116.783	232.779	191.258	0.0	-3.11215	0.419773E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	-116.783	232.779	191.258	0.0	-3.11215	0.419773E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	-62.6155	121.945	94.5717	0.0	-10.7539	0.173685E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	-62.6155	121.945	94.5717	0.0	-10.7539	0.173685E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	-62.6155	121.945	94.5717	0.0	-10.7539	0.173685E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	-78.8542	145.126	108.928	0.0	-13.6255	0.454927E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	-78.8542	145.126	108.928	0.0	-13.6255	0.454927E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	-78.8542	145.126	108.928	0.0	-13.6255	0.454927E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	-78.8542	145.126	108.928	0.0	-13.6255	0.454927E-3
44	Line 25119	3348	8.9	-20.819	-65.7	-80.8157	135.151	106.728	0.0	-27.9245	0.455527E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-80.8157	135.151	106.728	0.0	-27.9245	0.455527E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-80.8157	135.151	106.728	0.0	-27.9245	0.455527E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-80.8157	135.151	106.728	0.0	-27.9245	0.455527E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-47.3608	71.1776	63.4226	0.0	-8.97756	0.308878E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-47.3608	71.1776	63.4226	0.0	-8.97756	0.308878E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-157.102	-280.178	355.366	0.0	-4.71483	-0.868374E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-105.163	-186.332	174.523	0.0	0.785765	-0.777439E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-105.163	-186.332	174.523	0.0	0.785765	-0.777439E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-157.102	-280.178	355.366	0.0	-4.71483	-0.868374E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-118.605	-212.361	352.89	0.0	43.254	-1.61439E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-157.102	-280.178	355.366	0.0	-4.71483	-0.868374E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-157.102	-280.178	355.366	0.0	-4.71483	-0.868374E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-118.605	-212.361	352.89	0.0	43.254	-1.61439E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-47.3608	71.1776	63.4226	0.0	-8.97756	0.308878E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-47.3608	71.1776	63.4226	0.0	-8.97756	0.308878E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-109.072	152.758	143.458	0.0	-6.00904	0.665481E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-109.072	152.758	143.458	0.0	-6.00904	0.665481E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-109.072	152.758	143.458	0.0	-6.00904	0.665481E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-109.072	152.758	143.458	0.0	-6.00904	0.665481E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-209.947	183.107	191.559	0.0	-65.7389	0.467882E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-209.947	183.107	191.559	0.0	-65.7389	0.467882E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-209.947	183.107	191.559	0.0	-65.7389	0.467882E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-209.947	183.107	191.559	0.0	-65.7389	0.467882E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-230.514	25.5536	-260.601	0.0	-49.2427	-0.580591E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-230.514	25.5536	-260.601	0.0	-49.2427	-0.580591E-3
70	Line 25134	3784	8.9	26.534	-65.7	-100.284	-187.654	117.517	0.0	-13.7135	-0.426902E-3
71	Line 25134	3741	8.9	24.2119	-65.7	-84.5475	-162.214	81.958	0.0	-13.6169	-0.274599E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-84.5475	-162.214	81.958	0.0	-13.6169	-0.274599E-3
73	Line 25134	3821	9.665	26.534	-65.7	-100.284	-187.654	117.517	0.0	-13.7135	-0.426902E-3
74	Line 25135	3801	8.9	28.1214	-65.7	-96.7279	-177.577	130.261	0.0	-9.92171	-0.461558E-3
75	Line 25135	3784	8.9	26.534	-65.7	-100.284	-187.654	117.517	0.0	-13.7135	-0.426902E-3
76	Line 25135	3821	9.665	26.534	-65.7	-100.284	-187.654	117.517	0.0	-13.7135	-0.426902E-3
77	Line 25135	3850	9.665	28.1214	-65.7	-96.7279	-177.577	130.261	0.0	-9.92171	-0.461558E-3
78	Line 25136	3843	8.9	30.3724	-65.7	-105.163	-186.332	174.523	0.0	0.785765	-0.777439E-3
79	Line 25136	3801	8.9	28.1214	-65.7	-96.7279	-177.577	130.261	0.0	-9.92171	-0.461558E-3
80	Line 25136	3850	9.665	28.1214	-65.7	-96.7279	-177.577	130.261	0.0	-9.92171	-0.461558E-3
81	Line 25136	3882	9.665	30.3724	-65.7	-105.163	-186.332	174.523	0.0	0.785765	-0.777439E-3
82	Line 25139	3741	8.9	24.2119	-65.7	-84.5475	-162.214	81.958	0.0	-13.6169	-0.274599E-3
83	Line 25139	3721	8.9	23.1855	-65.7	-82.2963	-163.18	66.5369	0.0	-5.34879	2.56436E-6
84	Line 25139	3760	9.665	23.1855	-65.7	-82.2963	-163.18	66.5369	0.0	-5.34879	2.56436E-6
85	Line 25139	3778	9.665	24.2119	-65.7	-84.5475	-162.214	81.958	0.0	-13.6169	-0.274599E-3
86	Line 25142	3686	8.9	20.819	-65.7	-107.991	-224.174	34.2044	0.0	-35.4736	-63.0227E-6
87	Line 25142	3655	8.9	18.3371	-65.7	-153.049	-372.563	-310.857	0.0	14.1039	-5.51658E-3
88	Line 25142	3676	9.665	18.3371	-65.7	-153.049	-372.563	-310.857	0.0	14.1039	-5.51658E-3
89	Line 25142	3713	9.665	20.819	-65.7	-107.991	-224.174	34.2044	0.0	-35.4736	-63.0227E-6
90	Line 25143	3721	8.9	23.1855	-65.7	-82.2963	-163.18	66.5369	0.0	-5.34879	2.56436E-6
91	Line 25143	3686	8.9	20.819	-65.7	-107.991	-224.174	34.2044	0.0	-35.4736	-63.0227E-6
92	Line 25143	3713	9.665	20.819	-65.7	-107.991	-224.174	34.2044	0.0	-35.4736	-63.0227E-6
93	Line 25143	3760	9.665	23.1855	-65.7	-82.2963	-163.18	66.5369	0.0	-5.34879	2.56436E-6
94	Line 25144	3288	8.9	-155.08	-65.7	-74.2097	-124.958	90.8651	0.0	-1.35028	-0.729319E-3
95	Line 25144	3247	9.665	-155.08	-65.7	-74.2097	-124.958	90.8651	0.0	-1.35028	-0.729319E-3
96	Line 25144	3259	8.9	-153.479	-65.7	-145.559	-237.511	186.993	0.0	11.1088	-0.861027E-3
97	Line 25144	3218	9.665	-153.479	-65.7	-145.559	-237.511	186.993	0.0	11.1088	-0.861027E-3
98	Line 25144	3232	8.9	-151.879	-65.7	-141.227	-238.369	219.355	0.0	3.75481	0.367453E-3
99	Line 25144	3196	9.665	-151.879	-65.7	-141.227	-238.369	219.355	0.0	3.75481	0.367453E-3
100	Line 25145	3232	8.9	-151.879	-65.7	-141.227	-238.369	219.355	0.0	3.75481	0.367453E-3
101	Line 25145	3177	8.9	-146.948	-65.7	-368.72	-480.607	811.979	0.0	97.8252	-1.75262E-3
102	Line 25145	3196	9.665	-151.879	-65.7	-141.227	-238.369	219.355	0.0	3.75481	0.367453E-3
103	Line 25145	3129	8.9	-142.018	-65.7	-103.557	-116.793	375.619	0.0	65.4683	-0.449902E-3
104	Line 25145	3142	9.665	-146.948	-65.7	-368.72	-480.607	811.979	0.0	97.8252	-1.75262E-3
105	Line 25145	3097	9.665	-142.018	-65.7	-103.557	-116.793	375.619	0.0	65.4683	-0.449902E-3
106	Line 25148	3308	8.9	-156.815	-65.7	-89.2902	-149.943	106.366	0.0	-10.1725	-0.821766E-3
107	Line 25148	3288	8.9	-155.08	-65.7	-74.2097	-124.958	90.8651	0.0	-1.35028	-0.729319E-3
108	Line 25148	3280	9.665	-156.815	-65.7	-89.2902	-149.943	106.366	0.0	-10.1725	-0.821766E-3
109	Line 25148	3247	9.665	-155.08	-65.7	-74.2097	-124.958	90.8651	0.0	-1.35028	-0.729319E-3
110	Line 25151	3388	8.9	-160.983	-65.7	-52.7642	-74.718	58.7984	0.0	-10.2259	-0.629309E-3
111	Line 25151	3347	8.9	-159.181	-65.7	-89.8534	-140.649	104.478	0.0	-30.3131	-0.630773E-3
112	Line 25151	3353	9.665	-160.983	-65.7	-52.7642	-74.718	58.7984	0.0	-10.2259	-0.629309E-3
113	Line 25151	3321	9.665	-159.181	-65.7	-89.8534	-140.649	104.478	0.0	-30.3131	-0.630773E-3
114	Line 25152	3347	8.9	-159.181	-65.7	-89.8534	-140.649	104.478	0.0	-30.3131	-0.630773E-3
115	Line 25152	3308	8.9	-156.815	-65.7	-89.2902	-149.943	106.366	0.0	-10.1725	-0.821766E-3
116	Line 25152	3321	9.665	-159.181	-65.7	-89.8534	-140.649	104.478	0.0	-30.3131	-0.630773E-3
117	Line 25152	3280	9.665	-156.815	-65.7	-89.2902	-149.943	106.366	0.0	-10.1725	-0.821766E-3
118	Line 25153	3926	8.9	142.018	-65.7	-121.171	222.978	334.783	0.0	44.2666	1.18053E-3
119	Line 25153	3868	8.9	147.44	-65.7	-143.591	287.515	350.147	0.0	-18.5705	1.34609E-3
120	Line 25153	3952	9.665	142.018	-65.7	-121.171	222.978	334.783	0.0	44.2666	1.18053E-3
121	Line 25153	3908	9.665	147.44	-65.7	-143.591	287.515	350.147	0.0	-18.5705	1.34609E-3
122	Line 25154	3868	8.9	147.44	-65.7	-143.591	287.515	350.147	0.0	-18.5705	1.34609E-3
123	Line 25154	3836	8.9	149.628	-65.7	-95.4008	188.441	171.487	0.0	-12.5673	87.1287E-6
124	Line 25154	3908	9.665	147.44	-65.7	-143.591	287.515	350.147	0.0	-18.5705	1.34609E-3
125	Line 25154	3876	9.665	149.628	-65.7	-95.4008	188.441	171.487	0.0	-12.5673	87.1287E-6
126	Line 25157	3399	8.9	-161.663	-65.7	-120.408	-160.42	132.189	0.0	-6.86034	-1.21793E-3
127	Line 25157	3388	8.9	-160.983	-65.7	-52.7642	-74.718	58.7984	0.0	-10.2259	-0.629309E-3
128	Line 25157	3370	9.665	-161.663	-65.7	-120.408	-160.42	132.189	0.0	-6.86034	-1.21793E-3
129	Line 25157	3353	9.665	-160.983	-65.7	-52.7642	-74.718	58.7984	0.0	-10.2259	-0.629309E-3
130	Line 25160	3452	8.9	-166.683	-65.7	-221.375	-184.435	130.641	0.0	-65.0772	-0.283953E-3
131	Line 25160	3399	8.9	-161.663	-65.7	-120.408	-160.42	132.189	0.0	-6.86034	-1.21793E-3
132	Line 25160	3438	9.665	-166.683	-65.7	-221.375	-184.435	130.641	0.0	-65.0772	-0.283953E-3
133	Line 25160	3370	9.665	-161.663	-65.7	-120.408	-160.42	132.189	0.0	-6.86034	-1.21793E-3
134	Line 25161	3502	8.9	-172.251	-65.7	-221.085	-21.0728	-543.641	0.0	-3.9137	-2.87261E-3
135	Line 25161	3452	8.9	-166.683	-65.7	-221.375	-184.435	130.641	0.0	-65.0772	-0.283953E-3
136	Line 25161	3494	9.665	-172.251	-65.7	-221.085	-21.0728	-543.641	0.0	-3.9137	-2.87261E-3
137	Line 25161	3438	9.665	-166.683	-65.7	-221.375	-184.435	130.641	0.0	-65.0772	-0.283953E-3
138	Line 25164	3783	8.9	153.466	-65.7	-92.9655	188.19	132.225	0.0	-26.6591	0.169975E-3
139	Line 25164	3734	8.9	155.788	-65.7	-77.1543	163.964	102.323	0.0	-20.7612	0.194797E-3
140	Line 25164	3815	9.665	153.466	-65.7	-92.9655	188.19	132.225	0.0	-26.6591	0.169975E-3
141	Line 25164	3773	9.665	155.788	-65.7	-77.1543	163.964	102.323	0.0	-20.7612	0.194797E-3
142	Line 25167	3836	8.9	149.628	-65.7	-95.4008	188.441	171.487	0.0	-12.5673	87.1287E-6
143	Line 25167	3799	8.9	151.879	-65.7	-90.3856	179.083	140.046	0.0	-17.8317	0.298988E-3
144	Line 25167	3876	9.665	149.628	-65.7	-95.4008	188.441	171.487	0.0	-12.5673	87.1287E-6
145	Line 25167	3849	9.665	151.879	-65.7	-90.3856	179.083	140.046	0.0	-17.8317	0.298988E-3
146	Line 25168	3799	8.9	151.879	-65.7	-90.3856	179.083	140.046	0.0	-17.8317	0.298988E-3
147	Line 25168	3783	8.9	153.466	-65.7	-92.9655	188.19	132.225	0.0	-26.6591	0.169975E-3
148	Line 25168	3849	9.665	151.879	-65.7	-90.3856	179.083	140.046	0.0	-17.8317	0.298988E-3
