	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-420.304	-80.6998	5.97877	-3.61092	6.11644	0.0898227	-2.18885	-1.81298
31	Surface 3	27639	9.665	20.819	-2.76	-420.823	-80.5791	0.2721	-3.58178	6.12225	0.0212877	-1.53902	-1.83577
32	Surface 3	27854	9.665	18.3371	-1.84	-327.249	-53.7684	6.26715	-2.91662	4.14383	0.103288	-1.69961	-2.52297
33	Surface 3	27860	9.665	20.819	-1.84	-327.618	-53.4594	0.247757	-2.88977	4.15055	0.0296323	-1.19118	-2.54752
34	Surface 3	28073	9.665	18.3371	-0.92	-230.858	-26.9131	5.76943	-2.2291	1.94962	0.116541	-1.15481	-2.30322
35	Surface 3	28078	9.665	20.819	-0.92	-231.023	-26.6818	-0.0331577	-2.21579	1.95425	0.0345395	-0.814241	-2.32621
36	Surface 3	28294	9.665	18.3371	0.0	-132.882	-3.61526	4.91616	-1.25435	1.02744	0.115607	-0.971982	-2.00449
37	Surface 3	28300	9.665	20.819	0.0	-129.674	-2.99065	-0.452542	-1.21523	1.03652	0.027532	-0.627822	-2.03356
38	Surface 12	27127	9.665	161.663	-4.6	-589.456	-136.893	-5.10429	-5.76158	5.3542	-0.0890621	3.07074	2.54502
39	Surface 12	27139	9.665	159.181	-4.6	-590.152	-136.818	-0.186169	-5.7293	5.3596	-0.029758	2.15546	2.52273
40	Surface 12	27410	9.665	161.663	-3.68	-507.947	-107.97	-5.54586	-4.53286	6.79783	-0.0928834	2.65379	0.271057
41	Surface 12	27415	9.665	159.181	-3.68	-508.582	-107.881	-0.221971	-4.50447	6.80294	-0.0290365	1.86396	0.248971
42	Surface 12	27630	9.665	161.663	-2.76	-420.326	-80.6978	-5.96706	-3.64904	6.11174	-0.100183	2.19723	-1.81285
43	Surface 12	27635	9.665	159.181	-2.76	-420.847	-80.577	-0.261595	-3.62463	6.11671	-0.0311301	1.54635	-1.83573
44	Surface 12	27851	9.665	161.663	-1.84	-327.271	-53.7677	-6.25953	-2.95559	4.1405	-0.113971	1.70821	-2.52228
45	Surface 12	27856	9.665	159.181	-1.84	-327.643	-53.4588	-0.24082	-2.93379	4.1465	-0.0397313	1.19873	-2.54686
46	Surface 12	28071	9.665	161.663	-0.92	-230.879	-26.9131	-5.76635	-2.26899	1.94796	-0.125859	1.16342	-2.30229
47	Surface 12	28076	9.665	159.181	-0.92	-231.048	-26.682	0.0361241	-2.26105	1.9521	-0.0433048	0.821794	-2.3252
48	Surface 12	28291	9.665	161.663	0.0	-132.899	-3.61465	-4.91567	-1.29442	1.02668	-0.123723	1.00753	-2.0036
49	Surface 12	28296	9.665	159.181	0.0	-129.694	-2.99019	0.453238	-1.26074	1.03544	-0.0351463	0.660528	-2.03254
50	Surface 13	27108	9.665	-180.0	-4.6	-588.154	-137.297	-2.25431	-5.90393	5.33462	-0.0456234	0.450718	2.59943
51	Surface 13	27116	9.665	173.888	-4.6	-588.558	-137.205	-0.0241806	-5.87754	5.34017	-0.0295399	0.645204	2.56396
52	Surface 13	27123	9.665	167.775	-4.6	-588.738	-137.084	-0.0491066	-5.81654	5.34785	-0.031914	1.47568	2.60632
53	Surface 13	27127	9.665	161.663	-4.6	-589.456	-136.893	-5.10429	-5.76158	5.3542	-0.0890621	3.07074	2.54502
54	Surface 13	27396	9.665	-180.0	-3.68	-506.778	-108.476	-2.43327	-4.65999	6.77688	-0.0493013	0.389622	0.315736
55	Surface 13	27402	9.665	173.888	-3.68	-507.142	-108.368	-0.0398059	-4.63659	6.78249	-0.02904	0.555544	0.280009
56	Surface 13	27405	9.665	167.775	-3.68	-507.302	-108.21	-0.0736192	-4.58223	6.79056	-0.0303115	1.2729	0.329791
57	Surface 13	27410	9.665	161.663	-3.68	-507.947	-107.97	-5.54586	-4.53286	6.79783	-0.0928834	2.65379	0.271057
58	Surface 13	27617	9.665	-180.0	-2.76	-419.402	-81.2952	-2.6162	-3.76439	6.07764	-0.0521864	0.325351	-1.78033
59	Surface 13	27622	9.665	173.888	-2.76	-419.704	-81.1512	-0.0367228	-3.74434	6.08201	-0.0313282	0.454251	-1.81936
60	Surface 13	27626	9.665	167.775	-2.76	-419.804	-80.9881	-0.0667457	-3.69371	6.09933	-0.0331569	1.04668	-1.75553
61	Surface 13	27630	9.665	161.663	-2.76	-420.326	-80.6978	-5.96706	-3.64904	6.11174	-0.100183	2.19723	-1.81285
62	Surface 13	27836	9.665	-180.0	-1.84	-326.943	-54.3952	-2.81116	-3.05935	4.0773	-0.0538064	0.258641	-2.49242
63	Surface 13	27842	9.665	173.888	-1.84	-327.096	-54.0304	0.0600334	-3.04105	4.08337	-0.0394446	0.341744	-2.52845
