	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-420.301	-80.6997	5.97465	-3.60091	6.11753	0.0921621	-2.19311	-1.81353
31	Surface 3	27639	9.665	20.819	-2.76	-420.821	-80.579	0.267955	-3.57436	6.12296	0.0235669	-1.54351	-1.83628
32	Surface 3	27854	9.665	18.3371	-1.84	-327.246	-53.7683	6.26475	-2.90678	4.14452	0.105939	-1.70382	-2.52347
33	Surface 3	27860	9.665	20.819	-1.84	-327.616	-53.4593	0.245441	-2.88258	4.15094	0.0322433	-1.1956	-2.54797
34	Surface 3	28073	9.665	18.3371	-0.92	-230.857	-26.913	5.76852	-2.21939	1.94995	0.119032	-1.15894	-2.30357
35	Surface 3	28078	9.665	20.819	-0.92	-231.023	-26.6818	-0.0338912	-2.20878	1.95439	0.0370198	-0.818544	-2.32649
36	Surface 3	28294	9.665	18.3371	0.0	-132.884	-3.61553	4.91598	-1.24473	1.0276	0.117943	-0.984033	-2.00474
37	Surface 3	28300	9.665	20.819	0.0	-129.677	-2.99094	-0.452515	-1.20831	1.03656	0.0298945	-0.640141	-2.03373
38	Surface 12	27127	9.665	161.663	-4.6	-589.445	-136.895	-5.10476	-5.73811	5.35803	-0.0875889	3.07117	2.54509
39	Surface 12	27139	9.665	159.181	-4.6	-590.141	-136.821	-0.185724	-5.70618	5.3634	-0.028449	2.15648	2.52283
40	Surface 12	27410	9.665	161.663	-3.68	-507.935	-107.971	-5.54652	-4.50906	6.80131	-0.0914884	2.65414	0.270928
41	Surface 12	27415	9.665	159.181	-3.68	-508.57	-107.883	-0.221939	-4.48099	6.8064	-0.0278216	1.8649	0.248873
42	Surface 12	27630	9.665	161.663	-2.76	-420.314	-80.6985	-5.96778	-3.62493	6.11463	-0.0988683	2.1975	-1.81322
43	Surface 12	27635	9.665	159.181	-2.76	-420.835	-80.5777	-0.261866	-3.60079	6.11959	-0.0300196	1.5472	-1.83606
44	Surface 12	27851	9.665	161.663	-1.84	-327.26	-53.7679	-6.26011	-2.93117	4.14252	-0.112737	1.7084	-2.5229
45	Surface 12	27856	9.665	159.181	-1.84	-327.631	-53.459	-0.241234	-2.9096	4.14853	-0.0387413	1.19951	-2.54745
46	Surface 12	28071	9.665	161.663	-0.92	-230.869	-26.913	-5.76656	-2.2442	1.94897	-0.124876	1.16358	-2.30295
47	Surface 12	28076	9.665	159.181	-0.92	-231.037	-26.6819	0.035795	-2.23645	1.95312	-0.0425691	0.822511	-2.32584
48	Surface 12	28291	9.665	161.663	0.0	-132.893	-3.61508	-4.91562	-1.2696	1.02715	-0.122957	1.00524	-2.00418
