	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
44	Line 25119	3348	8.9	-20.819	-65.7	-78.6907	144.048	104.973	0.0	-29.7692	0.443036E-3
45	Line 25119	3329	9.665	-20.819	-65.7	-78.6907	144.048	104.973	0.0	-29.7692	0.443036E-3
46	Line 25120	3348	8.9	-20.819	-65.7	-78.6907	144.048	104.973	0.0	-29.7692	0.443036E-3
47	Line 25120	3329	9.665	-20.819	-65.7	-78.6907	144.048	104.973	0.0	-29.7692	0.443036E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	-46.2332	76.5638	62.4701	0.0	-9.18329	0.300675E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	-46.2332	76.5638	62.4701	0.0	-9.18329	0.300675E-3
50	Line 25123	3869	8.9	32.5601	-65.7	-160.809	-262.461	359.25	0.0	-2.4108	-0.86104E-3
51	Line 25123	3843	8.9	30.3724	-65.7	-107.176	-176.414	176.771	0.0	2.71638	-0.798978E-3
52	Line 25123	3882	9.665	30.3724	-65.7	-107.176	-176.414	176.771	0.0	2.71638	-0.798978E-3
53	Line 25123	3911	9.665	32.5601	-65.7	-160.809	-262.461	359.25	0.0	-2.4108	-0.86104E-3
54	Line 25124	3927	8.9	37.9822	-65.7	-121.203	-193.879	356.445	0.0	45.4151	-1.58157E-3
55	Line 25124	3869	8.9	32.5601	-65.7	-160.809	-262.461	359.25	0.0	-2.4108	-0.86104E-3
56	Line 25124	3911	9.665	32.5601	-65.7	-160.809	-262.461	359.25	0.0	-2.4108	-0.86104E-3
57	Line 25124	3960	9.665	37.9822	-65.7	-121.203	-193.879	356.445	0.0	45.4151	-1.58157E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	-46.2332	76.5638	62.4701	0.0	-9.18329	0.300675E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	-46.2332	76.5638	62.4701	0.0	-9.18329	0.300675E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	-106.711	165.211	141.387	0.0	-6.49351	0.64604E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	-106.711	165.211	141.387	0.0	-6.49351	0.64604E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	-106.711	165.211	141.387	0.0	-6.49351	0.64604E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	-106.711	165.211	141.387	0.0	-6.49351	0.64604E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	-205.876	206.861	188.406	0.0	-67.9575	0.47213E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	-205.876	206.861	188.406	0.0	-67.9575	0.47213E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	-205.876	206.861	188.406	0.0	-67.9575	0.47213E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	-205.876	206.861	188.406	0.0	-67.9575	0.47213E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	-229.024	58.695	-261.844	0.0	-50.7114	-0.5829E-3
69	Line 25131	3499	9.665	-7.74887	-65.7	-229.024	58.695	-261.844	0.0	-50.7114	-0.5829E-3
70	Line 25134	3784	8.9	26.534	-65.7	-102.056	-179.019	119.23	0.0	-12.0672	-0.448111E-3
71	Line 25134	3741	8.9	24.2119	-65.7	-86.1837	-154.72	83.2804	0.0	-12.7161	-0.279423E-3
72	Line 25134	3778	9.665	24.2119	-65.7	-86.1837	-154.72	83.2804	0.0	-12.7161	-0.279423E-3
73	Line 25134	3821	9.665	26.534	-65.7	-102.056	-179.019	119.23	0.0	-12.0672	-0.448111E-3
74	Line 25135	3801	8.9	28.1214	-65.7	-98.4951	-169.133	132.027	0.0	-8.55841	-0.479567E-3
