Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	26/11/19
8	Time	11:45
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Cylindrical
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
8:Tunnel Opening T1 P3 - 8:Increment 8
 
	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
2	Surface 2	27114	9.665	7.01648E-15	-4.6	-585.31	-138.232	1.33912	0.138144	6.40122	0.333848	-0.982057	2.70157
3	Surface 2	27118	9.665	6.11244	-4.6	-586.059	-138.048	-1.39132	-0.563786	6.28108	0.480817	-1.4465	2.65517
4	Surface 2	27124	9.665	12.2246	-4.6	-586.693	-137.797	-1.76367	-1.46049	6.12382	0.623594	-2.48732	2.68515
5	Surface 2	27135	9.665	18.3371	-4.6	-587.857	-137.42	3.01338	-2.35704	5.96972	0.786945	-4.22702	2.59828
6	Surface 2	27400	9.665	4.20989E-15	-3.68	-503.661	-109.003	1.7203	1.55248	7.75614	0.352837	-0.924646	0.367299
7	Surface 2	27403	9.665	6.11242	-3.68	-504.396	-108.848	-1.07279	0.83131	7.64635	0.501989	-1.36429	0.326697
8	Surface 2	27407	9.665	12.2246	-3.68	-505.049	-108.62	-1.35582	-0.0951323	7.50323	0.64829	-2.29523	0.371956
9	Surface 2	27413	9.665	18.3371	-3.68	-506.18	-108.269	3.89637	-1.02039	7.36758	0.820907	-3.82307	0.300433
10	Surface 2	27619	9.665	1.4033E-15	-2.76	-416.033	-81.5315	2.11385	2.614	6.90827	0.380369	-0.859183	-1.80101
11	Surface 2	27623	9.665	6.11241	-2.76	-416.728	-81.3701	-0.753985	1.87359	6.8146	0.539725	-1.26313	-1.83639
12	Surface 2	27627	9.665	12.2246	-2.76	-417.354	-81.1805	-0.953383	0.920788	6.70382	0.695103	-2.07031	-1.76666
13	Surface 2	27633	9.665	18.3371	-2.76	-418.397	-80.833	4.78821	-0.0312309	6.60299	0.878985	-3.36843	-1.81971
14	Surface 2	27840	9.665	1.4033E-15	-1.84	-323.436	-54.4463	2.52164	3.48001	4.67152	0.420436	-0.784603	-2.6039
15	Surface 2	27844	9.665	6.11241	-1.84	-323.987	-54.0848	-0.512668	2.72242	4.60707	0.604675	-1.14094	-2.62476
16	Surface 2	27847	9.665	12.2246	-1.84	-324.523	-54.2236	-0.666871	1.7411	4.54569	0.778353	-1.81104	-2.54653
17	Surface 2	27854	9.665	18.3371	-1.84	-325.239	-53.7968	5.57412	0.764363	4.50369	0.975108	-2.86661	-2.578
18	Surface 2	28060	9.665	4.20989E-15	-0.92	-228.025	-27.2513	2.32761	4.3682	2.1875	0.392728	-0.675758	-2.34378
19	Surface 2	28064	9.665	6.11242	-0.92	-228.5	-26.9841	-0.312016	3.58688	2.15918	0.563767	-1.02632	-2.36972
20	Surface 2	28068	9.665	12.2246	-0.92	-228.3	-27.1395	-0.449895	2.5746	2.14123	0.72605	-1.56438	-2.31627
21	Surface 2	28073	9.665	18.3371	-0.92	-228.894	-26.8916	5.5176	1.55995	2.14536	0.917434	-2.30153	-2.38988
22	Surface 2	28280	9.665	0.0	0.0	-133.511	-4.24313	1.84957	5.36759	1.11843	0.361983	-1.82784	-1.96065
23	Surface 2	28284	9.665	6.11244	0.0	-131.517	-3.76328	-0.191147	4.60129	1.11281	0.516873	-2.68452	-2.01498
24	Surface 2	28287	9.665	12.2246	0.0	-133.675	-4.24383	-0.283951	3.56257	1.10871	0.660782	-3.59765	-1.96762
25	Surface 2	28294	9.665	18.3371	0.0	-131.319	-3.64653	4.88052	2.55361	1.1288	0.849296	-4.57849	-2.09572
26	Surface 3	27135	9.665	18.3371	-4.6	-587.857	-137.42	3.01338	-2.35704	5.96972	0.786945	-4.22702	2.59828
27	Surface 3	27142	9.665	20.819	-4.6	-588.88	-137.287	-2.06331	-3.00166	5.85274	0.772341	-3.39543	2.58053
28	Surface 3	27413	9.665	18.3371	-3.68	-506.18	-108.269	3.89637	-1.02039	7.36758	0.820907	-3.82307	0.300433
29	Surface 3	27420	9.665	20.819	-3.68	-507.168	-108.156	-1.55782	-1.68685	7.25691	0.803447	-3.11868	0.283684
