Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
16:Tunnel Opening T2 P2 - 16:Increment 16
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	316.315	-11.0818	-860.941	0.0	-207.786	-3.2518E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	316.315	-11.0818	-860.941	0.0	-207.786	-3.2518E-3
4	Line 25104	3617	8.9	12.2246	-65.7	746.151	-840.978	-1.60708E3	0.0	-244.262	-1.19646E-3
5	Line 25104	3586	8.9	6.11244	-65.7	670.937	-460.624	-1.84789E3	0.0	-312.216	-1.54264E-3
6	Line 25104	3591	9.665	6.11244	-65.7	670.937	-460.624	-1.84789E3	0.0	-312.216	-1.54264E-3
7	Line 25104	3655	8.9	18.3371	-65.7	250.346	-390.349	-385.983	0.0	-53.4304	-5.65754E-3
8	Line 25104	3627	9.665	12.2246	-65.7	746.151	-840.978	-1.60708E3	0.0	-244.262	-1.19646E-3
9	Line 25104	3676	9.665	18.3371	-65.7	250.346	-390.349	-385.983	0.0	-53.4304	-5.65754E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	337.615	222.725	-368.385	0.0	-192.554	11.5074E-6
11	Line 25108	3551	8.9	7.01648E-15	-65.7	316.315	-11.0818	-860.941	0.0	-207.786	-3.2518E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	337.615	222.725	-368.385	0.0	-192.554	11.5074E-6
13	Line 25108	3552	9.665	7.01648E-15	-65.7	316.315	-11.0818	-860.941	0.0	-207.786	-3.2518E-3
14	Line 25109	3646	8.9	161.663	-65.7	-23.3714	984.403	188.202	0.0	-519.502	-2.91572E-3
15	Line 25109	3668	9.665	161.663	-65.7	-23.3714	984.403	188.202	0.0	-519.502	-2.91572E-3
16	Line 25109	3616	8.9	167.775	-65.7	-67.4002	3.08558E3	13.2438	0.0	-2.49678E3	-0.0177719
17	Line 25109	3584	8.9	173.888	-65.7	257.931	2.63315E3	-1.66046E3	0.0	-2.75417E3	-1.59036E-3
18	Line 25109	3623	9.665	167.775	-65.7	-67.4002	3.08558E3	13.2438	0.0	-2.49678E3	-0.0177719
19	Line 25109	3550	8.9	-180.0	-65.7	406.775	1.39792E3	-1.98506E3	0.0	-1.24572E3	2.74389E-3
20	Line 25109	3587	9.665	173.888	-65.7	257.931	2.63315E3	-1.66046E3	0.0	-2.75417E3	-1.59036E-3
21	Line 25109	3547	9.665	-180.0	-65.7	406.775	1.39792E3	-1.98506E3	0.0	-1.24572E3	2.74389E-3
22	Line 25110	3550	8.9	-180.0	-65.7	406.775	1.39792E3	-1.98506E3	0.0	-1.24572E3	2.74389E-3
23	Line 25110	3502	8.9	-172.251	-65.7	676.551	1.03337E3	-818.661	0.0	-722.669	1.21337E-3
24	Line 25110	3547	9.665	-180.0	-65.7	406.775	1.39792E3	-1.98506E3	0.0	-1.24572E3	2.74389E-3
25	Line 25110	3494	9.665	-172.251	-65.7	676.551	1.03337E3	-818.661	0.0	-722.669	1.21337E-3
26	Line 25114	3131	8.9	-37.9822	-65.7	204.759	155.882	132.698	0.0	53.0293	-0.242085E-3
27	Line 25114	3102	9.665	-37.9822	-65.7	204.759	155.882	132.698	0.0	53.0293	-0.242085E-3
28	Line 25114	3178	8.9	-33.0518	-65.7	523.098	667.928	345.981	0.0	12.0475	1.91137E-3
29	Line 25114	3233	8.9	-28.1214	-65.7	153.752	316.33	94.7852	0.0	-24.9038	59.9938E-6
30	Line 25114	3144	9.665	-33.0518	-65.7	523.098	667.928	345.981	0.0	12.0475	1.91137E-3
31	Line 25114	3201	9.665	-28.1214	-65.7	153.752	316.33	94.7852	0.0	-24.9038	59.9938E-6
32	Line 25115	3233	8.9	-28.1214	-65.7	153.752	316.33	94.7852	0.0	-24.9038	59.9938E-6
33	Line 25115	3201	9.665	-28.1214	-65.7	153.752	316.33	94.7852	0.0	-24.9038	59.9938E-6
34	Line 25115	3295	8.9	-24.9197	-65.7	77.7503	172.579	35.8382	0.0	-24.1132	0.163309E-3
35	Line 25115	3260	8.9	-26.5207	-65.7	147.563	322.56	77.5043	0.0	-25.075	0.36339E-3
36	Line 25115	3220	9.665	-26.5207	-65.7	147.563	322.56	77.5043	0.0	-25.075	0.36339E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	77.7503	172.579	35.8382	0.0	-24.1132	0.163309E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	77.7503	172.579	35.8382	0.0	-24.1132	0.163309E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	77.7503	172.579	35.8382	0.0	-24.1132	0.163309E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	97.4751	211.446	38.9265	0.0	-34.5034	0.363486E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	97.4751	211.446	38.9265	0.0	-34.5034	0.363486E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	97.4751	211.446	38.9265	0.0	-34.5034	0.363486E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	97.4751	211.446	38.9265	0.0	-34.5034	0.363486E-3
44	Line 25119	3348	8.9	-20.819	-65.7	100.632	205.929	38.4523	0.0	-62.1473	0.511696E-3
45	Line 25119	3329	9.665	-20.819	-65.7	100.632	205.929	38.4523	0.0	-62.1473	0.511696E-3
46	Line 25120	3348	8.9	-20.819	-65.7	100.632	205.929	38.4523	0.0	-62.1473	0.511696E-3
47	Line 25120	3329	9.665	-20.819	-65.7	100.632	205.929	38.4523	0.0	-62.1473	0.511696E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	61.2069	114.999	25.2187	0.0	-15.238	0.374736E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	61.2069	114.999	25.2187	0.0	-15.238	0.374736E-3
50	Line 25123	3869	8.9	32.5601	-65.7	195.795	-256.108	177.298	0.0	-49.4726	-1.56728E-3
51	Line 25123	3843	8.9	30.3724	-65.7	108.528	-182.955	80.8252	0.0	-34.329	-0.618474E-3
52	Line 25123	3882	9.665	30.3724	-65.7	108.528	-182.955	80.8252	0.0	-34.329	-0.618474E-3
53	Line 25123	3911	9.665	32.5601	-65.7	195.795	-256.108	177.298	0.0	-49.4726	-1.56728E-3
54	Line 25124	3927	8.9	37.9822	-65.7	218.223	-160.611	144.984	0.0	10.1841	-0.590351E-3
55	Line 25124	3869	8.9	32.5601	-65.7	195.795	-256.108	177.298	0.0	-49.4726	-1.56728E-3
56	Line 25124	3911	9.665	32.5601	-65.7	195.795	-256.108	177.298	0.0	-49.4726	-1.56728E-3
57	Line 25124	3960	9.665	37.9822	-65.7	218.223	-160.611	144.984	0.0	10.1841	-0.590351E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	61.2069	114.999	25.2187	0.0	-15.238	0.374736E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	61.2069	114.999	25.2187	0.0	-15.238	0.374736E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	140.695	255.722	57.6887	0.0	-17.0556	0.854491E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	140.695	255.722	57.6887	0.0	-17.0556	0.854491E-3
62	Line 25128	3400	8.9	-18.3371	-65.7	140.695	255.722	57.6887	0.0	-17.0556	0.854491E-3
63	Line 25128	3377	9.665	-18.3371	-65.7	140.695	255.722	57.6887	0.0	-17.0556	0.854491E-3
64	Line 25128	3459	8.9	-13.3169	-65.7	252.374	362.65	45.0193	0.0	-169.723	1.25632E-3
65	Line 25128	3443	9.665	-13.3169	-65.7	252.374	362.65	45.0193	0.0	-169.723	1.25632E-3
66	Line 25131	3459	8.9	-13.3169	-65.7	252.374	362.65	45.0193	0.0	-169.723	1.25632E-3
67	Line 25131	3443	9.665	-13.3169	-65.7	252.374	362.65	45.0193	0.0	-169.723	1.25632E-3
68	Line 25131	3511	8.9	-7.74887	-65.7	337.615	222.725	-368.385	0.0	-192.554	11.5074E-6
69	Line 25131	3499	9.665	-7.74887	-65.7	337.615	222.725	-368.385	0.0	-192.554	11.5074E-6
70	Line 25134	3784	8.9	26.534	-65.7	91.1764	-192.576	38.5498	0.0	-47.3663	-0.318092E-3
71	Line 25134	3741	8.9	24.2119	-65.7	81.867	-168.117	17.4907	0.0	-33.2021	-0.342765E-3
72	Line 25134	3778	9.665	24.2119	-65.7	81.867	-168.117	17.4907	0.0	-33.2021	-0.342765E-3
73	Line 25134	3821	9.665	26.534	-65.7	91.1764	-192.576	38.5498	0.0	-47.3663	-0.318092E-3
74	Line 25135	3801	8.9	28.1214	-65.7	89.9029	-179.556	53.4466	0.0	-36.5531	-0.354454E-3
75	Line 25135	3784	8.9	26.534	-65.7	91.1764	-192.576	38.5498	0.0	-47.3663	-0.318092E-3
76	Line 25135	3821	9.665	26.534	-65.7	91.1764	-192.576	38.5498	0.0	-47.3663	-0.318092E-3
77	Line 25135	3850	9.665	28.1214	-65.7	89.9029	-179.556	53.4466	0.0	-36.5531	-0.354454E-3
78	Line 25136	3843	8.9	30.3724	-65.7	108.528	-182.955	80.8252	0.0	-34.329	-0.618474E-3
79	Line 25136	3801	8.9	28.1214	-65.7	89.9029	-179.556	53.4466	0.0	-36.5531	-0.354454E-3
80	Line 25136	3850	9.665	28.1214	-65.7	89.9029	-179.556	53.4466	0.0	-36.5531	-0.354454E-3
81	Line 25136	3882	9.665	30.3724	-65.7	108.528	-182.955	80.8252	0.0	-34.329	-0.618474E-3
82	Line 25139	3741	8.9	24.2119	-65.7	81.867	-168.117	17.4907	0.0	-33.2021	-0.342765E-3
