	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-420.275	-80.7023	5.97014	-3.55827	6.12386	0.0968071	-2.19584	-1.81252
31	Surface 3	27639	9.665	20.819	-2.76	-420.796	-80.5815	0.261832	-3.53343	6.129	0.0292293	-1.54732	-1.83532
32	Surface 3	27854	9.665	18.3371	-1.84	-327.217	-53.7691	6.26182	-2.86199	4.14935	0.110695	-1.70661	-2.52345
33	Surface 3	27860	9.665	20.819	-1.84	-327.588	-53.4602	0.241434	-2.83962	4.15553	0.038067	-1.19949	-2.54797
34	Surface 3	28073	9.665	18.3371	-0.92	-230.825	-26.9129	5.76727	-2.17245	1.9526	0.123098	-1.16179	-2.30438
35	Surface 3	28078	9.665	20.819	-0.92	-230.992	-26.6817	-0.0355751	-2.16376	1.95689	0.0420648	-0.822473	-2.32728
36	Surface 3	28294	9.665	18.3371	0.0	-132.853	-3.61557	4.91566	-1.19725	1.02896	0.121377	-0.997996	-2.0058
37	Surface 3	28300	9.665	20.819	0.0	-129.648	-2.99105	-0.452872	-1.16279	1.03784	0.0342342	-0.658391	-2.03475
38	Surface 12	27127	9.665	161.663	-4.6	-589.433	-136.902	-5.08978	-5.71367	5.36299	-0.0957645	3.07757	2.54664
39	Surface 12	27139	9.665	159.181	-4.6	-590.131	-136.827	-0.169121	-5.68543	5.36761	-0.037358	2.16351	2.5243
40	Surface 12	27410	9.665	161.663	-3.68	-507.92	-107.975	-5.53406	-4.48283	6.8062	-0.0996947	2.66082	0.272214
41	Surface 12	27415	9.665	159.181	-3.68	-508.558	-107.886	-0.208041	-4.45866	6.81055	-0.036764	1.87225	0.250089
42	Surface 12	27630	9.665	161.663	-2.76	-420.297	-80.7004	-5.95829	-3.59696	6.11909	-0.107232	2.20439	-1.81238
43	Surface 12	27635	9.665	159.181	-2.76	-420.821	-80.5795	-0.251199	-3.57694	6.12338	-0.0391308	1.55479	-1.83527
44	Surface 12	27851	9.665	161.663	-1.84	-327.239	-53.7685	-6.25413	-2.90153	4.14598	-0.121454	1.71537	-2.52275
45	Surface 12	27856	9.665	159.181	-1.84	-327.614	-53.4596	-0.234428	-2.88431	4.15142	-0.0482365	1.20719	-2.54729
46	Surface 12	28071	9.665	161.663	-0.92	-230.846	-26.9129	-5.76417	-2.21292	1.95092	-0.132491	1.17055	-2.30344
47	Surface 12	28076	9.665	159.181	-0.92	-231.017	-26.6819	0.0385627	-2.20971	1.95471	-0.0508994	0.830167	-2.32625
48	Surface 12	28291	9.665	161.663	0.0	-132.869	-3.61495	-4.91518	-1.2379	1.02818	-0.129566	1.03395	-2.00491
49	Surface 12	28296	9.665	159.181	0.0	-129.668	-2.99058	0.453568	-1.20898	1.03674	-0.0419165	0.69147	-2.03371
50	Surface 13	27108	9.665	-180.0	-4.6	-588.126	-137.309	-2.25463	-5.84587	5.34534	-0.0456356	0.450605	2.60155
51	Surface 13	27116	9.665	173.888	-4.6	-588.531	-137.216	-0.018708	-5.82064	5.35065	-0.0320247	0.647816	2.56601
52	Surface 13	27123	9.665	167.775	-4.6	-588.712	-137.095	-0.0385208	-5.76364	5.35757	-0.0366874	1.48068	2.60823
53	Surface 13	27127	9.665	161.663	-4.6	-589.433	-136.902	-5.08978	-5.71367	5.36299	-0.0957645	3.07757	2.54664
54	Surface 13	27396	9.665	-180.0	-3.68	-506.746	-108.483	-2.43354	-4.59936	6.78701	-0.0493016	0.389497	0.317252
55	Surface 13	27402	9.665	173.888	-3.68	-507.111	-108.374	-0.0353151	-4.57718	6.79241	-0.0315564	0.55823	0.281472
56	Surface 13	27405	9.665	167.775	-3.68	-507.273	-108.216	-0.0649602	-4.52699	6.79977	-0.0351561	1.27806	0.331157
57	Surface 13	27410	9.665	161.663	-3.68	-507.92	-107.975	-5.53406	-4.48283	6.8062	-0.0996947	2.66082	0.272214
58	Surface 13	27617	9.665	-180.0	-2.76	-419.366	-81.2985	-2.6164	-3.70127	6.08648	-0.0521804	0.325219	-1.7797
59	Surface 13	27622	9.665	173.888	-2.76	-419.669	-81.1544	-0.033355	-3.68248	6.09067	-0.0339261	0.456986	-1.81875
60	Surface 13	27626	9.665	167.775	-2.76	-419.772	-80.9912	-0.0602755	-3.6362	6.10737	-0.0381647	1.05193	-1.75497
61	Surface 13	27630	9.665	161.663	-2.76	-420.297	-80.7004	-5.95829	-3.59696	6.11909	-0.107232	2.20439	-1.81238
62	Surface 13	27836	9.665	-180.0	-1.84	-326.904	-54.3962	-2.81126	-2.99385	4.08379	-0.0537918	0.2585	-2.49298
63	Surface 13	27842	9.665	173.888	-1.84	-327.058	-54.0314	0.0621128	-2.97686	4.08974	-0.0421995	0.344487	-2.52899
64	Surface 13	27846	9.665	167.775	-1.84	-327.058	-54.1735	0.0824752	-2.93751	4.12014	-0.0508504	0.80384	-2.46875
65	Surface 13	27851	9.665	161.663	-1.84	-327.239	-53.7685	-6.25413	-2.90153	4.14598	-0.121454	1.71537	-2.52275
66	Surface 13	28057	9.665	-180.0	-0.92	-231.344	-27.2839	-2.43475	-2.27197	1.88806	-0.0533938	0.159498	-2.18574
67	Surface 13	28061	9.665	173.888	-0.92	-231.457	-27.0075	0.157979	-2.26388	1.89461	-0.0432814	0.244618	-2.23367
68	Surface 13	28065	9.665	167.775	-0.92	-230.751	-27.1566	0.246933	-2.23143	1.92292	-0.0548696	0.572239	-2.20582
69	Surface 13	28071	9.665	161.663	-0.92	-230.846	-26.9129	-5.76417	-2.21292	1.95092	-0.132491	1.17055	-2.30344
70	Surface 13	28275	9.665	-180.0	0.0	-136.063	-4.17452	-1.86911	-1.30315	0.977255	-0.0507536	0.26582	-1.80368
71	Surface 13	28282	9.665	173.888	0.0	-133.79	-3.69826	0.178706	-1.2782	0.986507	-0.0374461	0.283823	-1.88047
72	Surface 13	28286	9.665	167.775	0.0	-135.605	-4.19614	0.261993	-1.26951	1.00238	-0.0491171	0.533721	-1.85996
