	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-416.333	-80.946	4.98958	4.01675	7.11088	0.815078	-3.17942	-1.85946
31	Surface 3	27639	9.665	20.819	-2.76	-417.173	-80.8233	-0.89642	3.43038	7.02704	0.8406	-2.71411	-1.87704
32	Surface 3	27854	9.665	18.3371	-1.84	-323.161	-53.8134	5.68652	4.89015	4.86086	0.898167	-2.67926	-2.66741
33	Surface 3	27860	9.665	20.819	-1.84	-323.856	-53.5183	-0.422749	4.2856	4.79505	0.930006	-2.35322	-2.68232
34	Surface 3	28073	9.665	18.3371	-0.92	-227.009	-26.8659	5.54254	5.77098	2.32509	0.839825	-2.12147	-2.49536
35	Surface 3	28078	9.665	20.819	-0.92	-227.476	-26.6511	-0.253183	5.13941	2.28534	0.861465	-1.95428	-2.50277
36	Surface 3	28294	9.665	18.3371	0.0	-130.068	-3.70478	4.86288	6.77716	1.21383	0.770496	-4.12309	-2.19206
37	Surface 3	28300	9.665	20.819	0.0	-127.128	-3.08975	-0.447962	6.16946	1.19734	0.786703	-4.32115	-2.20209
38	Surface 12	27127	9.665	161.663	-4.6	-586.013	-137.719	-3.11244	1.32089	6.61287	-0.847054	4.13677	2.64412
39	Surface 12	27139	9.665	159.181	-4.6	-587.031	-137.619	2.07271	0.717267	6.50375	-0.869034	3.39702	2.6205
40	Surface 12	27410	9.665	161.663	-3.68	-504.255	-108.415	-3.99729	2.73358	7.96111	-0.879034	3.73947	0.301323
41	Surface 12	27415	9.665	159.181	-3.68	-505.238	-108.325	1.53685	2.10644	7.85653	-0.898901	3.12588	0.280102
42	Surface 12	27630	9.665	161.663	-2.76	-416.444	-80.8778	-4.88153	3.79147	7.10059	-0.93219	3.2895	-1.86955
43	Surface 12	27635	9.665	159.181	-2.76	-417.332	-80.7704	0.968322	3.14175	7.00664	-0.952403	2.81387	-1.8878
44	Surface 12	27851	9.665	161.663	-1.84	-323.378	-53.7847	-5.64375	4.65099	4.8517	-1.02068	2.79039	-2.67786
