	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
30	Surface 3	27633	9.665	18.3371	-2.76	-413.41	-81.6899	4.38179	10.7131	7.93867	3.12899	-5.58804	-2.11908
31	Surface 3	27639	9.665	20.819	-2.76	-414.845	-81.5971	-1.78037	8.66923	7.63655	3.16775	-5.29026	-2.11467
32	Surface 3	27854	9.665	18.3371	-1.84	-320.529	-54.1591	5.72365	11.5803	5.40948	3.37775	-5.01012	-2.92434
33	Surface 3	27860	9.665	20.819	-1.84	-321.737	-53.8961	-0.555049	9.50304	5.17186	3.43465	-4.85136	-2.91173
34	Surface 3	28073	9.665	18.3371	-0.92	-224.986	-26.9616	5.89536	12.4862	2.59759	3.06242	-4.37631	-2.70004
35	Surface 3	28078	9.665	20.819	-0.92	-225.774	-26.7718	0.0605681	10.3664	2.45229	3.12005	-4.36364	-2.67226
36	Surface 3	28294	9.665	18.3371	0.0	-129.184	-3.86271	5.25412	13.473	1.34709	2.73727	-12.9347	-2.35134
37	Surface 3	28300	9.665	20.819	0.0	-126.235	-3.22572	-0.0196843	11.382	1.26823	2.80595	-13.4704	-2.32096
38	Surface 12	27127	9.665	161.663	-4.6	-576.311	-135.835	5.21568	19.6916	9.14684	-2.4301	5.06059	3.69308
39	Surface 12	27139	9.665	159.181	-4.6	-577.76	-135.622	10.6204	18.3722	9.00356	-2.83608	4.81365	3.60994
40	Surface 12	27410	9.665	161.663	-3.68	-493.205	-106.485	3.55625	22.0589	10.6482	-2.65725	4.92583	1.10669
41	Surface 12	27415	9.665	159.181	-3.68	-494.857	-106.394	9.11562	20.596	10.4683	-3.05087	4.79927	1.02012
42	Surface 12	27630	9.665	161.663	-2.76	-404.102	-79.2109	1.48386	23.9941	9.65507	-2.86019	4.7305	-1.43867
43	Surface 12	27635	9.665	159.181	-2.76	-405.959	-79.1731	7.19587	22.3909	9.45184	-3.25415	4.72432	-1.51491
