	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
36	Line 25115	3220	9.665	-26.5207	-65.7	51.442	-3.32451	-294.88	0.0	-379.409	-3.4977E-3
37	Line 25115	3255	9.665	-24.9197	-65.7	24.9536	-1.7274	-150.678	0.0	-250.076	-1.3895E-3
38	Line 25118	3295	8.9	-24.9197	-65.7	24.9536	-1.7274	-150.678	0.0	-250.076	-1.3895E-3
39	Line 25118	3255	9.665	-24.9197	-65.7	24.9536	-1.7274	-150.678	0.0	-250.076	-1.3895E-3
40	Line 25118	3309	8.9	-23.1855	-65.7	27.6221	-1.62553	-183.072	0.0	-305.131	-4.3938E-3
41	Line 25118	3284	9.665	-23.1855	-65.7	27.6221	-1.62553	-183.072	0.0	-305.131	-4.3938E-3
42	Line 25119	3309	8.9	-23.1855	-65.7	27.6221	-1.62553	-183.072	0.0	-305.131	-4.3938E-3
43	Line 25119	3284	9.665	-23.1855	-65.7	27.6221	-1.62553	-183.072	0.0	-305.131	-4.3938E-3
44	Line 25119	3348	8.9	-20.819	-65.7	24.6236	-1.08594	-181.062	0.0	-401.51	-2.00716E-3
45	Line 25119	3329	9.665	-20.819	-65.7	24.6236	-1.08594	-181.062	0.0	-401.51	-2.00716E-3
46	Line 25120	3348	8.9	-20.819	-65.7	24.6236	-1.08594	-181.062	0.0	-401.51	-2.00716E-3
47	Line 25120	3329	9.665	-20.819	-65.7	24.6236	-1.08594	-181.062	0.0	-401.51	-2.00716E-3
48	Line 25120	3395	8.9	-19.0166	-65.7	14.1226	-0.422239	-99.0944	0.0	-66.5883	-1.32572E-3
49	Line 25120	3355	9.665	-19.0166	-65.7	14.1226	-0.422239	-99.0944	0.0	-66.5883	-1.32572E-3
50	Line 25123	3869	8.9	32.5601	-65.7	42.3039	6.01943	-357.302	0.0	-396.975	-1.31572E-3
51	Line 25123	3843	8.9	30.3724	-65.7	22.8471	2.35486	-210.33	0.0	-319.068	3.37293E-3
52	Line 25123	3882	9.665	30.3724	-65.7	22.8471	2.35486	-210.33	0.0	-319.068	3.37293E-3
53	Line 25123	3911	9.665	32.5601	-65.7	42.3039	6.01943	-357.302	0.0	-396.975	-1.31572E-3
54	Line 25124	3927	8.9	37.9822	-65.7	48.1112	6.14478	-332.254	0.0	-356.414	-8.16929E-3
55	Line 25124	3869	8.9	32.5601	-65.7	42.3039	6.01943	-357.302	0.0	-396.975	-1.31572E-3
56	Line 25124	3911	9.665	32.5601	-65.7	42.3039	6.01943	-357.302	0.0	-396.975	-1.31572E-3
57	Line 25124	3960	9.665	37.9822	-65.7	48.1112	6.14478	-332.254	0.0	-356.414	-8.16929E-3
58	Line 25127	3395	8.9	-19.0166	-65.7	14.1226	-0.422239	-99.0944	0.0	-66.5883	-1.32572E-3
59	Line 25127	3355	9.665	-19.0166	-65.7	14.1226	-0.422239	-99.0944	0.0	-66.5883	-1.32572E-3
60	Line 25127	3400	8.9	-18.3371	-65.7	34.5457	-0.863169	-222.944	0.0	-107.66	-3.43983E-3
61	Line 25127	3377	9.665	-18.3371	-65.7	34.5457	-0.863169	-222.944	0.0	-107.66	-3.43983E-3
